tender_id,category,region,procurement_method,bid_count,median_bid_ratio,mad,relative_spread,coefficient_of_variation,minimum_bid_ratio,maximum_bid_ratio,peer_median,peer_mad,peer_count,robust_z,tightness_percentile,price_evidence,tightness_score
T00120,WATER_INFRASTRUCTURE,KA-NORTH,OPEN,3,1.00328,0.02942,0.07221,0.02979,0.96025,1.0327,0.10822999999999999,0.01692000000000001,42,1.4358839926918996,0.047619047619047616,0.989002026873965,13.848497438027975
T00127,WATER_INFRASTRUCTURE,KA-SOUTH,OPEN,3,1.01687,0.00299,0.06207,0.02914,0.95674,1.01986,0.10991999999999999,0.024564999999999997,36,1.3138360611013669,0.16666666666666666,0.9870018185120225,16.110842597067826
T00146,IT_SERVICES,KA-SOUTH,OPEN,6,0.98792,0.01767,0.05426,0.02068,0.96897,1.02258,0.09166,0.02535000000000001,37,0.9951066826203019,0.1891891891891892,0.9869132265079094,18.42978252856616
T01432,CIVIL_MAINTENANCE,KA-SOUTH,OPEN,3,1.02269,0.00903,0.03864,0.01665,0.99221,1.03173,0.09694,0.028469999999999995,61,1.3812016606071482,0.09836065573770492,0.9863748775632355,25.87991718426501
T01322,ROAD_CONSTRUCTION,KA-SOUTH,OPEN,5,0.98252,0.01715,0.06625,0.0226,0.95522,1.02031,0.10933000000000001,0.026665000000000008,64,1.0897079286799818,0.140625,0.9842663429439855,15.094339622641508
T02191,MEDICAL_SUPPLIES,KA-SOUTH,OPEN,4,0.98593,0.02872,0.06573,0.03102,0.95715,1.02196,0.09937,0.020879999999999996,45,1.086679556934515,0.2222222222222222,0.9816763343675527,15.213753232922564
T02004,BUILDING_CONSTRUCTION,KA-SOUTH,OPEN,8,0.9882,0.01947,0.07624,0.02472,0.9547,1.03004,0.10953,0.024610000000000007,53,0.9123851029246587,0.20754716981132076,0.979940738643982,13.116474291710388
T00515,ROAD_CONSTRUCTION,KA-CENTRAL,OPEN,4,0.96331,0.00606,0.03855,0.01423,0.95273,0.98987,0.1053,0.03636,59,1.2382359239566207,0.06779661016949153,0.9795244005945842,25.940337224383917
T00234,ROAD_CONSTRUCTION,TN-NORTH,OPEN,6,1.05574,0.00894,0.05367,0.02051,1.00838,1.06504,0.10751,0.03349999999999999,11,1.0840173877677581,0.09090909090909091,0.9791053988973741,18.63238308179616
T00955,ELECTRICAL_EQUIPMENT,KA-SOUTH,TWO_STAGE,6,0.98169,0.01823,0.06215,0.02219,0.958,1.01901,0.09820000000000001,0.028905,6,0.8412175014402791,0.3333333333333333,0.9787923623113437,16.090104585679807
T00190,MEDICAL_SUPPLIES,KA-SOUTH,TWO_STAGE,6,0.99384,0.04126,0.14901,0.05187,0.90895,1.05705,0.15757500000000002,0.008565000000000003,2,0.6744907594765963,0.5,0.9787422995638303,6.710958996040534
T02297,IT_SERVICES,KA-BENGALURU,TWO_STAGE,6,1.01032,0.01673,0.06873,0.02505,0.96694,1.03637,0.09290999999999999,0.02418,2,0.6744907594765951,0.5,0.9787422995638292,14.549687181725593
T01482,MEDICAL_SUPPLIES,KA-CENTRAL,OPEN,8,0.99294,0.01579,0.05207,0.0196,0.95775,1.00945,0.09419,0.027749999999999997,53,1.0237675960055563,0.09433962264150944,0.9783438163161825,19.204916458613404
T01401,ELECTRICAL_EQUIPMENT,KA-CENTRAL,OPEN,9,0.9839,0.01631,0.07046,0.02115,0.94728,1.0166,0.10079,0.02248,42,0.9100224526212249,0.19047619047619047,0.9782210160865913,14.192449616803861
T00198,IT_SERVICES,KA-BENGALURU,OPEN,6,1.00343,0.01808,0.06066,0.02156,0.96669,1.02756,0.08701500000000001,0.018524999999999993,14,0.9595791614577964,0.21428571428571427,0.9782207297862588,16.485328058028355
T00886,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,5,0.97306,0.01674,0.06056,0.02226,0.95632,1.01525,0.0943,0.022679999999999992,73,1.0034090928016015,0.2191780821917808,0.9780697399947059,16.512549537648614
T01408,MEDICAL_SUPPLIES,KA-BENGALURU,OPEN,3,0.96422,0.00469,0.0171,0.00721,0.95242,0.96891,0.08851,0.034519999999999995,28,1.3952892564954713,0.07142857142857142,0.9778118852826952,58.47953216374269
T01245,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,5,0.99728,0.01489,0.06109,0.0208,0.95741,1.01834,0.0943,0.022679999999999992,73,0.9876471835193003,0.2328767123287671,0.9764191166784539,16.36929120969062
T00212,ELECTRICAL_EQUIPMENT,KA-NORTH,LIMITED,5,0.97412,0.00508,0.04277,0.01502,0.96735,1.00901,0.09409,0.03334999999999999,11,1.0379270097852735,0.18181818181818182,0.9757961532827644,23.38087444470423
T01908,MEDICAL_SUPPLIES,KA-CENTRAL,OPEN,7,0.98018,0.00835,0.05058,0.01495,0.9566,1.00618,0.09419,0.027749999999999997,53,1.0599834962441195,0.07547169811320754,0.9732473094491375,19.770660340055358
T01998,BUILDING_CONSTRUCTION,KA-CENTRAL,OPEN,4,0.98947,0.01856,0.06484,0.0262,0.9687,1.03286,0.11566,0.02932,70,1.1690866438131164,0.12857142857142856,0.9732435542884088,15.422578655151142
T00468,ROAD_CONSTRUCTION,KA-CENTRAL,OPEN,4,1.01632,0.01621,0.03993,0.01788,0.99264,1.03323,0.1053,0.03636,59,1.212636439686057,0.0847457627118644,0.973036651798441,25.043826696719258
T02427,IT_SERVICES,KA-NORTH,OPEN,3,1.00234,0.01631,0.04171,0.01722,0.97685,1.01865,0.09833,0.02729000000000001,51,1.399401495110473,0.058823529411764705,0.9721500163481586,23.975065931431313
T01753,ELECTRICAL_EQUIPMENT,AP-SOUTH,OPEN,6,1.01434,0.01506,0.05865,0.01991,0.97483,1.03432,0.11116000000000001,0.03665500000000001,10,0.9662395247610425,0.2,0.9718662706342021,17.050298380221655
T02091,IT_SERVICES,KA-SOUTH,OPEN,3,0.99861,0.00266,0.04198,0.01943,0.95934,1.00127,0.09166,0.02535000000000001,37,1.321842245790818,0.13513513513513514,0.9713182539506355,23.820867079561694
T01990,CIVIL_MAINTENANCE,AP-SOUTH,OPEN,9,0.99767,0.02298,0.08968,0.02758,0.93622,1.0257,0.1334,0.031560000000000005,13,0.9343705958275265,0.15384615384615385,0.9673037774877158,11.150758251561106
T02056,BUILDING_CONSTRUCTION,KA-NORTH,OPEN,3,1.02376,0.00222,0.03824,0.01774,0.98684,1.02599,0.10989,0.03468,53,1.393519691940543,0.05660377358490566,0.9667489770169659,26.15062761506276
T01285,CIVIL_MAINTENANCE,KA-SOUTH,OPEN,7,1.00392,0.01088,0.05972,0.01786,0.96615,1.02611,0.09694,0.028469999999999995,61,0.881789464970807,0.2459016393442623,0.9665923751272023,16.744809109176156
T00232,MEDICAL_SUPPLIES,KA-NORTH,OPEN,3,1.04351,0.01702,0.05738,0.02434,1.00065,1.06053,0.11554500000000001,0.030324999999999998,58,1.2937099760908877,0.15517241379310345,0.9659215932559941,17.42767514813524
T00824,ROAD_CONSTRUCTION,KA-CENTRAL,OPEN,4,1.00152,0.01335,0.04237,0.01647,0.97655,1.01899,0.1053,0.03636,59,1.1673735834395529,0.11864406779661017,0.9645132384271222,23.601604909133822
T01673,ELECTRICAL_EQUIPMENT,KA-SOUTH,OPEN,3,0.95017,0.00707,0.03865,0.01661,0.94309,0.97982,0.09169,0.025990000000000013,43,1.3764905687817848,0.06976744186046512,0.9641720070948333,25.8732212160414
T00876,FURNITURE,TN-NORTH,OPEN,3,0.96289,0.01239,0.05162,0.02175,0.95051,1.00021,0.10035,0.02647999999999999,5,1.24123620503378,0.2,0.9608241366891868,19.372336303758235
T01451,IT_SERVICES,KA-NORTH,OPEN,5,1.00173,0.01822,0.0553,0.01966,0.97992,1.03531,0.09833,0.02729000000000001,51,1.063515477474455,0.13725490196078433,0.9606163035481915,18.083182640144663
T01800,IT_SERVICES,KA-SOUTH,OPEN,9,0.96789,0.01811,0.05917,0.02079,0.9325,0.98977,0.09166,0.02535000000000001,37,0.8644656716131982,0.21621621621621623,0.960606122515035,16.900456312320433
T00816,WATER_INFRASTRUCTURE,KA-CENTRAL,OPEN,4,0.96881,0.01412,0.06961,0.02667,0.92083,0.98827,0.11693,0.029219999999999996,59,1.0922964660654515,0.1864406779661017,0.9590528580236648,14.365752047119665
T02163,ROAD_CONSTRUCTION,KA-NORTH,OPEN,3,1.06279,0.01459,0.05456,0.02338,1.01939,1.07738,0.10597000000000001,0.02621499999999999,62,1.322737743455723,0.11290322580645161,0.9570939795081165,18.328445747800586
T00279,MEDICAL_SUPPLIES,KA-NORTH,OPEN,3,0.97479,0.00568,0.05725,0.02534,0.96911,1.02492,0.11554500000000001,0.030324999999999998,58,1.296601445133986,0.13793103448275862,0.9563549864111632,17.46724890829694
T02404,CIVIL_MAINTENANCE,KA-NORTH,TWO_STAGE,4,1.02429,0.0109,0.0387,0.01425,1.00786,1.0475,0.0809,0.026500000000000003,5,1.0740947188646157,0.2,0.9555710391484618,25.839793281653748
T00162,ELECTRICAL_EQUIPMENT,KA-CENTRAL,OPEN,5,0.97507,0.01774,0.06665,0.02736,0.95732,1.02231,0.10079,0.02248,42,1.0243378348990642,0.16666666666666666,0.9528036012525848,15.003750937734434
T00603,ROAD_CONSTRUCTION,KA-SOUTH,OPEN,3,1.01879,0.0242,0.05596,0.023,0.98597,1.04298,0.10933000000000001,0.026665000000000008,64,1.349993318329866,0.078125,0.9520788788865775,17.8699070764832
T02257,MEDICAL_SUPPLIES,KA-CENTRAL,OPEN,3,0.99627,0.00379,0.03699,0.01678,0.96321,1.00006,0.09419,0.027749999999999997,53,1.3903016735877927,0.03773584905660377,0.9520250150962644,27.034333603676668
T01132,MEDICAL_SUPPLIES,TN-NORTH,OPEN,6,0.99495,0.03103,0.08725,0.03231,0.95951,1.04632,0.096995,0.010250000000000002,4,0.6412597513267728,0.5,0.9510497927723107,11.461318051575931
T01804,CIVIL_MAINTENANCE,KA-NORTH,OPEN,8,1.03484,0.01679,0.07345,0.02554,1.01364,1.08965,0.103015,0.023669999999999997,62,0.842472298433694,0.24193548387096775,0.9488568095165789,13.614703880190605
T02248,ELECTRICAL_EQUIPMENT,KA-NORTH,LIMITED,3,0.99513,0.01302,0.02824,0.01155,0.98005,1.00815,0.09409,0.03334999999999999,11,1.3317906000459911,0.09090909090909091,0.9484664606367215,35.41076487252124
T02481,MEDICAL_SUPPLIES,KA-SOUTH,OPEN,3,1.03245,0.00522,0.06028,0.02777,0.97542,1.03766,0.09937,0.020879999999999996,45,1.2627319821810399,0.15555555555555556,0.9455250251577305,16.5892501658925
T01393,LAB_EQUIPMENT,KA-CENTRAL,OPEN,4,0.98633,0.01241,0.04711,0.01947,0.95291,0.99938,0.08785,0.026139999999999997,29,1.051214749084793,0.20689655172413793,0.9435834756066981,21.226915729144554
T02463,BUILDING_CONSTRUCTION,KA-CENTRAL,OPEN,10,1.00181,0.01279,0.07767,0.02262,0.95253,1.03034,0.11566,0.02932,70,0.8739394253927644,0.17142857142857143,0.9408311971392023,12.874983906270117
T00200,LAB_EQUIPMENT,KA-CENTRAL,TWO_STAGE,5,1.02143,0.00506,0.0256,0.01091,1.00034,1.02649,0.06049,0.034890000000000004,2,0.6744907594765952,0.5,0.9395926075812762,39.0625
T00811,CIVIL_MAINTENANCE,KA-BENGALURU,TWO_STAGE,5,0.95886,0.03075,0.09437,0.03483,0.925,1.01549,0.10431,0.009940000000000004,2,0.6744907594765952,0.5,0.9395926075812762,10.59658789869662
T02001,ELECTRICAL_EQUIPMENT,TN-NORTH,LIMITED,5,0.983,0.01858,0.08352,0.03689,0.96442,1.04652,0.102005,0.018485,2,0.6744907594765952,0.5,0.9395926075812762,11.973180076628353
T01296,IT_SERVICES,AP-SOUTH,LIMITED,5,0.983,0.00444,0.02553,0.00853,0.96604,0.99113,0.042835,0.017305,2,0.6744907594765951,0.5,0.939592607581276,39.169604386995694
T02263,MEDICAL_SUPPLIES,KA-BENGALURU,TWO_STAGE,5,1.02007,0.01711,0.13966,0.04504,0.95502,1.09748,0.16033999999999998,0.02067999999999999,2,0.6744907594765948,0.5,0.9395926075812758,7.160246312473149
T01071,BUILDING_CONSTRUCTION,KA-BENGALURU,OPEN,3,1.02845,0.00331,0.07127,0.03359,0.95846,1.03176,0.11302,0.02312,21,1.2179926128091627,0.19047619047619047,0.9389792021902356,14.031149151115477
T00193,CIVIL_MAINTENANCE,KA-BENGALURU,OPEN,4,0.99513,0.02601,0.05631,0.02694,0.96563,1.02167,0.1076,0.03349,14,1.0329839072425968,0.21428571428571427,0.9354522161462333,17.758835020422662
T02396,ROAD_CONSTRUCTION,KA-SOUTH,OPEN,8,0.9919,0.01514,0.0751,0.02659,0.94164,1.01613,0.10933000000000001,0.026665000000000008,64,0.8658473165904313,0.203125,0.9353507770166274,13.315579227696405
T00577,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,5,0.99331,0.02841,0.06423,0.02334,0.96278,1.02658,0.0943,0.022679999999999992,73,0.8942653058845337,0.273972602739726,0.9345903268994079,15.56904873112253
T01044,ELECTRICAL_EQUIPMENT,KA-NORTH,OPEN,5,1.02192,0.02215,0.05582,0.01965,0.99754,1.05458,0.09762,0.027480000000000004,43,1.0259721159432924,0.13953488372093023,0.9324055997313782,17.914725904693658
T01484,ROAD_CONSTRUCTION,KA-CENTRAL,OPEN,3,0.97385,0.00782,0.03281,0.01404,0.94972,0.98167,0.1053,0.03636,59,1.3447149382414296,0.05084745762711865,0.9303749305790323,30.47851264858275
T00400,CIVIL_MAINTENANCE,KA-CENTRAL,TWO_STAGE,5,0.96482,0.00744,0.03405,0.01219,0.95546,0.98831,0.04635,0.009095000000000002,4,0.9121755185884687,0.25,0.9297404148707749,29.368575624082236
T00965,ELECTRICAL_EQUIPMENT,KA-BENGALURU,OPEN,4,0.99085,0.01941,0.06694,0.02525,0.95201,1.01833,0.10288,0.023164999999999998,16,1.0464579277180588,0.1875,0.925468445788544,14.938751120406334
T00645,BUILDING_CONSTRUCTION,KA-NORTH,OPEN,4,1.05671,0.01084,0.05036,0.01867,1.04019,1.09341,0.10989,0.03468,53,1.1577980078328058,0.07547169811320754,0.92495227945951,19.857029388403493
T01920,ROAD_CONSTRUCTION,KA-SOUTH,OPEN,7,1.00977,0.01472,0.07534,0.02404,0.97911,1.05519,0.10933000000000001,0.026665000000000008,64,0.8597765203303757,0.21875,0.9244513031403222,13.273161667109104
T01361,CIVIL_MAINTENANCE,AP-SOUTH,OPEN,9,0.99592,0.01597,0.0992,0.03177,0.95669,1.05548,0.1334,0.031560000000000005,13,0.7309120397369946,0.3076923076923077,0.923203864381602,10.080645161290322
T00821,CIVIL_MAINTENANCE,KA-BENGALURU,OPEN,4,1.0092,0.01683,0.06068,0.02261,0.98502,1.04625,0.1076,0.03349,14,0.9449718254595953,0.2857142857142857,0.9230145833804109,16.47989452867502
T00129,ELECTRICAL_EQUIPMENT,KA-NORTH,LIMITED,4,0.99049,0.01421,0.04679,0.01945,0.97543,1.02177,0.09409,0.03334999999999999,11,0.9566240756594591,0.2727272727272727,0.9220135112900488,21.37208805300278
T01213,MEDICAL_SUPPLIES,KA-SOUTH,LIMITED,4,0.97984,0.01051,0.03006,0.01246,0.9677,0.99716,0.0684,0.024709999999999996,11,1.0465388797382706,0.18181818181818182,0.9212677961673394,33.266799733865604
T01976,BUILDING_CONSTRUCTION,AP-SOUTH,LIMITED,4,1.00087,0.01395,0.069,0.0247,0.95968,1.02873,0.12413,0.04156,3,0.8947227038004016,0.3333333333333333,0.9210420278503013,14.492753623188404
T02367,WATER_INFRASTRUCTURE,KA-NORTH,OPEN,7,0.97721,0.00956,0.08488,0.02619,0.94023,1.02317,0.10822999999999999,0.01692000000000001,42,0.9308131934857261,0.14285714285714285,0.9202888597224592,11.7813383600377
T01005,IT_SERVICES,KA-SOUTH,TWO_STAGE,6,1.00128,0.00927,0.05277,0.0165,0.97152,1.02435,0.0821,0.02933000000000001,7,0.6744907594765952,0.42857142857142855,0.9192184900400199,18.95016107636915
T01717,MEDICAL_SUPPLIES,KA-NORTH,OPEN,3,1.02907,0.027,0.06139,0.02507,1.00208,1.06525,0.11554500000000001,0.030324999999999998,58,1.2045192771460849,0.1724137931034483,0.9179553801663555,16.289297931259163
T00939,LAB_EQUIPMENT,KA-NORTH,OPEN,12,0.97362,0.0201,0.19337,0.04352,0.87338,1.06165,0.07648,0.018280000000000005,19,-4.312977290766914,1.0,0.9166666666666666,5.171433004085433
T01040,MEDICAL_SUPPLIES,KA-NORTH,OPEN,12,1.00104,0.02586,0.19354,0.04674,0.91678,1.11052,0.11554500000000001,0.030324999999999998,58,-1.7347702155111966,1.0,0.9166666666666666,5.1668905652578285
T00653,ROAD_CONSTRUCTION,KA-SOUTH,TWO_STAGE,6,1.05079,0.00558,0.08596,0.03637,0.96679,1.05711,0.107855,0.02463500000000001,4,0.5994712879537265,0.5,0.9162260732947721,11.633317822242905
T02033,VEHICLE_SUPPLIES,KA-NORTH,OPEN,12,0.991,0.02365,0.09921,0.03038,0.94558,1.04389,0.12007000000000001,0.019319999999999997,26,0.7282545156667588,0.2692307692307692,0.9143615111560672,10.079629069650236
T00377,WATER_INFRASTRUCTURE,KA-NORTH,OPEN,9,1.03176,0.01609,0.08729,0.02542,0.98044,1.0705,0.10822999999999999,0.01692000000000001,42,0.834742110132381,0.19047619047619047,0.911305156096508,11.456065986940084
T00539,CIVIL_MAINTENANCE,KA-SOUTH,OPEN,3,1.00293,0.01317,0.04479,0.01892,0.97118,1.01609,0.09694,0.028469999999999995,61,1.235500284745502,0.13114754098360656,0.9110985504860725,22.326412145568206
T00383,IT_SERVICES,AP-SOUTH,OPEN,5,0.96855,0.00811,0.04142,0.016,0.96044,1.00056,0.093495,0.036140000000000005,6,0.9718900470321994,0.16666666666666666,0.9108453709590929,24.142926122646067
T01109,CIVIL_MAINTENANCE,KA-SOUTH,OPEN,8,0.99235,0.01645,0.06481,0.02009,0.97418,1.03849,0.09694,0.028469999999999995,61,0.7612008465747455,0.2786885245901639,0.9099031997692959,15.429717636167256
T00016,IT_SERVICES,KA-CENTRAL,OPEN,4,1.01592,0.00907,0.05732,0.0231,1.00664,1.06487,0.1033,0.027770000000000003,53,1.1167837638002824,0.09433962264150944,0.9083425398313438,17.445917655268666
T02422,MEDICAL_SUPPLIES,KA-NORTH,OPEN,7,1.00963,0.00273,0.07657,0.02683,0.94369,1.021,0.11554500000000001,0.030324999999999998,58,0.866884661190447,0.1896551724137931,0.9056055716607774,13.059945148230378
T01942,CIVIL_MAINTENANCE,KA-NORTH,LIMITED,8,1.00353,0.00773,0.0573,0.01835,0.9948,1.0523,0.07773,0.022829999999999996,7,0.6035850291768218,0.42857142857142855,0.903136900529719,17.452006980802793
T00132,VEHICLE_SUPPLIES,KA-CENTRAL,TWO_STAGE,3,1.06603,0.00558,0.04284,0.01929,1.02595,1.07162,0.09821,0.03657999999999999,3,1.0209555317719816,0.3333333333333333,0.9028592434035434,23.34267040149393
T01294,CIVIL_MAINTENANCE,KA-BENGALURU,OPEN,9,1.01502,0.02513,0.07845,0.02972,0.9632,1.04282,0.1076,0.03349,14,0.5870828796280306,0.42857142857142855,0.9028038295106303,12.746972594008922
T01424,CIVIL_MAINTENANCE,AP-SOUTH,OPEN,9,0.97226,0.01961,0.10402,0.02994,0.9412,1.04234,0.1334,0.031560000000000005,13,0.6279004598676285,0.38461538461538464,0.9000140839849005,9.613535858488753
T00405,LAB_EQUIPMENT,KA-SOUTH,OPEN,10,0.99389,0.03092,0.16371,0.04606,0.93009,1.0928,0.09267500000000001,0.01473999999999999,18,-3.2505055019959275,1.0,0.9,6.108362348054487
T00520,BUILDING_CONSTRUCTION,KA-NORTH,OPEN,12,0.99642,0.03734,0.22693,0.0604,0.86576,1.09188,0.10989,0.03468,53,-2.276309068314322,0.9811320754716981,0.89937106918239,4.406645220993258
T00718,FURNITURE,KA-BENGALURU,OPEN,7,1.00975,0.02509,0.08759,0.03107,0.96959,1.05803,0.11214,0.017980000000000003,16,0.9209537344355068,0.125,0.8965317723732916,11.416828405069072
T00996,ROAD_CONSTRUCTION,KA-NORTH,TWO_STAGE,6,1.00238,0.01603,0.0859,0.02704,0.96161,1.04771,0.1323,0.0464,5,0.6744907594765952,0.4,0.8954089662304962,11.641443538998836
T01799,FURNITURE,TN-NORTH,OPEN,6,1.00608,0.00755,0.07387,0.02184,0.96648,1.0408,0.10035,0.02647999999999999,5,0.6744907594765952,0.4,0.8954089662304962,13.537295248409366
T00386,IT_SERVICES,KA-CENTRAL,TWO_STAGE,5,1.0139,0.02805,0.08261,0.02962,0.96639,1.05015,0.10588,0.02327,9,0.6744907594765952,0.4444444444444444,0.8951481631368318,12.105072025178549
T00804,FURNITURE,KA-SOUTH,OPEN,13,1.04264,0.03189,0.1833,0.04742,0.90752,1.09863,0.120115,0.025825000000000008,32,-1.650249705228602,0.96875,0.8942307692307693,5.455537370430988
T02379,MEDICAL_SUPPLIES,KA-NORTH,OPEN,9,1.00535,0.02305,0.0804,0.0256,0.96369,1.04452,0.11554500000000001,0.030324999999999998,58,0.7816975347668573,0.22413793103448276,0.8940759696011911,12.437810945273633
T00941,WATER_INFRASTRUCTURE,KA-CENTRAL,OPEN,5,1.02627,0.03694,0.07816,0.02891,0.98397,1.06418,0.11693,0.029219999999999996,59,0.8949352068756883,0.22033898305084745,0.8922193519412286,12.7942681678608
T00117,ROAD_CONSTRUCTION,KA-CENTRAL,OPEN,6,0.98606,0.01354,0.05499,0.01819,0.95456,1.00879,0.1053,0.03636,59,0.9332681548203385,0.13559322033898305,0.8907178126327681,18.18512456810329
T00621,BUILDING_CONSTRUCTION,AP-SOUTH,OPEN,9,0.98689,0.04139,0.19042,0.05726,0.86828,1.0562,0.10548,0.018425000000000004,4,-3.109429856713269,1.0,0.8888888888888888,5.25154920701607
T00723,MEDICAL_SUPPLIES,KA-BENGALURU,LIMITED,9,1.00881,0.0297,0.19545,0.05845,0.86456,1.06173,0.09338,0.018310000000000007,5,-3.7599820764487193,1.0,0.8888888888888888,5.116398055768738
T00815,MEDICAL_SUPPLIES,KA-BENGALURU,TWO_STAGE,9,0.98507,0.03206,0.18102,0.05033,0.88194,1.06026,0.16033999999999998,0.02067999999999999,2,-0.6744907594765956,1.0,0.8888888888888888,5.524251463926638
T00911,VEHICLE_SUPPLIES,AP-SOUTH,OPEN,9,0.98403,0.04114,0.11232,0.0402,0.9379,1.04843,0.11232,0.0,1,0.0,1.0,0.8888888888888888,8.903133903133902
T01075,BUILDING_CONSTRUCTION,KA-CENTRAL,OPEN,9,0.99992,0.0534,0.21614,0.06665,0.91014,1.12625,0.11566,0.02932,70,-2.311488114331797,1.0,0.8888888888888888,4.626630887387805
T01105,VEHICLE_SUPPLIES,KA-SOUTH,OPEN,9,0.97994,0.02407,0.20946,0.05897,0.95068,1.15594,0.11184,0.029350000000000015,21,-2.243399929816191,1.0,0.8888888888888888,4.774181227919412
T01158,MEDICAL_SUPPLIES,KA-CENTRAL,OPEN,9,0.97177,0.03593,0.2082,0.05632,0.90019,1.10251,0.09419,0.027749999999999997,53,-2.7711240175829412,1.0,0.8888888888888888,4.803073967339097
T01173,VEHICLE_SUPPLIES,KA-BENGALURU,LIMITED,9,0.99588,0.00592,0.16606,0.04165,0.88422,1.0496,0.13124,0.03482000000000002,3,-0.6744907594765952,1.0,0.8888888888888888,6.021919788028423
T01237,IT_SERVICES,KA-NORTH,OPEN,9,0.99903,0.03426,0.18321,0.0515,0.90664,1.08967,0.09833,0.02729000000000001,51,-2.0978664589363647,1.0,0.8888888888888888,5.458217346214726
T01283,IT_SERVICES,KA-CENTRAL,OPEN,9,1.01003,0.04712,0.20702,0.05925,0.90136,1.11046,0.1033,0.027770000000000003,53,-2.5191999126003766,1.0,0.8888888888888888,4.83045116413873
T01512,MEDICAL_SUPPLIES,KA-SOUTH,OPEN,9,1.00883,0.01829,0.20016,0.06466,0.88215,1.08408,0.09937,0.020879999999999996,45,-3.255839255155462,1.0,0.8888888888888888,4.996003197442047
T01561,LAB_EQUIPMENT,AP-SOUTH,OPEN,9,1.01682,0.01683,0.11829,0.03829,0.93411,1.05439,0.10222,0.01607,5,-0.6744907594765952,1.0,0.8888888888888888,8.4537999830924
T01651,WATER_INFRASTRUCTURE,KA-SOUTH,OPEN,9,0.98008,0.04336,0.20629,0.05905,0.85803,1.06021,0.10991999999999999,0.024564999999999997,36,-2.6460685727970485,1.0,0.8888888888888888,4.847544718600029
T01703,ELECTRICAL_EQUIPMENT,TN-NORTH,OPEN,9,0.98857,0.06158,0.20086,0.0646,0.90629,1.10486,0.12121,0.025709999999999997,9,-2.0895833913773174,1.0,0.8888888888888888,4.978592054167081
T01791,ROAD_CONSTRUCTION,TN-NORTH,OPEN,9,0.99936,0.04633,0.16703,0.05547,0.88682,1.05375,0.10751,0.03349999999999999,11,-1.1983788060909544,1.0,0.8888888888888888,5.986948452373825
T01972,ROAD_CONSTRUCTION,KA-CENTRAL,OPEN,9,1.01741,0.02805,0.25784,0.07952,0.81904,1.08137,0.1053,0.03636,59,-2.8296705294433395,1.0,0.8888888888888888,3.878374185541421
T02073,ELECTRICAL_EQUIPMENT,KA-CENTRAL,OPEN,9,0.98593,0.02846,0.21364,0.0612,0.95066,1.16129,0.10079,0.02248,42,-3.3859556141874445,1.0,0.8888888888888888,4.6807713911252575
T02111,CIVIL_MAINTENANCE,TN-NORTH,OPEN,9,1.00497,0.0378,0.16173,0.04909,0.9415,1.10403,0.11902,0.03328,10,-0.865609986095114,1.0,0.8888888888888888,6.183144747418536
T02129,BUILDING_CONSTRUCTION,TN-NORTH,OPEN,9,1.0535,0.01039,0.12877,0.03452,0.95501,1.09067,0.091735,0.022385000000000002,10,-1.115915357481157,1.0,0.8888888888888888,7.765783955890347
T02413,ROAD_CONSTRUCTION,KA-SOUTH,OPEN,9,0.99967,0.0703,0.22611,0.07324,0.89938,1.12542,0.10933000000000001,0.026665000000000008,64,-2.9539482802053914,1.0,0.8888888888888888,4.422626155411083
T01396,WATER_INFRASTRUCTURE,KA-NORTH,OPEN,8,0.99947,0.01514,0.08695,0.03082,0.93538,1.02227,0.10822999999999999,0.01692000000000001,42,0.8482957069540149,0.16666666666666666,0.8880920769180964,11.500862564692351
T01093,LAB_EQUIPMENT,KA-CENTRAL,OPEN,10,1.00371,0.01674,0.06171,0.02021,0.96722,1.02917,0.08785,0.026139999999999997,29,0.6744907594765952,0.3103448275862069,0.8863520283565218,16.20482903905364
T01494,VEHICLE_SUPPLIES,KA-CENTRAL,OPEN,9,0.99956,0.01817,0.07162,0.02207,0.95439,1.02597,0.11493,0.04331,31,0.6744907594765952,0.3225806451612903,0.8862856930114537,13.962580284836637
T00708,LAB_EQUIPMENT,KA-SOUTH,OPEN,5,1.00605,0.00871,0.07454,0.02551,0.95194,1.02693,0.09267500000000001,0.01473999999999999,18,0.8298432783655408,0.2777777777777778,0.8860968449146549,13.415615776764154
T00967,LAB_EQUIPMENT,KA-NORTH,OPEN,8,1.00648,0.01401,0.05333,0.01917,0.97133,1.02501,0.07648,0.018280000000000005,19,0.8541827725319026,0.15789473684210525,0.8855678207022568,18.751171948246764
T01210,ROAD_CONSTRUCTION,KA-CENTRAL,OPEN,10,0.96973,0.05764,0.22443,0.07002,0.87827,1.09591,0.1053,0.03636,59,-2.2099033051828045,0.9830508474576272,0.8847457627118644,4.45573229960344
T01368,IT_SERVICES,KA-CENTRAL,LIMITED,4,0.9926,0.00506,0.03556,0.01407,0.96385,0.99914,0.071185,0.02845,6,0.8445951953024149,0.3333333333333333,0.8834463964768111,28.121484814398197
T00751,ROAD_CONSTRUCTION,KA-BENGALURU,OPEN,5,0.97549,0.02489,0.07426,0.02808,0.95059,1.02303,0.11207,0.026999999999999996,19,0.944536874659632,0.15789473684210525,0.8819452892013898,13.4661998384056
