vendor_a,vendor_b,observed_shared_tenders,vendor_a_tenders,vendor_b_tenders,expected_shared_tenders,enrichment_ratio,p_value,surprise_score
V0014,V0127,6,46,43,0.791,7.583,0.0001014714409091142,3.994
V0143,V0251,3,13,19,0.099,30.364,0.00010153627236291886,3.993
V0359,V0371,5,40,31,0.496,10.081,0.00010160201225539792,3.993
V0003,V0005,5,40,31,0.496,10.081,0.00010160201225539792,3.993
V0415,V0531,5,29,43,0.499,10.024,0.00010380853453398863,3.984
V0056,V0080,4,17,39,0.265,15.083,0.00010412997170567269,3.982
V0259,V0521,4,39,17,0.265,15.083,0.00010412997170567269,3.982
V0430,V0464,4,20,33,0.264,15.152,0.00010516350067524888,3.978
V0200,V0538,4,30,22,0.264,15.152,0.00010620218343380745,3.974
V0138,V0249,4,18,37,0.266,15.015,0.00010726399624308345,3.97
V0220,V0487,4,37,18,0.266,15.015,0.00010726399624308345,3.97
V0216,V0387,4,19,35,0.266,15.038,0.0001076140060427584,3.968
V0119,V0447,5,64,20,0.512,9.766,0.00010825429177206096,3.966
V0098,V0509,4,16,42,0.269,14.881,0.0001083214959715155,3.965
V0203,V0219,4,15,45,0.27,14.815,0.00010831215617380847,3.965
V0300,V0487,3,14,18,0.101,29.762,0.00010866014113485668,3.964
V0030,V0479,3,18,14,0.101,29.762,0.00010866014113485668,3.964
V0158,V0533,5,34,37,0.503,9.936,0.0001095631243479703,3.96
V0224,V0366,5,42,30,0.504,9.921,0.00010960780466246618,3.96
V0002,V0132,5,22,58,0.51,9.796,0.0001099346392550317,3.959
V0302,V0502,5,24,53,0.509,9.827,0.00011073502979310646,3.956
V0178,V0293,6,49,41,0.804,7.466,0.00011076076201846068,3.956
V0034,V0434,6,53,38,0.806,7.448,0.00011167253952056303,3.952
V0009,V0250,3,17,15,0.102,29.412,0.00011308563844579424,3.947
V0221,V0441,3,15,17,0.102,29.412,0.00011308563844579424,3.947
V0032,V0263,4,14,49,0.274,14.577,0.00011297865867027403,3.947
V0027,V0501,4,32,21,0.269,14.881,0.00011372283597803553,3.944
V0114,V0381,5,31,41,0.508,9.835,0.00011470568702587656,3.94
V0129,V0454,6,47,43,0.808,7.422,0.00011483800872417876,3.94
V0003,V0441,4,40,17,0.272,14.706,0.00011521526513278388,3.938
V0056,V0062,4,17,40,0.272,14.706,0.00011521526513278388,3.938
V0176,V0413,4,17,40,0.272,14.706,0.00011521526513278388,3.938
V0421,V0438,6,46,44,0.81,7.411,0.00011587565501430138,3.936
V0053,V0391,5,44,29,0.51,9.796,0.00011617488164033469,3.935
V0329,V0528,4,27,25,0.27,14.815,0.0001170490074434377,3.932
V0197,V0326,4,25,27,0.27,14.815,0.0001170490074434377,3.932
V0065,V0362,4,26,26,0.27,14.793,0.0001177994353678026,3.929
V0061,V0513,6,37,55,0.814,7.371,0.00011812676114457684,3.928
V0021,V0421,4,15,46,0.276,14.493,0.00011820621635506568,3.927
V0319,V0546,4,34,20,0.272,14.706,0.0001185720851233651,3.926
V0523,V0546,4,34,20,0.272,14.706,0.0001185720851233651,3.926
V0163,V0430,3,13,20,0.104,28.846,0.00011909496967132934,3.924
V0174,V0434,4,18,38,0.274,14.62,0.00011934284472634157,3.923
V0280,V0388,4,36,19,0.274,14.62,0.00012048141370962091,3.919
V0322,V0327,6,40,51,0.816,7.353,0.00012071649769369862,3.918
V0421,V0517,5,46,28,0.515,9.705,0.00012106305665832018,3.917
V0469,V0536,4,31,22,0.273,14.663,0.0001212308008412849,3.916
V0191,V0520,3,22,12,0.106,28.409,0.00012371769040779302,3.908
V0244,V0276,6,50,41,0.82,7.317,0.0001243453712361784,3.905
V0093,V0352,5,34,38,0.517,9.675,0.00012493959944206984,3.903
V0403,V0434,5,34,38,0.517,9.675,0.00012493959944206984,3.903
V0262,V0307,5,26,50,0.52,9.615,0.00012514813760919683,3.903
V0040,V0258,5,35,37,0.518,9.653,0.00012645667015999135,3.898
V0169,V0533,5,35,37,0.518,9.653,0.00012645667015999135,3.898
V0356,V0366,4,23,30,0.276,14.493,0.00012748969235238934,3.895
V0200,V0431,4,30,23,0.276,14.493,0.00012748969235238934,3.895
V0189,V0326,3,10,27,0.108,27.778,0.00012828521006194127,3.892
V0140,V0146,3,14,19,0.106,28.195,0.00012860697369628245,3.891
V0120,V0401,4,44,16,0.282,14.205,0.00013035934285939873,3.885
V0419,V0533,6,56,37,0.829,7.239,0.0001308848114175153,3.883
V0014,V0219,6,46,45,0.828,7.246,0.00013186189046320536,3.88
V0397,V0402,4,24,29,0.278,14.368,0.0001323344268710297,3.878
V0266,V0494,4,24,29,0.278,14.368,0.0001323344268710297,3.878
V0259,V0456,4,39,18,0.281,14.245,0.0001323824501726292,3.878
V0217,V0472,4,19,37,0.281,14.225,0.00013443313214652155,3.871
V0202,V0491,3,18,15,0.108,27.778,0.00013521312500048226,3.869
V0138,V0457,3,18,15,0.108,27.778,0.00013521312500048226,3.869
V0350,V0505,3,15,18,0.108,27.778,0.00013521312500048226,3.869
V0265,V0505,3,15,18,0.108,27.778,0.00013521312500048226,3.869
V0465,V0527,3,18,15,0.108,27.778,0.00013521312500048226,3.869
V0132,V0301,6,58,36,0.835,7.184,0.0001362202213317634,3.866
V0263,V0326,5,49,27,0.529,9.448,0.00013717241879847422,3.863
V0042,V0376,5,49,27,0.529,9.448,0.00013717241879847422,3.863
V0289,V0496,4,27,26,0.281,14.245,0.00013731056140129118,3.862
V0438,V0478,5,44,30,0.528,9.47,0.00013759613734500286,3.861
V0120,V0366,5,44,30,0.528,9.47,0.00013759613734500286,3.861
V0051,V0065,5,51,26,0.53,9.427,0.00013777221801832438,3.861
V0132,V0151,5,58,23,0.534,9.37,0.0001379935657092928,3.86
V0088,V0483,6,38,55,0.836,7.177,0.00013791553050443689,3.86
V0104,V0354,3,16,17,0.109,27.574,0.000138596805037014,3.858
V0343,V0354,3,16,17,0.109,27.574,0.000138596805037014,3.858
V0049,V0490,3,17,16,0.109,27.574,0.000138596805037014,3.858
V0008,V0085,3,17,16,0.109,27.574,0.000138596805037014,3.858
V0049,V0343,3,17,16,0.109,27.574,0.000138596805037014,3.858
V0282,V0375,3,16,17,0.109,27.574,0.000138596805037014,3.858
V0354,V0490,3,17,16,0.109,27.574,0.000138596805037014,3.858
V0067,V0194,3,17,16,0.109,27.574,0.000138596805037014,3.858
V0008,V0233,3,17,16,0.109,27.574,0.000138596805037014,3.858
V0106,V0408,3,13,21,0.109,27.473,0.0001385259653486474,3.858
V0314,V0459,3,13,21,0.109,27.473,0.0001385259653486474,3.858
V0011,V0392,5,40,33,0.528,9.47,0.00013862247268622727,3.858
V0062,V0392,5,40,33,0.528,9.47,0.00013862247268622727,3.858
V0359,V0437,5,40,33,0.528,9.47,0.00013862247268622727,3.858
V0090,V0119,5,21,64,0.538,9.301,0.00013929452422804537,3.856
V0215,V0308,6,51,41,0.836,7.174,0.00013922375276034535,3.856
V0007,V0523,5,39,34,0.53,9.427,0.0001419226432174542,3.848
V0098,V0384,4,16,45,0.288,13.889,0.00014252330792731058,3.846
V0055,V0363,4,16,45,0.288,13.889,0.00014252330792731058,3.846
V0016,V0195,6,50,42,0.84,7.143,0.00014287527909212042,3.845
V0195,V0244,6,42,50,0.84,7.143,0.00014287527909212042,3.845
V0336,V0344,5,35,38,0.532,9.398,0.00014415582853574216,3.841
V0415,V0421,5,29,46,0.534,9.37,0.00014428461061974309,3.841
V0186,V0248,5,29,46,0.534,9.37,0.00014428461061974309,3.841
V0472,V0488,5,37,36,0.533,9.384,0.0001452824228737602,3.838
V0019,V0371,4,23,31,0.285,14.025,0.0001454840054468145,3.837
V0431,V0469,4,23,31,0.285,14.025,0.0001454840054468145,3.837
V0204,V0469,4,23,31,0.285,14.025,0.0001454840054468145,3.837
V0062,V0174,4,40,18,0.288,13.889,0.0001464283288415935,3.834
V0120,V0172,6,44,48,0.845,7.102,0.00014786121823539042,3.83
V0217,V0404,4,19,38,0.289,13.85,0.00014952341956670157,3.825
V0229,V0406,3,14,20,0.112,26.786,0.0001508016497545065,3.822
V0083,V0406,3,14,20,0.112,26.786,0.0001508016497545065,3.822
V0165,V0447,3,14,20,0.112,26.786,0.0001508016497545065,3.822
V0082,V0195,5,32,42,0.538,9.301,0.0001510858312134342,3.821
V0022,V0200,4,24,30,0.288,13.889,0.0001517133649455911,3.819
V0134,V0178,4,15,49,0.294,13.605,0.00015184619233015676,3.819
V0454,V0545,4,43,17,0.292,13.68,0.00015363508446928115,3.814
V0113,V0497,4,46,16,0.294,13.587,0.00015549242343250786,3.808
V0029,V0394,5,33,41,0.541,9.239,0.00015639604241790228,3.806
V0141,V0262,4,28,26,0.291,13.736,0.0001590653091354563,3.798
V0072,V0533,6,58,37,0.858,6.99,0.00015968464537064343,3.797
V0350,V0439,3,15,19,0.114,26.316,0.00015998619239123135,3.796
V0217,V0221,3,19,15,0.114,26.316,0.00015998619239123135,3.796
V0203,V0388,3,15,19,0.114,26.316,0.00015998619239123135,3.796
V0191,V0435,3,22,13,0.114,26.224,0.0001599156958187704,3.796
V0175,V0503,3,22,13,0.114,26.224,0.0001599156958187704,3.796
V0324,V0339,3,13,22,0.114,26.224,0.0001599156958187704,3.796
V0324,V0386,3,13,22,0.114,26.224,0.0001599156958187704,3.796
V0303,V0422,4,27,27,0.292,13.717,0.0001600019920630986,3.796
V0256,V0512,5,40,34,0.544,9.191,0.0001606236095610737,3.794
V0044,V0064,5,34,40,0.544,9.191,0.0001606236095610737,3.794
V0120,V0371,5,44,31,0.546,9.164,0.00016192270505819894,3.791
V0336,V0459,4,35,21,0.294,13.605,0.0001628878461111128,3.788
V0080,V0162,5,39,35,0.546,9.158,0.00016369620007076135,3.786
V0082,V0151,4,32,23,0.294,13.587,0.00016525297031867698,3.782
V0497,V0539,3,16,18,0.115,26.042,0.00016566624532926813,3.781
V0456,V0482,3,18,16,0.115,26.042,0.00016566624532926813,3.781
V0511,V0542,3,18,16,0.115,26.042,0.00016566624532926813,3.781
V0104,V0505,3,16,18,0.115,26.042,0.00016566624532926813,3.781
V0335,V0488,5,38,36,0.547,9.137,0.0001655611209580858,3.781
V0332,V0489,5,51,27,0.551,9.078,0.00016649299829504688,3.779
V0049,V0354,3,17,17,0.116,25.952,0.00016758810086416504,3.776
V0070,V0315,3,17,17,0.116,25.952,0.00016758810086416504,3.776
V0067,V0094,3,17,17,0.116,25.952,0.00016758810086416504,3.776
V0049,V0486,3,17,17,0.116,25.952,0.00016758810086416504,3.776
V0354,V0486,3,17,17,0.116,25.952,0.00016758810086416504,3.776
V0267,V0411,3,17,17,0.116,25.952,0.00016758810086416504,3.776
V0066,V0132,7,53,58,1.23,5.693,0.00016799333076284953,3.775
V0024,V0248,6,47,46,0.865,6.938,0.00016907882847560658,3.772
V0271,V0371,4,24,31,0.298,13.441,0.00017307116894139658,3.762
V0469,V0529,4,31,24,0.298,13.441,0.00017307116894139658,3.762
V0308,V0502,6,41,53,0.869,6.903,0.00017321601801957156,3.761
V0242,V0379,6,41,53,0.869,6.903,0.00017321601801957156,3.761
V0300,V0476,3,14,21,0.118,25.51,0.0001753530185662247,3.756
V0181,V0459,3,14,21,0.118,25.51,0.0001753530185662247,3.756
V0083,V0286,3,14,21,0.118,25.51,0.0001753530185662247,3.756
V0148,V0165,3,21,14,0.118,25.51,0.0001753530185662247,3.756
V0234,V0471,3,21,14,0.118,25.51,0.0001753530185662247,3.756
V0007,V0309,6,39,56,0.874,6.868,0.00017743412661644963,3.751
V0043,V0069,4,51,15,0.306,13.072,0.00017782591660047605,3.75
V0203,V0327,4,15,51,0.306,13.072,0.00017782591660047605,3.75
V0197,V0419,5,25,56,0.56,8.929,0.00017766833192233434,3.75
V0338,V0414,5,45,31,0.558,8.961,0.00018057621020717144,3.743
V0503,V0549,3,13,23,0.12,25.084,0.0001833494489585161,3.737
V0033,V0168,3,25,12,0.12,25.0,0.00018327465498394334,3.737
V0150,V0288,4,26,29,0.302,13.263,0.00018321378315752312,3.737
V0281,V0388,4,40,19,0.304,13.158,0.00018334073198345415,3.737
V0185,V0426,4,19,40,0.304,13.158,0.00018334073198345415,3.737
V0062,V0213,4,40,19,0.304,13.158,0.00018334073198345415,3.737
V0363,V0411,4,45,17,0.306,13.072,0.000183934353998811,3.735
V0008,V0338,4,17,45,0.306,13.072,0.000183934353998811,3.735
V0086,V0434,4,20,38,0.304,13.158,0.00018487170317343417,3.733
V0201,V0541,4,38,20,0.304,13.158,0.00018487170317343417,3.733
V0313,V0345,4,28,27,0.302,13.228,0.00018529243110944191,3.732
V0011,V0513,6,40,55,0.88,6.818,0.00018535690342822943,3.732
V0193,V0342,3,8,39,0.125,24.038,0.00018635921622159603,3.73
V0120,V0368,6,44,50,0.88,6.818,0.0001864896051972546,3.729
V0054,V0356,4,33,23,0.304,13.175,0.0001868990643090379,3.728
V0086,V0134,3,20,15,0.12,25.0,0.00018753982030140587,3.727
V0406,V0491,3,20,15,0.12,25.0,0.00018753982030140587,3.727
V0117,V0457,3,20,15,0.12,25.0,0.00018753982030140587,3.727
V0092,V0203,3,20,15,0.12,25.0,0.00018753982030140587,3.727
V0153,V0297,5,36,39,0.562,8.903,0.00018794017160597874,3.726
V0007,V0301,5,39,36,0.562,8.903,0.00018794017160597874,3.726
V0259,V0383,5,39,36,0.562,8.903,0.00018794017160597874,3.726
V0421,V0547,6,46,48,0.883,6.793,0.00019057243973002693,3.72
V0253,V0419,4,14,56,0.314,12.755,0.00019145720211881652,3.718
V0174,V0454,4,18,43,0.31,12.92,0.0001950683417853023,3.71
V0217,V0282,3,19,16,0.122,24.671,0.00019595986099879765,3.708
V0296,V0389,3,16,19,0.122,24.671,0.00019595986099879765,3.708
V0146,V0233,3,19,16,0.122,24.671,0.00019595986099879765,3.708
V0251,V0401,3,19,16,0.122,24.671,0.00019595986099879765,3.708
V0141,V0147,3,28,11,0.123,24.351,0.00019566368405265,3.708
V0377,V0453,4,24,32,0.307,13.021,0.0001965257648095554,3.707
V0059,V0135,4,32,24,0.307,13.021,0.0001965257648095554,3.707
V0336,V0514,4,35,22,0.308,12.987,0.00019711029396994982,3.705
V0169,V0373,4,35,22,0.308,12.987,0.00019711029396994982,3.705
V0002,V0310,4,22,35,0.308,12.987,0.00019711029396994982,3.705
V0392,V0454,5,33,43,0.568,8.809,0.00019714200030540062,3.705
V0042,V0296,4,49,16,0.314,12.755,0.00019955081110788008,3.7
V0006,V0042,4,16,49,0.314,12.755,0.00019955081110788008,3.7
V0263,V0282,4,49,16,0.314,12.755,0.00019955081110788008,3.7
V0178,V0233,4,49,16,0.314,12.755,0.00019955081110788008,3.7
V0456,V0521,3,18,17,0.122,24.51,0.00020025964495741275,3.698
V0145,V0375,3,18,17,0.122,24.51,0.00020025964495741275,3.698
V0292,V0379,5,27,53,0.572,8.735,0.00020039829829015838,3.698
V0066,V0292,5,53,27,0.572,8.735,0.00020039829829015838,3.698
V0077,V0536,3,14,22,0.123,24.351,0.0002023683333742698,3.694
V0087,V0181,3,22,14,0.123,24.351,0.0002023683333742698,3.694
V0191,V0205,3,22,14,0.123,24.351,0.0002023683333742698,3.694
V0372,V0386,3,14,22,0.123,24.351,0.0002023683333742698,3.694
V0077,V0192,3,14,22,0.123,24.351,0.0002023683333742698,3.694
V0420,V0471,3,22,14,0.123,24.351,0.0002023683333742698,3.694
V0165,V0536,3,14,22,0.123,24.351,0.0002023683333742698,3.694
V0185,V0525,4,19,41,0.312,12.837,0.00020218017043604854,3.694
V0242,V0388,4,41,19,0.312,12.837,0.00020218017043604854,3.694
V0509,V0512,5,42,34,0.571,8.754,0.00020364294080079567,3.691
V0007,V0546,4,39,20,0.312,12.821,0.00020493945336539613,3.688
V0206,V0468,3,12,26,0.125,24.038,0.00020661829195525204,3.685
V0332,V0438,6,51,44,0.898,6.684,0.00020858819799722116,3.681
V0169,V0230,5,35,41,0.574,8.711,0.00020881082170080975,3.68
V0172,V0510,5,48,30,0.576,8.681,0.00020976564260926733,3.678
V0038,V0132,5,25,58,0.58,8.621,0.0002102662256360315,3.677
V0027,V0338,5,32,45,0.576,8.681,0.000211161713114458,3.675
V0016,V0219,6,50,45,0.9,6.667,0.00021192568905464528,3.674
V0123,V0244,6,45,50,0.9,6.667,0.00021192568905464528,3.674
V0016,V0363,6,50,45,0.9,6.667,0.00021192568905464528,3.674
V0078,V0426,5,36,40,0.576,8.681,0.00021256271331261158,3.673
V0122,V0281,5,36,40,0.576,8.681,0.00021256271331261158,3.673
V0122,V0322,5,36,40,0.576,8.681,0.00021256271331261158,3.673
V0122,V0413,5,36,40,0.576,8.681,0.00021256271331261158,3.673
V0047,V0394,6,55,41,0.902,6.652,0.00021348000056063606,3.671
V0073,V0511,4,44,18,0.317,12.626,0.00021360706845618865,3.67
V0189,V0453,3,10,32,0.128,23.438,0.00021524880396202168,3.667
V0039,V0150,5,56,26,0.582,8.585,0.00021623650288690922,3.665
V0039,V0468,5,56,26,0.582,8.585,0.00021623650288690922,3.665
V0057,V0476,3,15,21,0.126,23.81,0.00021800682463935864,3.662
V0393,V0476,3,15,21,0.126,23.81,0.00021800682463935864,3.662
V0090,V0350,3,21,15,0.126,23.81,0.00021800682463935864,3.662
V0408,V0491,3,21,15,0.126,23.81,0.00021800682463935864,3.662
V0234,V0265,3,21,15,0.126,23.81,0.00021800682463935864,3.662
V0148,V0491,3,21,15,0.126,23.81,0.00021800682463935864,3.662
V0073,V0464,5,44,33,0.581,8.609,0.00022033193474710647,3.657
V0054,V0120,5,33,44,0.581,8.609,0.00022033193474710647,3.657
V0255,V0304,5,33,44,0.581,8.609,0.00022033193474710647,3.657
V0400,V0437,4,24,33,0.317,12.626,0.00022219696614426848,3.653
V0054,V0400,4,33,24,0.317,12.626,0.00022219696614426848,3.653
V0322,V0546,4,40,20,0.32,12.5,0.00022653817474733808,3.645
V0211,V0322,4,20,40,0.32,12.5,0.00022653817474733808,3.645
V0083,V0431,3,14,23,0.129,23.292,0.00023195326468766444,3.635
V0077,V0431,3,14,23,0.129,23.292,0.00023195326468766444,3.635
V0077,V0204,3,14,23,0.129,23.292,0.00023195326468766444,3.635
V0149,V0329,3,12,27,0.13,23.148,0.00023181523505500906,3.635
V0206,V0270,3,12,27,0.13,23.148,0.00023181523505500906,3.635
V0384,V0456,4,45,18,0.324,12.346,0.00023338887809444038,3.632
V0338,V0456,4,45,18,0.324,12.346,0.00023338887809444038,3.632
V0043,V0542,4,51,16,0.326,12.255,0.00023354205729726263,3.632
V0043,V0445,4,51,16,0.326,12.255,0.00023354205729726263,3.632
V0162,V0485,5,35,42,0.588,8.503,0.00023465022620087984,3.63
V0357,V0389,3,17,19,0.129,23.22,0.00023680780860564087,3.626
V0411,V0548,3,17,19,0.129,23.22,0.00023680780860564087,3.626
V0217,V0375,3,19,17,0.129,23.22,0.00023680780860564087,3.626
V0058,V0439,3,17,19,0.129,23.22,0.00023680780860564087,3.626
V0107,V0267,3,19,17,0.129,23.22,0.00023680780860564087,3.626
V0067,V0353,3,17,19,0.129,23.22,0.00023680780860564087,3.626
V0058,V0498,3,17,19,0.129,23.22,0.00023680780860564087,3.626
V0106,V0499,3,13,25,0.13,23.077,0.0002366844835447049,3.626
V0215,V0338,6,51,45,0.918,6.536,0.00023695687198532655,3.625
V0396,V0494,5,51,29,0.592,8.452,0.0002374665244289165,3.624
V0043,V0391,5,51,29,0.592,8.452,0.0002374665244289165,3.624
V0051,V0530,5,51,29,0.592,8.452,0.0002374665244289165,3.624
V0030,V0456,3,18,18,0.13,23.148,0.00023922865220129608,3.621
V0371,V0429,4,31,26,0.322,12.407,0.00023930576521998684,3.621
V0280,V0504,5,36,41,0.59,8.469,0.00023957633291758496,3.621
V0301,V0504,5,36,41,0.59,8.469,0.00023957633291758496,3.621
V0147,V0200,3,11,30,0.132,22.727,0.00024132054953799538,3.617
V0011,V0061,5,40,37,0.592,8.446,0.0002429037004298047,3.615
V0003,V0472,5,40,37,0.592,8.446,0.0002429037004298047,3.615
V0126,V0345,4,30,27,0.324,12.346,0.00024436248353669834,3.612
V0007,V0352,5,39,38,0.593,8.435,0.00024458046375037956,3.612
V0278,V0370,4,22,37,0.326,12.285,0.00024575969913075,3.609
V0076,V0370,4,22,37,0.326,12.285,0.00024575969913075,3.609
V0288,V0436,4,29,28,0.325,12.315,0.00024691934168880226,3.607
V0313,V0415,4,28,29,0.325,12.315,0.00024691934168880226,3.607
V0211,V0504,4,20,41,0.328,12.195,0.0002497362740914234,3.603
V0086,V0293,4,20,41,0.328,12.195,0.0002497362740914234,3.603
V0092,V0276,4,20,41,0.328,12.195,0.0002497362740914234,3.603
V0161,V0377,4,34,24,0.326,12.255,0.0002502063591854713,3.602
V0342,V0476,4,39,21,0.328,12.21,0.0002503275064857598,3.601
V0057,V0299,3,15,22,0.132,22.727,0.00025151787735026333,3.599
V0192,V0265,3,22,15,0.132,22.727,0.00025151787735026333,3.599
V0002,V0203,3,22,15,0.132,22.727,0.00025151787735026333,3.599
V0514,V0527,3,22,15,0.132,22.727,0.00025151787735026333,3.599
V0030,V0113,4,18,46,0.331,12.077,0.00025446280768142294,3.594
V0132,V0468,5,58,26,0.603,8.289,0.00025573943055156684,3.592
V0263,V0375,4,49,17,0.333,12.005,0.00025720053993179547,3.59
V0178,V0315,4,49,17,0.333,12.005,0.00025720053993179547,3.59
V0141,V0168,3,28,12,0.134,22.321,0.0002589288983067784,3.587
V0520,V0526,3,12,28,0.134,22.321,0.0002589288983067784,3.587
V0474,V0523,3,10,34,0.136,22.059,0.00025859067399750625,3.587
V0023,V0502,6,44,53,0.933,6.432,0.00025898085083676033,3.587
V0292,V0309,5,27,56,0.605,8.267,0.00026087745303070064,3.584
V0336,V0454,5,35,43,0.602,8.306,0.00026286099997180145,3.58
V0180,V0397,3,14,24,0.134,22.321,0.0002642119134800423,3.578
V0136,V0229,3,24,14,0.134,22.321,0.0002642119134800423,3.578
V0378,V0543,3,24,14,0.134,22.321,0.0002642119134800423,3.578
V0378,V0471,3,24,14,0.134,22.321,0.0002642119134800423,3.578
V0529,V0543,3,24,14,0.134,22.321,0.0002642119134800423,3.578
V0083,V0136,3,14,24,0.134,22.321,0.0002642119134800423,3.578
V0253,V0397,3,14,24,0.134,22.321,0.0002642119134800423,3.578
V0471,V0475,3,14,24,0.134,22.321,0.0002642119134800423,3.578
V0035,V0479,3,24,14,0.134,22.321,0.0002642119134800423,3.578
V0104,V0240,3,16,21,0.134,22.321,0.0002668662610651851,3.574
V0476,V0542,3,21,16,0.134,22.321,0.0002668662610651851,3.574
V0246,V0429,3,13,26,0.135,22.189,0.0002667506751341578,3.574
V0361,V0362,3,13,26,0.135,22.189,0.0002667506751341578,3.574
V0005,V0222,3,31,11,0.136,21.994,0.0002665315914101109,3.574
V0120,V0251,4,44,19,0.334,11.962,0.00026711093908023906,3.573
V0251,V0438,4,19,44,0.334,11.962,0.00026711093908023906,3.573
V0043,V0421,6,51,46,0.938,6.394,0.0002682866346534532,3.571
V0014,V0327,6,46,51,0.938,6.394,0.0002682866346534532,3.571
V0195,V0280,5,42,36,0.605,8.267,0.00026913297321781574,3.57
V0001,V0245,6,62,38,0.942,6.367,0.0002705635596232877,3.568
V0042,V0547,6,49,48,0.941,6.378,0.0002723541507241526,3.565
V0278,V0352,4,22,38,0.334,11.962,0.00027308358027018837,3.564
V0113,V0392,5,46,33,0.607,8.235,0.00027291277661905356,3.564
V0276,V0370,5,41,37,0.607,8.24,0.00027368184991783724,3.563
V0258,V0293,5,37,41,0.607,8.24,0.00027368184991783724,3.563
V0159,V0476,4,40,21,0.336,11.905,0.0002766209784071732,3.558
V0198,V0281,4,21,40,0.336,11.905,0.0002766209784071732,3.558
V0129,V0174,4,47,18,0.338,11.82,0.0002768783973863461,3.558
V0003,V0404,5,40,38,0.608,8.224,0.0002764389668413029,3.558
V0062,V0434,5,40,38,0.608,8.224,0.0002764389668413029,3.558
V0306,V0412,3,17,20,0.136,22.059,0.00027742525590353776,3.557
V0351,V0406,3,17,20,0.136,22.059,0.00027742525590353776,3.557
V0049,V0406,3,17,20,0.136,22.059,0.00027742525590353776,3.557
V0096,V0243,3,17,20,0.136,22.059,0.00027742525590353776,3.557
V0086,V0545,3,20,17,0.136,22.059,0.00027742525590353776,3.557
V0176,V0541,3,17,20,0.136,22.059,0.00027742525590353776,3.557
V0016,V0306,4,50,17,0.34,11.765,0.0002783928719066416,3.555
V0016,V0267,4,50,17,0.34,11.765,0.0002783928719066416,3.555
V0307,V0341,4,50,17,0.34,11.765,0.0002783928719066416,3.555
V0047,V0454,6,55,43,0.946,6.342,0.00027979336063776246,3.553
V0251,V0418,3,19,18,0.137,21.93,0.00028280383692309006,3.549
V0185,V0418,3,19,18,0.137,21.93,0.00028280383692309006,3.549
V0202,V0463,3,18,19,0.137,21.93,0.00028280383692309006,3.549
V0012,V0264,3,19,18,0.137,21.93,0.00028280383692309006,3.549
V0310,V0474,3,35,10,0.14,21.429,0.0002822355929346756,3.549
V0126,V0313,4,30,28,0.336,11.905,0.0002827153558182567,3.549
V0123,V0523,5,45,34,0.612,8.17,0.0002840471135228673,3.547
V0093,V0219,5,34,45,0.612,8.17,0.0002840471135228673,3.547
V0402,V0530,4,29,29,0.336,11.891,0.0002841321365716653,3.546
V0494,V0502,5,29,53,0.615,8.133,0.00028544308271022346,3.544
V0313,V0483,5,28,55,0.616,8.117,0.0002865393870810805,3.543
V0142,V0236,3,29,12,0.139,21.552,0.000288021919723492,3.541
V0236,V0402,3,12,29,0.139,21.552,0.000288021919723492,3.541
V0120,V0387,5,44,35,0.616,8.117,0.0002935854039406517,3.532
V0151,V0370,4,23,37,0.34,11.751,0.0002943590885869934,3.531
V0161,V0360,4,34,25,0.34,11.765,0.0002950054430165081,3.53
V0017,V0159,3,9,40,0.144,20.833,0.0002984005745148712,3.525
V0045,V0320,3,9,40,0.144,20.833,0.0002984005745148712,3.525
V0281,V0515,3,40,9,0.144,20.833,0.0002984005745148712,3.525
V0081,V0300,3,25,14,0.14,21.429,0.0002992468243068354,3.524
V0081,V0372,3,25,14,0.14,21.429,0.0002992468243068354,3.524
V0140,V0152,3,14,25,0.14,21.429,0.0002992468243068354,3.524
V0033,V0165,3,25,14,0.14,21.429,0.0002992468243068354,3.524
V0152,V0479,3,25,14,0.14,21.429,0.0002992468243068354,3.524
V0246,V0489,3,13,27,0.14,21.368,0.0002991907266362244,3.524
V0254,V0412,4,43,20,0.344,11.628,0.00030120811418841813,3.521
V0284,V0298,4,20,43,0.344,11.628,0.00030120811418841813,3.521
V0117,V0127,4,20,43,0.344,11.628,0.00030120811418841813,3.521
V0188,V0541,4,43,20,0.344,11.628,0.00030120811418841813,3.521
V0117,V0188,4,20,43,0.344,11.628,0.00030120811418841813,3.521
V0188,V0301,5,43,36,0.619,8.075,0.0003013888356258895,3.521
V0255,V0340,5,33,47,0.62,8.059,0.00030253954227784134,3.519
V0129,V0392,5,47,33,0.62,8.059,0.00030253954227784134,3.519
V0293,V0365,4,41,21,0.344,11.614,0.00030484991793871033,3.516
V0339,V0445,3,22,16,0.141,21.307,0.0003077952843049763,3.512
V0420,V0490,3,22,16,0.141,21.307,0.0003077952843049763,3.512
V0061,V0509,5,37,42,0.622,8.044,0.0003073435374979968,3.512
V0352,V0504,5,38,41,0.623,8.023,0.0003113624478718679,3.507
V0007,V0281,5,39,40,0.624,8.013,0.0003133867314524133,3.504
V0259,V0424,5,39,40,0.624,8.013,0.0003133867314524133,3.504
V0297,V0359,5,39,40,0.624,8.013,0.0003133867314524133,3.504
V0377,V0488,4,24,36,0.346,11.574,0.00031373425658745525,3.503
V0135,V0209,4,24,36,0.346,11.574,0.00031373425658745525,3.503
V0047,V0098,4,55,16,0.352,11.364,0.0003138153634101457,3.503
