vendor_id,legal_name,name,vendor_type,region,headquarters_region,primary_category,secondary_category,specialization,registration_date
V0155,Omega Services 155,Omega Services 155,COMPANY,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.676,2014-05-23
V0156,Prime Services 156,Prime Services 156,COMPANY,AP-SOUTH,AP-SOUTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.671,2020-01-14
V0157,Quantum Services 157,Quantum Services 157,COMPANY,KA-CENTRAL,KA-CENTRAL,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.614,2016-06-29
V0158,Raven Services 158,Raven Services 158,PROPRIETORSHIP,AP-SOUTH,AP-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.916,2023-07-12
V0159,Summit Services 159,Summit Services 159,COMPANY,KA-SOUTH,KA-SOUTH,WATER_INFRASTRUCTURE,ROAD_CONSTRUCTION,0.705,2022-09-01
V0160,Vertex Services 160,Vertex Services 160,PARTNERSHIP,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.646,2023-02-11
V0161,Apex Infrastructure 161,Apex Infrastructure 161,COMPANY,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.766,2012-11-15
V0162,Bharat Infrastructure 162,Bharat Infrastructure 162,PROPRIETORSHIP,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.778,2015-07-08
V0163,Crest Infrastructure 163,Crest Infrastructure 163,PROPRIETORSHIP,TN-NORTH,TN-NORTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.648,2017-05-27
V0164,Delta Infrastructure 164,Delta Infrastructure 164,COMPANY,KA-BENGALURU,KA-BENGALURU,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.783,2013-11-15
V0165,Eastern Infrastructure 165,Eastern Infrastructure 165,COMPANY,KA-BENGALURU,KA-BENGALURU,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.886,2019-10-07
V0166,Frontier Infrastructure 166,Frontier Infrastructure 166,COMPANY,AP-SOUTH,AP-SOUTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.785,2022-07-18
V0167,Galaxy Infrastructure 167,Galaxy Infrastructure 167,PROPRIETORSHIP,AP-SOUTH,AP-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.7,2024-01-25
V0168,Horizon Infrastructure 168,Horizon Infrastructure 168,COMPANY,AP-SOUTH,AP-SOUTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.931,2018-07-02
V0169,Indus Infrastructure 169,Indus Infrastructure 169,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.808,2016-11-30
V0170,Jupiter Infrastructure 170,Jupiter Infrastructure 170,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,IT_SERVICES,LAB_EQUIPMENT,0.678,2013-02-13
V0171,Kaveri Infrastructure 171,Kaveri Infrastructure 171,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,LAB_EQUIPMENT,IT_SERVICES,0.878,2013-01-30
V0172,Lotus Infrastructure 172,Lotus Infrastructure 172,COMPANY,KA-CENTRAL,KA-CENTRAL,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.846,2024-02-05
V0173,Metro Infrastructure 173,Metro Infrastructure 173,COMPANY,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.696,2015-12-25
V0174,National Infrastructure 174,National Infrastructure 174,COMPANY,KA-SOUTH,KA-SOUTH,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.755,2016-12-23
V0175,Omega Infrastructure 175,Omega Infrastructure 175,COMPANY,KA-SOUTH,KA-SOUTH,IT_SERVICES,LAB_EQUIPMENT,0.884,2014-06-03
V0176,Prime Infrastructure 176,Prime Infrastructure 176,COMPANY,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.714,2022-10-31
V0177,Quantum Infrastructure 177,Quantum Infrastructure 177,PARTNERSHIP,KA-SOUTH,KA-SOUTH,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.725,2021-04-02
V0178,Raven Infrastructure 178,Raven Infrastructure 178,PROPRIETORSHIP,KA-NORTH,KA-NORTH,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.819,2020-04-19
V0179,Summit Infrastructure 179,Summit Infrastructure 179,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.81,2022-09-16
V0180,Vertex Infrastructure 180,Vertex Infrastructure 180,COMPANY,KA-NORTH,KA-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.738,2018-06-11
V0181,Apex Engineering 181,Apex Engineering 181,COMPANY,KA-BENGALURU,KA-BENGALURU,IT_SERVICES,LAB_EQUIPMENT,0.931,2018-05-07
V0182,Bharat Engineering 182,Bharat Engineering 182,COMPANY,KA-CENTRAL,KA-CENTRAL,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.782,2015-03-06
V0183,Crest Engineering 183,Crest Engineering 183,COMPANY,AP-SOUTH,AP-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.603,2018-06-27
V0184,Delta Engineering 184,Delta Engineering 184,COMPANY,KA-NORTH,KA-NORTH,LAB_EQUIPMENT,IT_SERVICES,0.99,2022-07-25
V0185,Eastern Engineering 185,Eastern Engineering 185,COMPANY,KA-SOUTH,KA-SOUTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.758,2020-10-11
V0186,Frontier Engineering 186,Frontier Engineering 186,COMPANY,KA-BENGALURU,KA-BENGALURU,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.862,2024-06-08
V0187,Galaxy Engineering 187,Galaxy Engineering 187,COMPANY,KA-NORTH,KA-NORTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.853,2013-10-24
V0188,Horizon Engineering 188,Horizon Engineering 188,PROPRIETORSHIP,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.805,2014-09-02
V0189,Indus Engineering 189,Indus Engineering 189,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.7,2012-12-24
V0190,Jupiter Engineering 190,Jupiter Engineering 190,COMPANY,TN-NORTH,TN-NORTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.59,2017-08-21
V0191,Kaveri Engineering 191,Kaveri Engineering 191,COMPANY,KA-SOUTH,KA-SOUTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.679,2024-10-11
V0192,Lotus Engineering 192,Lotus Engineering 192,COMPANY,KA-BENGALURU,KA-BENGALURU,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.757,2023-04-04
V0193,Metro Engineering 193,Metro Engineering 193,COMPANY,TN-NORTH,TN-NORTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.665,2017-11-08
V0194,National Engineering 194,National Engineering 194,PROPRIETORSHIP,KA-CENTRAL,KA-CENTRAL,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.639,2012-07-31
V0195,Omega Engineering 195,Omega Engineering 195,COMPANY,KA-SOUTH,KA-SOUTH,FURNITURE,BUILDING_CONSTRUCTION,0.643,2017-12-30
V0196,Prime Engineering 196,Prime Engineering 196,PROPRIETORSHIP,KA-CENTRAL,KA-CENTRAL,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.613,2016-12-03
V0197,Quantum Engineering 197,Quantum Engineering 197,COMPANY,TN-NORTH,TN-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.857,2024-11-30
V0198,Raven Engineering 198,Raven Engineering 198,COMPANY,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.64,2018-10-04
V0199,Summit Engineering 199,Summit Engineering 199,PROPRIETORSHIP,KA-BENGALURU,KA-BENGALURU,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.79,2023-01-13
V0200,Vertex Engineering 200,Vertex Engineering 200,PROPRIETORSHIP,KA-CENTRAL,KA-CENTRAL,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.971,2018-03-11
V0201,Apex Enterprises 201,Apex Enterprises 201,COMPANY,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.791,2013-02-27
V0202,Bharat Enterprises 202,Bharat Enterprises 202,PROPRIETORSHIP,KA-NORTH,KA-NORTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.964,2020-02-26
V0203,Crest Enterprises 203,Crest Enterprises 203,COMPANY,KA-BENGALURU,KA-BENGALURU,FURNITURE,BUILDING_CONSTRUCTION,0.592,2016-08-12
V0204,Delta Enterprises 204,Delta Enterprises 204,COMPANY,KA-NORTH,KA-NORTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.915,2022-09-24
V0205,Eastern Enterprises 205,Eastern Enterprises 205,COMPANY,KA-SOUTH,KA-SOUTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.643,2023-11-25
V0206,Frontier Enterprises 206,Frontier Enterprises 206,PARTNERSHIP,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.714,2014-11-05
V0207,Galaxy Enterprises 207,Galaxy Enterprises 207,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.639,2023-08-07
V0208,Horizon Enterprises 208,Horizon Enterprises 208,PROPRIETORSHIP,TN-NORTH,TN-NORTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.736,2016-01-21
V0209,Indus Enterprises 209,Indus Enterprises 209,COMPANY,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.825,2022-06-16
V0210,Jupiter Enterprises 210,Jupiter Enterprises 210,COMPANY,KA-SOUTH,KA-SOUTH,IT_SERVICES,LAB_EQUIPMENT,0.571,2024-01-05
V0211,Kaveri Enterprises 211,Kaveri Enterprises 211,PARTNERSHIP,TN-NORTH,TN-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.572,2024-05-01
V0212,Lotus Enterprises 212,Lotus Enterprises 212,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.776,2023-08-27
V0213,Metro Enterprises 213,Metro Enterprises 213,COMPANY,KA-SOUTH,KA-SOUTH,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.741,2017-09-21
V0214,National Enterprises 214,National Enterprises 214,PARTNERSHIP,KA-NORTH,KA-NORTH,LAB_EQUIPMENT,IT_SERVICES,0.883,2019-11-30
V0215,Omega Enterprises 215,Omega Enterprises 215,COMPANY,KA-SOUTH,KA-SOUTH,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.824,2012-03-03
V0216,Prime Enterprises 216,Prime Enterprises 216,COMPANY,KA-NORTH,KA-NORTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.685,2018-03-24
V0217,Quantum Enterprises 217,Quantum Enterprises 217,COMPANY,TN-NORTH,TN-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.711,2014-07-03
V0218,Raven Enterprises 218,Raven Enterprises 218,COMPANY,KA-SOUTH,KA-SOUTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.925,2021-05-21
V0219,Summit Enterprises 219,Summit Enterprises 219,COMPANY,KA-SOUTH,KA-SOUTH,FURNITURE,BUILDING_CONSTRUCTION,0.746,2019-04-29
V0220,Vertex Enterprises 220,Vertex Enterprises 220,COMPANY,KA-NORTH,KA-NORTH,WATER_INFRASTRUCTURE,ROAD_CONSTRUCTION,0.725,2024-08-27
V0221,Apex Solutions 221,Apex Solutions 221,PARTNERSHIP,KA-NORTH,KA-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.73,2017-08-18
V0222,Bharat Solutions 222,Bharat Solutions 222,PARTNERSHIP,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.736,2024-02-23
V0223,Crest Solutions 223,Crest Solutions 223,COMPANY,TN-NORTH,TN-NORTH,LAB_EQUIPMENT,IT_SERVICES,0.99,2018-12-22
V0224,Delta Solutions 224,Delta Solutions 224,COMPANY,KA-SOUTH,KA-SOUTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.705,2024-09-18
V0225,Eastern Solutions 225,Eastern Solutions 225,COMPANY,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.626,2015-12-21
V0226,Frontier Solutions 226,Frontier Solutions 226,COMPANY,KA-BENGALURU,KA-BENGALURU,IT_SERVICES,LAB_EQUIPMENT,0.743,2019-11-09
V0227,Galaxy Solutions 227,Galaxy Solutions 227,COMPANY,KA-CENTRAL,KA-CENTRAL,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.664,2018-11-02
V0228,Horizon Solutions 228,Horizon Solutions 228,COMPANY,TN-NORTH,TN-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.81,2020-08-05
V0229,Indus Solutions 229,Indus Solutions 229,COMPANY,KA-SOUTH,KA-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.823,2022-01-07
V0230,Jupiter Solutions 230,Jupiter Solutions 230,COMPANY,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.878,2020-07-16
V0231,Kaveri Solutions 231,Kaveri Solutions 231,COMPANY,KA-CENTRAL,KA-CENTRAL,IT_SERVICES,LAB_EQUIPMENT,0.791,2017-09-25
V0232,Lotus Solutions 232,Lotus Solutions 232,PARTNERSHIP,TN-NORTH,TN-NORTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.839,2024-01-26
V0233,Metro Solutions 233,Metro Solutions 233,COMPANY,KA-BENGALURU,KA-BENGALURU,IT_SERVICES,LAB_EQUIPMENT,0.892,2020-09-24
V0234,National Solutions 234,National Solutions 234,COMPANY,KA-BENGALURU,KA-BENGALURU,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.725,2024-02-03
V0235,Omega Solutions 235,Omega Solutions 235,COMPANY,KA-BENGALURU,KA-BENGALURU,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.62,2018-11-02
V0236,Prime Solutions 236,Prime Solutions 236,COMPANY,KA-BENGALURU,KA-BENGALURU,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.647,2016-09-08
V0237,Quantum Solutions 237,Quantum Solutions 237,COMPANY,TN-NORTH,TN-NORTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.61,2020-08-06
V0238,Raven Solutions 238,Raven Solutions 238,COMPANY,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.582,2018-08-02
V0239,Summit Solutions 239,Summit Solutions 239,PROPRIETORSHIP,KA-NORTH,KA-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.686,2015-03-16
V0240,Vertex Solutions 240,Vertex Solutions 240,COMPANY,KA-CENTRAL,KA-CENTRAL,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.647,2020-04-06
V0241,Apex Industries 241,Apex Industries 241,PARTNERSHIP,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.775,2021-11-19
V0242,Bharat Industries 242,Bharat Industries 242,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,FURNITURE,BUILDING_CONSTRUCTION,0.681,2019-11-06
V0243,Crest Industries 243,Crest Industries 243,COMPANY,KA-NORTH,KA-NORTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.897,2012-05-19
V0244,Delta Industries 244,Delta Industries 244,COMPANY,KA-NORTH,KA-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.814,2014-03-25
V0245,Eastern Industries 245,Eastern Industries 245,PARTNERSHIP,KA-NORTH,KA-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.834,2020-10-29
V0246,Frontier Industries 246,Frontier Industries 246,COMPANY,TN-NORTH,TN-NORTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.726,2023-09-12
V0247,Galaxy Industries 247,Galaxy Industries 247,PARTNERSHIP,KA-NORTH,KA-NORTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.875,2018-10-10
V0248,Horizon Industries 248,Horizon Industries 248,COMPANY,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.908,2013-08-15
V0249,Indus Industries 249,Indus Industries 249,COMPANY,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.786,2022-01-26
V0250,Jupiter Industries 250,Jupiter Industries 250,COMPANY,KA-CENTRAL,KA-CENTRAL,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.732,2021-11-08
V0251,Kaveri Industries 251,Kaveri Industries 251,COMPANY,KA-NORTH,KA-NORTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.752,2018-10-25
V0252,Lotus Industries 252,Lotus Industries 252,COMPANY,KA-SOUTH,KA-SOUTH,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.624,2021-04-20
V0253,Metro Industries 253,Metro Industries 253,COMPANY,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.655,2020-05-20
V0254,National Industries 254,National Industries 254,COMPANY,KA-BENGALURU,KA-BENGALURU,FURNITURE,BUILDING_CONSTRUCTION,0.722,2021-07-03
V0255,Omega Industries 255,Omega Industries 255,COMPANY,TN-NORTH,TN-NORTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.809,2023-02-25
V0256,Prime Industries 256,Prime Industries 256,COMPANY,KA-CENTRAL,KA-CENTRAL,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.837,2018-08-28
V0257,Quantum Industries 257,Quantum Industries 257,COMPANY,KA-BENGALURU,KA-BENGALURU,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.578,2023-01-06
V0258,Raven Industries 258,Raven Industries 258,COMPANY,KA-NORTH,KA-NORTH,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.917,2021-09-20
V0259,Summit Industries 259,Summit Industries 259,PARTNERSHIP,KA-NORTH,KA-NORTH,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.801,2023-02-08
V0260,Vertex Industries 260,Vertex Industries 260,COMPANY,KA-SOUTH,KA-SOUTH,IT_SERVICES,LAB_EQUIPMENT,0.752,2016-12-17
V0261,Apex Systems 261,Apex Systems 261,COMPANY,KA-NORTH,KA-NORTH,IT_SERVICES,LAB_EQUIPMENT,0.735,2018-11-02
V0262,Bharat Systems 262,Bharat Systems 262,PARTNERSHIP,KA-CENTRAL,KA-CENTRAL,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.819,2018-01-28
V0263,Crest Systems 263,Crest Systems 263,COMPANY,KA-CENTRAL,KA-CENTRAL,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.911,2023-04-17
V0264,Delta Systems 264,Delta Systems 264,COMPANY,KA-SOUTH,KA-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.87,2016-12-17
V0265,Eastern Systems 265,Eastern Systems 265,COMPANY,KA-NORTH,KA-NORTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.674,2019-07-06
V0266,Frontier Systems 266,Frontier Systems 266,PARTNERSHIP,KA-SOUTH,KA-SOUTH,IT_SERVICES,LAB_EQUIPMENT,0.829,2014-09-09
V0267,Galaxy Systems 267,Galaxy Systems 267,COMPANY,AP-SOUTH,AP-SOUTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.712,2017-12-14
V0268,Horizon Systems 268,Horizon Systems 268,COMPANY,KA-BENGALURU,KA-BENGALURU,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.592,2024-05-10
V0269,Indus Systems 269,Indus Systems 269,COMPANY,KA-CENTRAL,KA-CENTRAL,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.833,2013-04-16
V0270,Jupiter Systems 270,Jupiter Systems 270,COMPANY,KA-SOUTH,KA-SOUTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.704,2022-11-28
V0271,Kaveri Systems 271,Kaveri Systems 271,PROPRIETORSHIP,AP-SOUTH,AP-SOUTH,WATER_INFRASTRUCTURE,ROAD_CONSTRUCTION,0.702,2012-11-14
V0272,Lotus Systems 272,Lotus Systems 272,COMPANY,KA-CENTRAL,KA-CENTRAL,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.61,2014-08-01
V0273,Metro Systems 273,Metro Systems 273,COMPANY,AP-SOUTH,AP-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.879,2016-09-15
V0274,National Systems 274,National Systems 274,COMPANY,KA-NORTH,KA-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.8,2018-08-27
V0275,Omega Systems 275,Omega Systems 275,PROPRIETORSHIP,KA-CENTRAL,KA-CENTRAL,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.832,2016-04-01
V0276,Prime Systems 276,Prime Systems 276,PARTNERSHIP,KA-CENTRAL,KA-CENTRAL,FURNITURE,BUILDING_CONSTRUCTION,0.631,2023-12-23
V0277,Quantum Systems 277,Quantum Systems 277,COMPANY,KA-NORTH,KA-NORTH,LAB_EQUIPMENT,IT_SERVICES,0.99,2014-05-16
V0278,Raven Systems 278,Raven Systems 278,PARTNERSHIP,KA-NORTH,KA-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.53,2021-12-11
V0279,Summit Systems 279,Summit Systems 279,PROPRIETORSHIP,AP-SOUTH,AP-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.774,2019-07-05
V0280,Vertex Systems 280,Vertex Systems 280,COMPANY,KA-SOUTH,KA-SOUTH,FURNITURE,BUILDING_CONSTRUCTION,0.633,2023-11-30
V0281,Apex Projects 281,Apex Projects 281,COMPANY,TN-NORTH,TN-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.818,2014-08-21
V0282,Bharat Projects 282,Bharat Projects 282,COMPANY,KA-BENGALURU,KA-BENGALURU,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.751,2022-02-21
V0283,Crest Projects 283,Crest Projects 283,COMPANY,KA-SOUTH,KA-SOUTH,IT_SERVICES,LAB_EQUIPMENT,0.733,2015-08-01
V0284,Delta Projects 284,Delta Projects 284,PARTNERSHIP,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.72,2014-07-04
V0285,Eastern Projects 285,Eastern Projects 285,COMPANY,TN-NORTH,TN-NORTH,IT_SERVICES,LAB_EQUIPMENT,0.747,2022-10-29
V0286,Frontier Projects 286,Frontier Projects 286,COMPANY,KA-NORTH,KA-NORTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.867,2012-10-14
V0287,Galaxy Projects 287,Galaxy Projects 287,COMPANY,KA-BENGALURU,KA-BENGALURU,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.679,2017-08-19
V0288,Horizon Projects 288,Horizon Projects 288,COMPANY,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.799,2018-03-05
V0289,Indus Projects 289,Indus Projects 289,COMPANY,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.747,2019-12-01
V0290,Jupiter Projects 290,Jupiter Projects 290,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.665,2015-03-05
V0291,Kaveri Projects 291,Kaveri Projects 291,PARTNERSHIP,AP-SOUTH,AP-SOUTH,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.799,2017-10-19
V0292,Lotus Projects 292,Lotus Projects 292,COMPANY,TN-NORTH,TN-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.672,2013-05-17
V0293,Metro Projects 293,Metro Projects 293,PARTNERSHIP,AP-SOUTH,AP-SOUTH,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.834,2023-10-09
V0294,National Projects 294,National Projects 294,COMPANY,KA-CENTRAL,KA-CENTRAL,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.796,2024-04-23
V0295,Omega Projects 295,Omega Projects 295,COMPANY,KA-BENGALURU,KA-BENGALURU,LAB_EQUIPMENT,IT_SERVICES,0.99,2014-08-24
V0296,Prime Projects 296,Prime Projects 296,COMPANY,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.678,2022-12-31
V0297,Quantum Projects 297,Quantum Projects 297,COMPANY,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.701,2021-04-10
V0298,Raven Projects 298,Raven Projects 298,COMPANY,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.855,2014-06-13
V0299,Summit Projects 299,Summit Projects 299,COMPANY,KA-NORTH,KA-NORTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.75,2014-11-27
V0300,Vertex Projects 300,Vertex Projects 300,COMPANY,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.634,2017-06-25
V0301,Apex Services 301,Apex Services 301,COMPANY,KA-NORTH,KA-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.708,2016-02-08
V0302,Bharat Services 302,Bharat Services 302,COMPANY,KA-NORTH,KA-NORTH,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.757,2014-06-07
V0303,Crest Services 303,Crest Services 303,COMPANY,AP-SOUTH,AP-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.824,2016-12-04
V0304,Delta Services 304,Delta Services 304,COMPANY,KA-SOUTH,KA-SOUTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.883,2018-04-15
V0305,Eastern Services 305,Eastern Services 305,PROPRIETORSHIP,TN-NORTH,TN-NORTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.591,2013-04-17
V0306,Frontier Services 306,Frontier Services 306,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.691,2022-07-30
V0307,Galaxy Services 307,Galaxy Services 307,COMPANY,AP-SOUTH,AP-SOUTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.99,2018-10-03
V0308,Horizon Services 308,Horizon Services 308,COMPANY,KA-CENTRAL,KA-CENTRAL,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.799,2013-05-30
V0309,Indus Services 309,Indus Services 309,COMPANY,KA-NORTH,KA-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.762,2023-02-07
