vendor_id,investigation_priority,evidence_family_count,evidence_families,weighted_evidence_strength,strongest_family_strength,convergence_strength,evidence_diversity,persistence_strength,context_factor,minimum_family_context,core_evidence_families,supporting_evidence_families,core_evidence_strength,supporting_evidence_strength,evidence_count,risk_components,explanations
V0093,22.460284855046492,3,"cooccurrence,economic,winner_rotation",0.218634,0.265679,0.258736,0.86,0.303018,0.745368,0.236105,network,,0.265679,0.0,7,"{'cooccurrence': 0.2657, 'economic': 0.2161, 'winner_rotation': 0.1629}",[cooccurrence] conditional co-bidding 4.00x expected; persistence=0.83 | [economic] unusually compressed bid dispersion; compression=1.45; bids=6 | [winner_rotation] repeated winner transition share=0.22
V0094,12.841710401261091,1,cooccurrence,0.232408,0.232408,0.232408,0.35,0.7667,0.35,0.197864,,,0.232408,0.0,2,{'cooccurrence': 0.2324},[cooccurrence] conditional co-bidding 3.00x expected; persistence=0.77
V0096,12.525766957325413,1,cooccurrence,0.22669,0.22669,0.22669,0.35,0.7667,0.35,0.194641,,,0.22669,0.0,2,{'cooccurrence': 0.2267},[cooccurrence] conditional co-bidding 2.63x expected; persistence=0.77
V0097,18.146964726521748,2,"economic,geographic",0.201107,0.217452,0.190783,0.68,0.0,1.0,1.0,,,0.190783,0.217452,2,"{'economic': 0.1908, 'geographic': 0.2175}",[geographic] winning geography differs from participation geography by 0.37 | [economic] unusually compressed bid dispersion; compression=1.40; bids=6
V0098,17.863285138176327,2,"cooccurrence,geographic",0.334361,0.527633,0.218398,0.68,0.458312,0.593732,0.187465,,geographic,0.218398,0.527633,4,"{'cooccurrence': 0.2184, 'geographic': 0.5276}",[geographic] winning geography differs from participation geography by 0.62 | [cooccurrence] conditional co-bidding 2.40x expected; persistence=0.73
V0100,12.902856348677188,2,"economic,temporal",0.145664,0.175971,0.166986,0.68,0.136425,0.564446,0.128891,,,0.175971,0.0,2,"{'economic': 0.176, 'temporal': 0.1118}",[economic] unusually compressed bid dispersion; compression=1.68; bids=4 | [temporal] vendor behavioral regime shift; procurement relevance=0.13; persistence=0.29
V0103,5.223112553904624,1,temporal,0.094527,0.094527,0.094527,0.35,0.12,0.35,0.118694,,,0.094527,0.0,1,{'temporal': 0.0945},[temporal] vendor behavioral regime shift; procurement relevance=0.12; persistence=0.12
V0104,20.330306544156155,1,economic,0.236399,0.236399,0.236399,0.35,0.0,1.0,1.0,,,0.236399,0.0,1,{'economic': 0.2364},[economic] unusually compressed bid dispersion; compression=1.49; bids=9
V0106,18.30136160986169,2,"economic,geographic",0.208332,0.23601,0.190852,0.68,0.0,1.0,1.0,,,0.190852,0.23601,3,"{'economic': 0.1909, 'geographic': 0.236}",[geographic] winning geography differs from participation geography by 0.38 | [economic] unusually compressed bid dispersion; compression=1.03; bids=9
V0107,14.40186685749904,2,"cooccurrence,temporal",0.168972,0.239744,0.218179,0.68,0.511184,0.35,0.202449,,,0.239744,0.0,3,"{'cooccurrence': 0.2397, 'temporal': 0.0857}",[cooccurrence] conditional co-bidding 3.80x expected; persistence=0.70 | [temporal] vendor behavioral regime shift; procurement relevance=0.20; persistence=0.17
V0110,12.553387948752977,1,cooccurrence,0.22719,0.22719,0.22719,0.35,0.7,0.35,0.218234,,,0.22719,0.0,1,{'cooccurrence': 0.2272},[cooccurrence] conditional co-bidding 4.38x expected; persistence=0.70
V0112,12.94856802693947,1,cooccurrence,0.234342,0.234342,0.234342,0.35,0.7667,0.35,0.198212,,,0.234342,0.0,2,{'cooccurrence': 0.2343},[cooccurrence] conditional co-bidding 3.25x expected; persistence=0.73
V0113,21.164178900890253,3,"cooccurrence,economic,temporal",0.20979,0.290116,0.266645,0.86,0.453284,0.432914,0.085538,network,,0.290116,0.0,19,"{'cooccurrence': 0.2901, 'economic': 0.1785, 'temporal': 0.1503}",[cooccurrence] conditional co-bidding 1.29x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.70; bids=5 | [temporal] vendor behavioral regime shift; procurement relevance=0.09; persistence=0.32
V0114,13.468888591058217,1,cooccurrence,0.243759,0.243759,0.243759,0.35,0.7667,0.35,0.2011,,,0.243759,0.0,2,{'cooccurrence': 0.2438},[cooccurrence] conditional co-bidding 4.20x expected; persistence=0.70
V0115,13.830612169048889,2,"cooccurrence,temporal",0.166372,0.229613,0.210343,0.68,0.462035,0.35,0.184593,,,0.229613,0.0,8,"{'cooccurrence': 0.2296, 'temporal': 0.092}",[cooccurrence] conditional co-bidding 3.11x expected; persistence=0.70 | [temporal] vendor behavioral regime shift; procurement relevance=0.18; persistence=0.14
V0117,24.187728595659603,4,"cooccurrence,economic,geographic,temporal",0.229748,0.550671,0.200091,0.94,0.265676,0.576668,0.12054,,geographic,0.216697,0.550671,6,"{'cooccurrence': 0.2167, 'economic': 0.169, 'geographic': 0.5507, 'temporal': 0.0865}",[geographic] winning geography differs from participation geography by 0.70 | [cooccurrence] conditional co-bidding 2.30x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=0.96; bids=10 | [temporal] vendor behavioral regime shift; procurement relevance=0.12; persistence=0.20
V0119,22.958512813330056,3,"cooccurrence,economic,temporal",0.238618,0.315773,0.292702,0.86,0.426539,0.424996,0.009479,"network,economic",,0.315773,0.0,27,"{'cooccurrence': 0.3158, 'economic': 0.2565, 'temporal': 0.1279}",[cooccurrence] conditional co-bidding 10.69x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.49; bids=9 | [temporal] vendor behavioral regime shift; procurement relevance=0.01; persistence=0.23
V0120,15.044645588138719,3,"cooccurrence,economic,temporal",0.158509,0.225639,0.216686,0.86,0.314288,0.441754,0.149192,,,0.225639,0.0,7,"{'cooccurrence': 0.2256, 'economic': 0.1617, 'temporal': 0.076}",[cooccurrence] conditional co-bidding 2.73x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=2.50; bids=3 | [temporal] vendor behavioral regime shift; procurement relevance=0.15; persistence=0.13
V0121,16.702423577091654,2,"cooccurrence,temporal",0.188607,0.279156,0.251565,0.68,0.50357,0.35,0.107567,network,,0.279156,0.0,6,"{'cooccurrence': 0.2792, 'temporal': 0.0821}",[cooccurrence] conditional co-bidding 6.82x expected; persistence=0.70 | [temporal] vendor behavioral regime shift; procurement relevance=0.11; persistence=0.23
V0122,25.200939214406453,2,"cooccurrence,economic",0.271544,0.325576,0.310049,0.68,0.444462,0.634131,0.268262,network,,0.325576,0.0,6,"{'cooccurrence': 0.3256, 'economic': 0.2147}",[cooccurrence] conditional co-bidding 4.53x expected; persistence=0.87 | [economic] unusually compressed bid dispersion; compression=1.44; bids=7
V0123,19.732849460913126,2,"cooccurrence,economic",0.213856,0.258346,0.245561,0.68,0.461538,0.61725,0.2345,network,,0.258346,0.0,5,"{'cooccurrence': 0.2583, 'economic': 0.167}",[cooccurrence] conditional co-bidding 3.00x expected; persistence=0.90 | [economic] unusually compressed bid dispersion; compression=0.73; bids=9
V0125,19.446994892595914,2,"economic,geographic",0.320361,0.550671,0.174903,0.68,0.0,1.0,1.0,,geographic,0.174903,0.550671,2,"{'economic': 0.1749, 'geographic': 0.5507}",[geographic] winning geography differs from participation geography by 0.67 | [economic] unusually compressed bid dispersion; compression=0.98; bids=6
V0126,14.494285952048713,3,"cooccurrence,economic,temporal",0.163847,0.201139,0.189789,0.86,0.310714,0.406421,0.02545,,,0.201139,0.0,3,"{'cooccurrence': 0.1941, 'economic': 0.2011, 'temporal': 0.0865}",[economic] unusually compressed bid dispersion; compression=1.74; bids=7 | [cooccurrence] conditional co-bidding 2.50x expected; persistence=0.70 | [temporal] vendor behavioral regime shift; procurement relevance=0.03; persistence=0.20
V0127,19.536822271961917,2,"cooccurrence,economic",0.231863,0.258175,0.250614,0.68,0.427333,0.593063,0.186125,network,,0.258175,0.0,8,"{'cooccurrence': 0.2582, 'economic': 0.2042}",[cooccurrence] conditional co-bidding 3.64x expected; persistence=0.83 | [economic] unusually compressed bid dispersion; compression=1.01; bids=9
V0129,12.913477623185745,1,cooccurrence,0.233707,0.233707,0.233707,0.35,0.8333,0.35,0.17537,,,0.233707,0.0,13,{'cooccurrence': 0.2337},[cooccurrence] conditional co-bidding 3.13x expected; persistence=0.73
V0130,18.702073036317145,1,economic,0.217466,0.217466,0.217466,0.35,0.0,1.0,1.0,,,0.217466,0.0,1,{'economic': 0.2175},[economic] unusually compressed bid dispersion; compression=1.52; bids=10
V0132,21.135178801395462,2,"cooccurrence,economic",0.247756,0.277281,0.268797,0.68,0.478615,0.6034,0.206799,network,,0.277281,0.0,24,"{'cooccurrence': 0.2773, 'economic': 0.2167}",[cooccurrence] conditional co-bidding 5.00x expected; persistence=0.80 | [economic] unusually compressed bid dispersion; compression=1.44; bids=7
V0133,16.856900153624956,3,"cooccurrence,economic,temporal",0.184883,0.226795,0.214014,0.86,0.329466,0.441929,0.114589,,,0.226795,0.0,3,"{'cooccurrence': 0.2268, 'economic': 0.2173, 'temporal': 0.0994}",[cooccurrence] conditional co-bidding 3.75x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.58; bids=6 | [temporal] vendor behavioral regime shift; procurement relevance=0.11; persistence=0.18
V0134,17.6235834642655,3,"cooccurrence,economic,temporal",0.170605,0.237478,0.217711,0.86,0.314288,0.45414,0.165085,,,0.237478,0.0,4,"{'cooccurrence': 0.2375, 'economic': 0.1652, 'temporal': 0.098}",[cooccurrence] conditional co-bidding 3.22x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.33; bids=4 | [temporal] vendor behavioral regime shift; procurement relevance=0.17; persistence=0.13
V0135,16.789634399552188,2,"cooccurrence,economic",0.208389,0.219516,0.216479,0.68,0.358974,0.598259,0.196518,,,0.219516,0.0,3,"{'cooccurrence': 0.1978, 'economic': 0.2195}",[economic] unusually compressed bid dispersion; compression=1.24; bids=10 | [cooccurrence] conditional co-bidding 2.67x expected; persistence=0.70
V0136,17.815771480655073,3,"cooccurrence,economic,temporal",0.178064,0.241,0.222505,0.86,0.339689,0.446179,0.144232,,,0.241,0.0,7,"{'cooccurrence': 0.241, 'economic': 0.1631, 'temporal': 0.1207}",[cooccurrence] conditional co-bidding 3.38x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.07; bids=7 | [temporal] vendor behavioral regime shift; procurement relevance=0.14; persistence=0.18
V0137,16.66220583932964,1,economic,0.193747,0.193747,0.193747,0.35,0.0,1.0,1.0,,,0.193747,0.0,2,{'economic': 0.1937},[economic] unusually compressed bid dispersion; compression=1.07; bids=9
V0138,14.311755220704969,2,"cooccurrence,economic",0.186055,0.186998,0.18674,0.68,0.376051,0.591994,0.183987,,,0.186998,0.0,2,"{'cooccurrence': 0.1852, 'economic': 0.187}",[economic] unusually compressed bid dispersion; compression=1.01; bids=9 | [cooccurrence] conditional co-bidding 1.95x expected; persistence=0.73
V0140,16.35224515565753,3,"cooccurrence,geographic,temporal",0.191739,0.230489,0.197294,0.86,0.382571,0.480799,0.198682,,,0.205236,0.230489,3,"{'cooccurrence': 0.2052, 'geographic': 0.2305, 'temporal': 0.1485}",[geographic] winning geography differs from participation geography by 0.38 | [cooccurrence] conditional co-bidding 2.81x expected; persistence=0.73 | [temporal] vendor behavioral regime shift; procurement relevance=0.24; persistence=0.24
V0141,14.873116507357098,3,"cooccurrence,economic,temporal",0.178534,0.228351,0.226957,0.86,0.334036,0.398216,0.01781,,,0.228351,0.0,20,"{'cooccurrence': 0.2284, 'economic': 0.2184, 'temporal': 0.0754}",[cooccurrence] conditional co-bidding 2.78x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.85; bids=5 | [temporal] vendor behavioral regime shift; procurement relevance=0.02; persistence=0.12
V0142,3.855,1,temporal,0.076151,0.076151,0.0,0.35,0.2182,0.35,0.105823,,,0.076151,0.0,1,{'temporal': 0.0762},[temporal] vendor behavioral regime shift; procurement relevance=0.11; persistence=0.22
V0143,13.637544233523188,2,"cooccurrence,temporal",0.168178,0.225782,0.20823,0.68,0.45227,0.35,0.050223,,,0.225782,0.0,2,"{'cooccurrence': 0.2258, 'temporal': 0.1004}",[cooccurrence] conditional co-bidding 4.60x expected; persistence=0.67 | [temporal] vendor behavioral regime shift; procurement relevance=0.05; persistence=0.20
V0144,21.589016543680735,3,"cooccurrence,economic,temporal",0.186693,0.295616,0.263549,0.86,0.393571,0.44865,0.108771,network,,0.295616,0.0,29,"{'cooccurrence': 0.2956, 'economic': 0.1662, 'temporal': 0.0815}",[cooccurrence] conditional co-bidding 1.08x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.91; bids=4 | [temporal] vendor behavioral regime shift; procurement relevance=0.11; persistence=0.12
V0145,24.113172990749362,3,"cooccurrence,economic,geographic",0.25581,0.393469,0.228197,0.86,0.313725,0.72879,0.186369,,geographic,0.234142,0.393469,5,"{'cooccurrence': 0.2341, 'economic': 0.1917, 'geographic': 0.3935}",[geographic] winning geography differs from participation geography by 0.50 | [cooccurrence] conditional co-bidding 3.50x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=1.28; bids=8
V0146,14.493677785338432,1,cooccurrence,0.262305,0.262305,0.262305,0.35,0.6141,0.35,0.253574,network,,0.262305,0.0,1,{'cooccurrence': 0.2623},[cooccurrence] conditional co-bidding 9.00x expected; persistence=0.61
V0147,13.17303386967682,2,"temporal,winner_rotation",0.141284,0.181269,0.170403,0.68,0.164848,0.558005,0.116011,,,0.181269,0.0,2,"{'temporal': 0.1037, 'winner_rotation': 0.1813}",[winner_rotation] repeated winner transition share=0.25 | [temporal] vendor behavioral regime shift; procurement relevance=0.12; persistence=0.32
V0148,20.0,1,geographic,0.521931,0.521931,0.0,0.35,0.0,1.0,1.0,,geographic,0.0,0.521931,1,{'geographic': 0.5219},[geographic] winning geography differs from participation geography by 0.62
V0149,13.930401767147776,1,economic,0.161981,0.161981,0.161981,0.35,0.0,1.0,1.0,,,0.161981,0.0,1,{'economic': 0.162},[economic] unusually compressed bid dispersion; compression=0.80; bids=7
V0150,19.018507578971583,1,economic,0.221145,0.221145,0.221145,0.35,0.0,1.0,1.0,,,0.221145,0.0,2,{'economic': 0.2211},[economic] unusually compressed bid dispersion; compression=1.24; bids=10
V0151,17.466594013930305,3,"cooccurrence,geographic,temporal",0.207027,0.308989,0.212606,0.86,0.417212,0.411371,0.048467,,geographic,0.229543,0.308989,6,"{'cooccurrence': 0.2295, 'geographic': 0.309, 'temporal': 0.1086}",[geographic] winning geography differs from participation geography by 0.43 | [cooccurrence] conditional co-bidding 2.22x expected; persistence=0.83 | [temporal] vendor behavioral regime shift; procurement relevance=0.05; persistence=0.22
V0152,14.039472906453721,2,"cooccurrence,temporal",0.177544,0.231769,0.215246,0.68,0.496124,0.35,0.051991,,,0.231769,0.0,9,"{'cooccurrence': 0.2318, 'temporal': 0.1137}",[cooccurrence] conditional co-bidding 2.77x expected; persistence=0.77 | [temporal] vendor behavioral regime shift; procurement relevance=0.05; persistence=0.18
V0153,14.671063922086761,1,cooccurrence,0.265516,0.265516,0.265516,0.35,0.8333,0.35,0.207841,network,,0.265516,0.0,7,{'cooccurrence': 0.2655},[cooccurrence] conditional co-bidding 5.25x expected; persistence=0.70
V0158,17.253995896964074,2,"cooccurrence,economic",0.205975,0.227502,0.221315,0.68,0.410256,0.594784,0.189569,,,0.227502,0.0,6,"{'cooccurrence': 0.2275, 'economic': 0.1833}",[cooccurrence] conditional co-bidding 2.74x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=0.91; bids=7
V0159,17.859507193972913,3,"cooccurrence,economic,temporal",0.182644,0.241908,0.224252,0.86,0.390498,0.44269,0.148642,,,0.241908,0.0,13,"{'cooccurrence': 0.2419, 'economic': 0.1905, 'temporal': 0.1041}",[cooccurrence] conditional co-bidding 3.33x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.26; bids=8 | [temporal] vendor behavioral regime shift; procurement relevance=0.15; persistence=0.27
V0161,15.760264693520911,3,"cooccurrence,economic,temporal",0.165305,0.219812,0.203482,0.86,0.346429,0.409704,0.026379,,,0.219812,0.0,3,"{'cooccurrence': 0.2198, 'economic': 0.1808, 'temporal': 0.0838}",[cooccurrence] conditional co-bidding 3.09x expected; persistence=0.80 | [economic] unusually compressed bid dispersion; compression=1.06; bids=10 | [temporal] vendor behavioral regime shift; procurement relevance=0.03; persistence=0.20
V0162,17.806520678342988,3,"cooccurrence,economic,temporal",0.174745,0.237374,0.21887,0.86,0.346679,0.464082,0.195794,,,0.237374,0.0,5,"{'cooccurrence': 0.2374, 'economic': 0.1689, 'temporal': 0.1075}",[cooccurrence] conditional co-bidding 3.75x expected; persistence=0.67 | [economic] unusually compressed bid dispersion; compression=0.90; bids=8 | [temporal] vendor behavioral regime shift; procurement relevance=0.20; persistence=0.24
V0163,11.54207454148323,2,"economic,temporal",0.12984,0.174903,0.174903,0.68,0.013506,0.576986,0.153972,,,0.174903,0.0,2,"{'economic': 0.1749, 'temporal': 0.0795}",[economic] unusually compressed bid dispersion; compression=0.98; bids=6 | [temporal] vendor behavioral regime shift; procurement relevance=0.15; persistence=0.03
V0164,19.672146913122223,2,"cooccurrence,economic",0.235329,0.257417,0.251387,0.68,0.376051,0.60269,0.205379,economic,,0.257417,0.0,3,"{'cooccurrence': 0.2143, 'economic': 0.2574}",[economic] unusually compressed bid dispersion; compression=1.49; bids=9 | [cooccurrence] conditional co-bidding 3.29x expected; persistence=0.73
V0165,15.073623350436522,2,"cooccurrence,temporal",0.174229,0.251324,0.227833,0.68,0.442324,0.35,0.055284,network,,0.251324,0.0,3,"{'cooccurrence': 0.2513, 'temporal': 0.0835}",[cooccurrence] conditional co-bidding 4.75x expected; persistence=0.67 | [temporal] vendor behavioral regime shift; procurement relevance=0.06; persistence=0.10
V0166,19.790191983334335,2,"cooccurrence,economic",0.234367,0.255733,0.249593,0.68,0.358974,0.619782,0.239564,network,,0.255733,0.0,4,"{'cooccurrence': 0.2557, 'economic': 0.2119}",[cooccurrence] conditional co-bidding 6.82x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=1.23; bids=7
V0168,18.60692424987295,2,"cooccurrence,economic",0.213845,0.245348,0.236295,0.68,0.376051,0.600361,0.200721,,,0.245348,0.0,4,"{'cooccurrence': 0.2453, 'economic': 0.1807}",[cooccurrence] conditional co-bidding 4.07x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.07; bids=7
V0169,18.9886311655786,2,"cooccurrence,economic",0.238697,0.246793,0.244467,0.68,0.410256,0.603613,0.207227,,,0.246793,0.0,8,"{'cooccurrence': 0.2468, 'economic': 0.2302}",[cooccurrence] conditional co-bidding 3.47x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.29; bids=8
V0172,18.897503202054743,3,"cooccurrence,economic,temporal",0.189354,0.265058,0.242483,0.86,0.317855,0.408827,0.019196,network,,0.265058,0.0,13,"{'cooccurrence': 0.2651, 'economic': 0.2013, 'temporal': 0.0869}",[cooccurrence] conditional co-bidding 1.91x expected; persistence=0.83 | [economic] unusually compressed bid dispersion; compression=1.70; bids=6 | [temporal] vendor behavioral regime shift; procurement relevance=0.02; persistence=0.07
V0174,12.146478928851788,2,"cooccurrence,temporal",0.155101,0.200292,0.186522,0.68,0.47513,0.35,0.020185,,,0.200292,0.0,5,"{'cooccurrence': 0.2003, 'temporal': 0.1019}",[cooccurrence] conditional co-bidding 1.76x expected; persistence=0.73 | [temporal] vendor behavioral regime shift; procurement relevance=0.02; persistence=0.17
V0175,24.89003406402607,4,"cooccurrence,economic,geographic,temporal",0.21,0.272543,0.247624,0.94,0.244251,0.558022,0.033779,network,,0.269364,0.272543,10,"{'cooccurrence': 0.2694, 'economic': 0.2117, 'geographic': 0.2725, 'temporal': 0.0941}",[geographic] winning geography differs from participation geography by 0.41 | [cooccurrence] conditional co-bidding 5.80x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=1.58; bids=7 | [temporal] vendor behavioral regime shift; procurement relevance=0.03; persistence=0.11
V0176,17.7368779077254,2,"cooccurrence,economic",0.225954,0.231244,0.229724,0.68,0.410256,0.597845,0.19569,,,0.231244,0.0,4,"{'cooccurrence': 0.2312, 'economic': 0.2204}",[cooccurrence] conditional co-bidding 2.65x expected; persistence=0.80 | [economic] unusually compressed bid dispersion; compression=1.24; bids=10
V0177,13.366327348434195,1,cooccurrence,0.241903,0.241903,0.241903,0.35,0.8667,0.35,0.186516,,,0.241903,0.0,4,{'cooccurrence': 0.2419},[cooccurrence] conditional co-bidding 2.58x expected; persistence=0.87
V0178,13.681819344069988,1,cooccurrence,0.247612,0.247612,0.247612,0.35,0.9667,0.35,0.192473,,,0.247612,0.0,13,{'cooccurrence': 0.2476},[cooccurrence] conditional co-bidding 2.22x expected; persistence=0.97
V0179,14.284565591420243,2,"economic,temporal",0.156979,0.189625,0.179947,0.68,0.085,0.599698,0.199396,,,0.189625,0.0,2,"{'economic': 0.1896, 'temporal': 0.1205}",[economic] unusually compressed bid dispersion; compression=1.23; bids=7 | [temporal] vendor behavioral regime shift; procurement relevance=0.20; persistence=0.18
V0180,11.414622008582862,1,cooccurrence,0.206581,0.206581,0.206581,0.35,0.7,0.35,0.202974,,,0.206581,0.0,1,{'cooccurrence': 0.2066},[cooccurrence] conditional co-bidding 3.11x expected; persistence=0.70
V0181,13.153634406616147,1,cooccurrence,0.238053,0.238053,0.238053,0.35,0.6836,0.35,0.20676,,,0.238053,0.0,2,{'cooccurrence': 0.2381},[cooccurrence] conditional co-bidding 4.00x expected; persistence=0.68
V0182,20.313966512608932,2,"cooccurrence,economic",0.234099,0.265408,0.256411,0.68,0.461538,0.610826,0.221652,network,,0.265408,0.0,8,"{'cooccurrence': 0.2654, 'economic': 0.2011}",[cooccurrence] conditional co-bidding 1.70x expected; persistence=0.90 | [economic] unusually compressed bid dispersion; compression=1.76; bids=5
V0184,21.64288217031353,3,"cooccurrence,economic,temporal",0.191449,0.29279,0.262888,0.86,0.422198,0.459522,0.132519,network,,0.29279,0.0,24,"{'cooccurrence': 0.2928, 'economic': 0.1785, 'temporal': 0.0867}",[cooccurrence] conditional co-bidding 1.24x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.70; bids=5 | [temporal] vendor behavioral regime shift; procurement relevance=0.13; persistence=0.21
V0185,17.151348153443475,2,"cooccurrence,economic",0.186999,0.227943,0.216766,0.68,0.176051,0.597008,0.194016,,,0.227943,0.0,3,"{'cooccurrence': 0.1481, 'economic': 0.2279}",[economic] unusually compressed bid dispersion; compression=1.86; bids=6 | [cooccurrence] conditional co-bidding 2.51x expected; persistence=0.34
V0186,20.851222009123134,3,"cooccurrence,economic,temporal",0.207065,0.282665,0.260259,0.86,0.322607,0.444997,0.119726,network,,0.282665,0.0,10,"{'cooccurrence': 0.2827, 'economic': 0.2063, 'temporal': 0.1189}",[cooccurrence] conditional co-bidding 6.75x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=1.45; bids=8 | [temporal] vendor behavioral regime shift; procurement relevance=0.12; persistence=0.20
V0187,26.231747479095745,4,"cooccurrence,economic,geographic,temporal",0.225409,0.393469,0.243317,0.94,0.270676,0.571147,0.085359,network,geographic,0.266221,0.393469,10,"{'cooccurrence': 0.2662, 'economic': 0.201, 'geographic': 0.3935, 'temporal': 0.0861}",[geographic] winning geography differs from participation geography by 0.50 | [cooccurrence] conditional co-bidding 5.62x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=0.97; bids=9 | [temporal] vendor behavioral regime shift; procurement relevance=0.09; persistence=0.22
V0188,21.30777000837195,2,"cooccurrence,economic",0.246619,0.2814,0.271405,0.68,0.444462,0.597497,0.194994,network,,0.2814,0.0,16,"{'cooccurrence': 0.2814, 'economic': 0.21}",[cooccurrence] conditional co-bidding 3.18x expected; persistence=0.87 | [economic] unusually compressed bid dispersion; compression=2.34; bids=4
V0189,14.812180496821592,1,geographic,0.259182,0.259182,0.0,0.35,0.0,1.0,1.0,,,0.0,0.259182,1,{'geographic': 0.2592},[geographic] winning geography differs from participation geography by 0.40
V0191,18.338625328351263,3,"cooccurrence,economic,temporal",0.187439,0.244526,0.227274,0.86,0.348014,0.45988,0.186972,,,0.244526,0.0,10,"{'cooccurrence': 0.2445, 'economic': 0.2173, 'temporal': 0.0869}",[cooccurrence] conditional co-bidding 3.37x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.58; bids=6 | [temporal] vendor behavioral regime shift; procurement relevance=0.19; persistence=0.24
V0193,20.47166677174591,2,"economic,geographic",0.218911,0.221199,0.217466,0.68,0.0,1.0,1.0,,,0.217466,0.221199,2,"{'economic': 0.2175, 'geographic': 0.2212}",[geographic] winning geography differs from participation geography by 0.38 | [economic] unusually compressed bid dispersion; compression=1.52; bids=10
V0194,9.62011237792336,2,"geographic,temporal",0.253352,0.464739,0.104139,0.68,0.083769,0.561916,0.123832,,geographic,0.104139,0.464739,2,"{'geographic': 0.4647, 'temporal': 0.1041}",[geographic] winning geography differs from participation geography by 0.56 | [temporal] vendor behavioral regime shift; procurement relevance=0.12; persistence=0.14
V0195,21.123734766219663,3,"cooccurrence,economic,temporal",0.213272,0.290843,0.267706,0.86,0.366964,0.427119,0.085347,economic,,0.290843,0.0,13,"{'cooccurrence': 0.2476, 'economic': 0.2908, 'temporal': 0.0862}",[economic] unusually compressed bid dispersion; compression=2.03; bids=9 | [cooccurrence] conditional co-bidding 1.27x expected; persistence=0.90 | [temporal] vendor behavioral regime shift; procurement relevance=0.09; persistence=0.15
V0197,18.334225992781818,3,"cooccurrence,economic,temporal",0.185725,0.283853,0.270083,0.86,0.359907,0.409692,0.014074,network,,0.283853,0.0,5,"{'cooccurrence': 0.2839, 'economic': 0.1855, 'temporal': 0.0705}",[cooccurrence] conditional co-bidding 5.83x expected; persistence=0.80 | [economic] unusually compressed bid dispersion; compression=1.17; bids=7 | [temporal] vendor behavioral regime shift; procurement relevance=0.01; persistence=0.24
V0198,18.69836112263451,3,"cooccurrence,geographic,temporal",0.21783,0.300367,0.224216,0.86,0.368694,0.451141,0.159795,,geographic,0.238746,0.300367,10,"{'cooccurrence': 0.2387, 'geographic': 0.3004, 'temporal': 0.135}",[geographic] winning geography differs from participation geography by 0.43 | [cooccurrence] conditional co-bidding 4.23x expected; persistence=0.63 | [temporal] vendor behavioral regime shift; procurement relevance=0.16; persistence=0.20
V0199,16.79202034662849,1,economic,0.195256,0.195256,0.195256,0.35,0.0,1.0,1.0,,,0.195256,0.0,2,{'economic': 0.1953},[economic] unusually compressed bid dispersion; compression=1.29; bids=5
V0200,16.98187319607343,2,"cooccurrence,temporal",0.19677,0.283068,0.256772,0.68,0.492197,0.35,0.042952,network,,0.283068,0.0,9,"{'cooccurrence': 0.2831, 'temporal': 0.0952}",[cooccurrence] conditional co-bidding 6.30x expected; persistence=0.73 | [temporal] vendor behavioral regime shift; procurement relevance=0.04; persistence=0.09
V0201,18.223762081206626,3,"cooccurrence,economic,temporal",0.187294,0.246789,0.229222,0.86,0.354784,0.442001,0.126906,,,0.246789,0.0,9,"{'cooccurrence': 0.2468, 'economic': 0.1808, 'temporal': 0.1245}",[cooccurrence] conditional co-bidding 4.04x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=1.06; bids=10 | [temporal] vendor behavioral regime shift; procurement relevance=0.13; persistence=0.27
V0202,20.39360635692877,2,"cooccurrence,economic",0.218508,0.272208,0.256776,0.68,0.376051,0.595763,0.191526,network,,0.272208,0.0,10,"{'cooccurrence': 0.2722, 'economic': 0.162}",[cooccurrence] conditional co-bidding 5.73x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=0.80; bids=7
