award_id,tender_id,vendor_id,award_date,award_value
A-T00518,T00518,V0455,2026-01-25,16510517.74
A-T00519,T00519,V0230,2026-06-18,2046101.34
A-T00520,T00520,V0310,2026-05-26,7624671.18
A-T00521,T00521,V0026,2026-06-14,7755712.19
A-T00522,T00522,V0051,2024-08-23,12839112.74
A-T00523,T00523,V0483,2025-01-29,7683781.08
A-T00524,T00524,V0295,2024-11-07,10727945.37
A-T00525,T00525,V0307,2024-05-17,5643248.37
A-T00526,T00526,V0494,2024-12-08,2473547.71
A-T00527,T00527,V0379,2026-04-18,781622.45
A-T00528,T00528,V0277,2026-05-23,3022228.75
A-T00529,T00529,V0143,2026-04-28,42298357.31
A-T00530,T00530,V0263,2025-08-11,5822745.96
A-T00531,T00531,V0020,2024-06-29,3661105.05
A-T00532,T00532,V0455,2025-03-13,1108528.21
A-T00533,T00533,V0342,2025-03-13,11886758.09
A-T00534,T00534,V0023,2024-10-07,2030537.71
A-T00535,T00535,V0495,2024-11-24,2866527.53
A-T00536,T00536,V0400,2025-06-29,23653095.88
A-T00537,T00537,V0011,2025-11-08,5237406.38
A-T00538,T00538,V0499,2024-07-04,4225018.72
A-T00539,T00539,V0453,2026-08-29,3582485.87
A-T00540,T00540,V0023,2024-06-29,151716798.87
A-T00541,T00541,V0514,2026-09-27,3627767.84
A-T00542,T00542,V0057,2026-01-15,14539841.22
A-T00543,T00543,V0249,2024-12-14,22773944.11
A-T00544,T00544,V0188,2025-05-20,5228442.95
A-T00545,T00545,V0015,2026-06-26,5603027.64
A-T00546,T00546,V0093,2026-03-30,8763726.09
A-T00547,T00547,V0531,2025-11-20,42169642.57
A-T00548,T00548,V0078,2025-06-24,3782160.17
A-T00549,T00549,V0349,2026-05-08,8277649.18
A-T00550,T00550,V0278,2026-09-12,1395887.72
A-T00551,T00551,V0149,2024-08-13,6712104.83
A-T00552,T00552,V0301,2026-02-19,4079582.74
A-T00553,T00553,V0384,2025-11-15,34997194.82
A-T00554,T00554,V0004,2025-11-25,269109937.47
A-T00555,T00555,V0478,2025-01-05,94427311.83
A-T00556,T00556,V0258,2025-01-03,3196518.33
A-T00557,T00557,V0378,2024-11-14,5929027.76
A-T00558,T00558,V0550,2025-05-31,34746632.96
A-T00559,T00559,V0142,2025-12-09,11357556.78
A-T00560,T00560,V0292,2026-05-27,1443692.71
A-T00561,T00561,V0548,2026-08-09,35632709.65
A-T00562,T00562,V0255,2026-09-13,20921725.4
A-T00563,T00563,V0405,2024-12-05,259826965.28
A-T00564,T00564,V0490,2025-01-12,4915637.49
A-T00565,T00565,V0050,2026-08-10,2936337.3
A-T00566,T00566,V0277,2026-03-28,9582708.82
A-T00567,T00567,V0408,2024-10-10,15645441.53
A-T00568,T00568,V0083,2024-05-25,4676177.22
A-T00569,T00569,V0470,2026-07-05,24227706.19
A-T00570,T00570,V0386,2024-07-16,10396742.98
A-T00571,T00571,V0338,2025-03-18,15773130.59
A-T00572,T00572,V0016,2024-05-24,8857776.62
A-T00573,T00573,V0367,2026-07-18,19325614.33
A-T00574,T00574,V0044,2024-07-20,193958719.67
A-T00575,T00575,V0430,2025-05-22,143607910.36
A-T00576,T00576,V0204,2025-12-06,6413198.27
A-T00577,T00577,V0337,2026-09-02,753422.53
A-T00578,T00578,V0123,2026-09-05,3549451.8
A-T00579,T00579,V0002,2025-01-16,3844681.47
A-T00580,T00580,V0341,2026-07-08,9271002.88
A-T00581,T00581,V0034,2024-06-21,31397314.88
A-T00582,T00582,V0099,2024-10-13,39167455.28
A-T00583,T00583,V0438,2026-01-26,5051764.18
A-T00584,T00584,V0142,2024-02-05,6158407.28
A-T00585,T00585,V0545,2025-07-19,9715193.45
A-T00586,T00586,V0200,2025-09-21,9499067.53
A-T00587,T00587,V0277,2025-08-28,1637303.14
A-T00588,T00588,V0529,2026-06-20,5613807.35
A-T00589,T00589,V0468,2025-10-15,30869266.82
A-T00590,T00590,V0262,2025-06-28,13387927.36
A-T00591,T00591,V0162,2024-03-31,8261634.46
A-T00592,T00592,V0453,2026-06-29,12252640.21
A-T00593,T00593,V0055,2025-06-09,9164764.77
A-T00594,T00594,V0481,2025-04-28,3284963.66
A-T00595,T00595,V0370,2024-04-15,1996424.18
A-T00596,T00596,V0149,2024-03-23,2983755.54
A-T00597,T00597,V0029,2026-08-14,16756524.2
A-T00598,T00598,V0455,2024-04-26,2432496.45
A-T00599,T00599,V0513,2026-04-06,12298802.7
A-T00600,T00600,V0304,2025-03-02,54887777.49
A-T00601,T00601,V0033,2025-12-19,3091120.73
A-T00602,T00602,V0159,2026-06-11,120164088.35
A-T00603,T00603,V0421,2026-08-21,35262926.48
A-T00604,T00604,V0423,2024-11-05,7824437.65
A-T00605,T00605,V0454,2025-03-11,4113208.65
A-T00606,T00606,V0090,2025-07-18,16419975.03
A-T00607,T00607,V0032,2025-12-09,10246351.44
A-T00608,T00608,V0483,2026-01-10,7162276.79
A-T00609,T00609,V0332,2024-03-03,4716556.3
A-T00610,T00610,V0151,2025-06-04,2377664.16
A-T00611,T00611,V0186,2025-07-31,2757153.43
A-T00612,T00612,V0169,2025-11-23,17871610.42
A-T00613,T00613,V0528,2025-08-07,11208055.96
A-T00614,T00614,V0499,2025-09-29,3224980.84
A-T00615,T00615,V0228,2026-03-15,6384521.28
A-T00616,T00616,V0044,2024-07-26,9904657.02
A-T00617,T00617,V0380,2025-08-26,12024615.14
A-T00618,T00618,V0175,2026-07-02,4727729.82
A-T00619,T00619,V0548,2026-04-27,7430989.74
A-T00620,T00620,V0472,2026-06-29,1434108.26
A-T00621,T00621,V0457,2026-01-26,11115296.42
A-T00622,T00622,V0463,2026-06-03,20363989.71
A-T00623,T00623,V0047,2025-04-27,18591348.53
A-T00624,T00624,V0377,2024-02-07,1739033.14
A-T00625,T00625,V0064,2024-09-13,26656471.65
A-T00626,T00626,V0008,2025-07-04,8386756.89
A-T00627,T00627,V0133,2025-08-02,37947121.57
A-T00628,T00628,V0411,2024-09-02,20874546.55
A-T00629,T00629,V0531,2026-06-28,51044097.83
A-T00630,T00630,V0115,2026-01-17,8276220.57
A-T00631,T00631,V0481,2026-01-07,3412546.54
A-T00632,T00632,V0468,2025-07-09,51762432.23
A-T00633,T00633,V0230,2025-02-05,8637788.96
A-T00634,T00634,V0250,2025-01-19,22879502.59
A-T00635,T00635,V0471,2025-07-01,4048536.58
A-T00636,T00636,V0175,2026-03-15,45816310.5
A-T00637,T00637,V0352,2025-12-01,1078562.87
A-T00638,T00638,V0434,2026-01-24,25280090.29
A-T00639,T00639,V0308,2024-10-06,28280885.16
A-T00640,T00640,V0525,2025-11-14,33597237.67
A-T00641,T00641,V0530,2025-11-06,8097043.85
A-T00642,T00642,V0295,2026-02-26,6536867.55
A-T00643,T00643,V0291,2025-02-27,16220516.83
A-T00644,T00644,V0328,2026-06-04,14593045.6
A-T00645,T00645,V0219,2026-06-22,12916648.17
A-T00646,T00646,V0056,2025-01-01,10480544.87
A-T00647,T00647,V0052,2026-09-12,15620650.01
A-T00648,T00648,V0281,2025-12-20,23511829.62
A-T00649,T00649,V0277,2024-12-17,12598579.43
A-T00650,T00650,V0315,2025-04-06,26176864.64
A-T00651,T00651,V0481,2026-01-24,12342385.05
A-T00652,T00652,V0067,2025-07-06,131650621.57
A-T00653,T00653,V0393,2024-04-30,61789395.86
A-T00654,T00654,V0517,2025-06-09,12434841.57
A-T00655,T00655,V0535,2024-06-22,3106621.05
A-T00656,T00656,V0327,2024-11-30,55888938.16
A-T00657,T00657,V0219,2024-03-16,9858202.61
A-T00658,T00658,V0324,2026-04-21,19222331.02
A-T00659,T00659,V0280,2025-04-20,4269833.11
A-T00660,T00660,V0387,2025-07-12,5699867.64
A-T00661,T00661,V0422,2024-09-22,1159170.17
A-T00662,T00662,V0486,2026-07-27,5287051.79
A-T00663,T00663,V0132,2026-02-12,29743535.34
A-T00664,T00664,V0024,2024-02-11,9289304.02
A-T00665,T00665,V0209,2026-03-02,3761292.73
A-T00666,T00666,V0199,2024-03-20,81139468.43
A-T00667,T00667,V0211,2025-08-18,2307695.08
A-T00668,T00668,V0533,2024-03-21,25601586.37
A-T00669,T00669,V0113,2026-02-17,7324383.5
A-T00670,T00670,V0114,2025-11-01,27733488.47
A-T00671,T00671,V0051,2025-01-15,11098069.56
A-T00672,T00672,V0532,2024-10-19,1159476.37
A-T00673,T00673,V0355,2025-11-03,6971986.22
A-T00674,T00674,V0436,2025-07-14,3130830.11
A-T00675,T00675,V0184,2024-05-23,4852445.51
A-T00676,T00676,V0126,2025-06-26,15102077.14
A-T00677,T00677,V0120,2026-06-02,40141738.5
A-T00678,T00678,V0414,2025-03-18,5586364.61
A-T00679,T00679,V0533,2025-06-26,1340632.37
A-T00680,T00680,V0172,2025-01-26,23522728.99
A-T00681,T00681,V0188,2024-11-18,138486738.39
A-T00682,T00682,V0220,2025-07-09,15955992.02
A-T00683,T00683,V0031,2026-07-02,5413151.64
A-T00684,T00684,V0516,2025-01-19,18222555.06
A-T00685,T00685,V0147,2024-10-15,1929512.46
A-T00686,T00686,V0177,2026-01-16,11019207.58
A-T00687,T00687,V0368,2025-08-09,6892811.98
A-T00688,T00688,V0031,2025-12-09,7076781.82
A-T00689,T00689,V0159,2025-09-20,10615675.64
A-T00690,T00690,V0437,2026-09-14,16630179.23
A-T00691,T00691,V0447,2024-05-20,12139230.79
A-T00692,T00692,V0501,2025-03-08,7954318.18
A-T00693,T00693,V0005,2024-03-18,8397700.67
A-T00694,T00694,V0485,2025-10-31,3318035.9
A-T00695,T00695,V0288,2025-09-21,8334166.92
A-T00696,T00696,V0329,2025-12-19,6731582.04
A-T00697,T00697,V0322,2024-07-15,28040200.84
A-T00698,T00698,V0433,2025-06-04,10084816.72
A-T00699,T00699,V0203,2025-09-18,3995320.31
A-T00700,T00700,V0145,2024-02-29,1936850.82
A-T00701,T00701,V0350,2024-11-09,11337895.0
A-T00702,T00702,V0525,2025-08-06,51722191.02
A-T00703,T00703,V0259,2024-03-31,3774854.31
A-T00704,T00704,V0523,2025-02-04,2612962.48
A-T00705,T00705,V0039,2025-06-27,11626107.7
A-T00706,T00706,V0295,2025-08-04,9147194.41
A-T00707,T00707,V0368,2025-01-23,39380683.83
A-T00708,T00708,V0113,2024-09-04,4730591.56
A-T00709,T00709,V0499,2024-07-10,1705140.01
A-T00710,T00710,V0382,2025-09-02,2556927.01
A-T00711,T00711,V0279,2024-09-26,76894058.92
A-T00712,T00712,V0281,2025-09-15,7674257.57
A-T00713,T00713,V0386,2026-09-18,73774830.36
A-T00714,T00714,V0011,2024-09-02,7547709.68
A-T00715,T00715,V0041,2025-11-08,3412472.58
A-T00716,T00716,V0271,2026-08-12,49794239.54
A-T00717,T00717,V0026,2026-09-10,6985802.61
A-T00718,T00718,V0319,2025-06-14,6239931.68
A-T00719,T00719,V0126,2024-12-21,1372951.33
A-T00720,T00720,V0407,2024-02-29,4612444.16
A-T00721,T00721,V0178,2026-03-29,50790454.26
A-T00722,T00722,V0047,2024-05-01,27014835.01
A-T00723,T00723,V0192,2025-11-06,4209737.99
A-T00724,T00724,V0191,2025-07-10,20694246.83
A-T00725,T00725,V0275,2025-01-03,14045970.02
A-T00726,T00726,V0007,2025-09-13,26010237.47
A-T00727,T00727,V0187,2025-10-14,21005842.73
A-T00728,T00728,V0294,2026-08-13,24391910.98
A-T00729,T00729,V0455,2026-05-30,6258691.67
A-T00730,T00730,V0396,2025-08-15,41669061.35
A-T00731,T00731,V0363,2026-05-03,6477922.5
A-T00732,T00732,V0132,2026-03-11,68660286.17
A-T00733,T00733,V0066,2024-03-30,81691129.96
A-T00734,T00734,V0119,2025-06-01,19989540.4
A-T00735,T00735,V0452,2024-08-02,2887527.64
A-T00736,T00736,V0001,2026-08-24,7226065.78
A-T00737,T00737,V0130,2024-08-10,662427.64
A-T00738,T00738,V0016,2025-01-09,6656540.29
A-T00739,T00739,V0153,2025-12-25,30522194.51
A-T00740,T00740,V0067,2025-03-06,8335346.59
A-T00741,T00741,V0236,2025-03-10,8604407.05
A-T00742,T00742,V0258,2026-03-17,15870783.79
A-T00743,T00743,V0174,2025-09-15,8218580.86
A-T00744,T00744,V0349,2025-08-05,6448060.61
A-T00745,T00745,V0130,2025-02-25,25412332.69
A-T00746,T00746,V0424,2024-04-10,2319856.28
A-T00747,T00747,V0472,2025-05-20,9490768.13
A-T00748,T00748,V0073,2025-08-25,22408588.02
A-T00749,T00749,V0458,2025-05-17,4554509.08
A-T00750,T00750,V0228,2026-09-04,3523793.37
A-T00751,T00751,V0324,2024-05-17,12475246.1
A-T00752,T00752,V0014,2024-02-25,1444029.58
A-T00753,T00753,V0047,2025-07-18,4554741.19
A-T00754,T00754,V0270,2025-10-25,37786349.37
A-T00755,T00755,V0016,2026-06-09,1212053.95
A-T00756,T00756,V0034,2025-08-11,2787105.53
A-T00757,T00757,V0039,2024-08-23,5362209.73
A-T00758,T00758,V0547,2024-05-04,22291243.14
A-T00759,T00759,V0152,2024-05-23,8907546.73
A-T00760,T00760,V0275,2024-10-29,12663022.32
A-T00761,T00761,V0181,2025-07-20,3161885.03
A-T00762,T00762,V0366,2024-09-03,2342759.63
A-T00763,T00763,V0273,2025-07-06,16442757.07
A-T00764,T00764,V0136,2026-01-26,4761072.07
A-T00765,T00765,V0306,2026-08-14,11948049.1
A-T00766,T00766,V0288,2025-01-25,26854735.88
A-T00767,T00767,V0325,2024-08-12,47368656.13
A-T00768,T00768,V0409,2025-01-20,3706804.9
A-T00769,T00769,V0202,2025-02-11,2996618.05
A-T00770,T00770,V0370,2025-05-04,610167.48
A-T00771,T00771,V0020,2026-09-13,3297916.9
A-T00772,T00772,V0247,2024-10-14,15574593.94
A-T00773,T00773,V0471,2025-10-12,6178213.33
A-T00774,T00774,V0447,2025-10-20,17055789.0
A-T00775,T00775,V0262,2024-09-01,4201024.84
A-T00776,T00776,V0366,2024-09-09,29956475.72
A-T00777,T00777,V0040,2026-06-12,3277589.33
A-T00778,T00778,V0410,2024-03-29,31310338.55
A-T00779,T00779,V0025,2024-10-08,10566817.29
A-T00780,T00780,V0250,2025-09-30,51100984.85
A-T00781,T00781,V0199,2024-07-04,3109229.18
A-T00782,T00782,V0115,2025-04-09,19116092.71
A-T00783,T00783,V0208,2024-09-13,28903156.17
A-T00784,T00784,V0040,2024-12-09,13413775.59
A-T00785,T00785,V0179,2026-07-07,8151644.11
A-T00786,T00786,V0347,2024-04-23,170679514.08
A-T00787,T00787,V0144,2026-04-06,1931754.74
A-T00788,T00788,V0318,2024-10-09,27172892.89
A-T00789,T00789,V0039,2026-06-08,10961369.29
A-T00790,T00790,V0307,2024-06-26,7851906.3
A-T00791,T00791,V0366,2025-08-22,27633870.16
A-T00792,T00792,V0355,2024-03-28,3541277.77
A-T00793,T00793,V0277,2026-04-04,30864678.22
A-T00794,T00794,V0407,2024-11-17,1763032.68
A-T00795,T00795,V0099,2025-11-07,102049742.15
A-T00796,T00796,V0293,2025-12-21,20807339.25
A-T00797,T00797,V0371,2026-05-11,23030508.72
A-T00798,T00798,V0343,2024-04-16,4314581.89
A-T00799,T00799,V0539,2026-05-27,37756313.83
A-T00800,T00800,V0379,2024-09-24,4079708.96
A-T00801,T00801,V0251,2025-01-22,9581389.79
A-T00802,T00802,V0142,2026-05-25,6996917.35
A-T00803,T00803,V0182,2025-05-23,30481041.03
A-T00804,T00804,V0219,2026-08-21,960406.07
A-T00805,T00805,V0215,2024-06-04,9411620.33
A-T00806,T00806,V0186,2026-07-16,3067596.93
A-T00807,T00807,V0344,2026-01-13,15780697.37
A-T00808,T00808,V0451,2024-04-30,26586300.44
A-T00809,T00809,V0470,2024-10-17,14203291.04
A-T00810,T00810,V0266,2025-02-18,17180681.55
A-T00811,T00811,V0390,2025-01-16,9368476.61
A-T00812,T00812,V0224,2026-01-17,14332782.89
A-T00813,T00813,V0352,2026-08-31,68607815.31
A-T00814,T00814,V0090,2025-08-05,13093949.44
A-T00815,T00815,V0543,2025-08-24,11626257.51
A-T00816,T00816,V0525,2025-05-10,7515340.49
A-T00817,T00817,V0175,2024-06-28,5868313.07
A-T00818,T00818,V0463,2025-09-12,2816311.97
A-T00819,T00819,V0406,2024-06-27,2999143.71
A-T00820,T00820,V0161,2026-09-11,23217130.53
A-T00821,T00821,V0162,2025-07-30,4835135.28
A-T00822,T00822,V0011,2025-01-30,6047922.46
A-T00823,T00823,V0310,2025-10-05,2298561.76
A-T00824,T00824,V0054,2026-08-16,69849761.15
A-T00825,T00825,V0126,2025-04-24,26152368.06
A-T00826,T00826,V0378,2025-06-12,850575.4
A-T00827,T00827,V0215,2024-04-05,42713865.31
A-T00828,T00828,V0141,2024-03-04,2769766.14
A-T00829,T00829,V0458,2025-07-31,1295938.0
A-T00830,T00830,V0273,2024-09-27,12561702.7
A-T00831,T00831,V0188,2026-06-30,22380788.95
A-T00832,T00832,V0082,2024-05-12,2863858.74
A-T00833,T00833,V0310,2024-02-17,4076129.21
A-T00834,T00834,V0153,2026-06-02,5652162.02
A-T00835,T00835,V0087,2024-06-26,5159250.59
A-T00836,T00836,V0465,2026-05-12,7594072.68
A-T00837,T00837,V0079,2026-04-02,3871472.44
A-T00838,T00838,V0007,2024-11-04,26037124.21
A-T00839,T00839,V0528,2025-09-19,1898310.12
A-T00840,T00840,V0056,2026-06-03,3947145.47
A-T00841,T00841,V0317,2025-10-19,7695503.98
A-T00842,T00842,V0172,2026-04-05,62658764.37
A-T00843,T00843,V0080,2024-03-07,6379298.76
A-T00844,T00844,V0133,2024-10-16,32559534.53
A-T00845,T00845,V0217,2026-06-29,10338690.49
A-T00846,T00846,V0492,2026-02-08,3046554.96
A-T00847,T00847,V0379,2024-11-24,5273570.74
A-T00848,T00848,V0029,2026-04-10,4611912.55
A-T00849,T00849,V0039,2026-05-06,2309343.04
A-T00850,T00850,V0236,2024-05-22,9873210.66
A-T00851,T00851,V0066,2026-06-02,478049452.4
A-T00852,T00852,V0003,2025-06-25,8563704.28
A-T00853,T00853,V0186,2024-03-20,291510337.85
A-T00854,T00854,V0262,2025-06-11,3458380.16
A-T00855,T00855,V0447,2024-11-06,1308261.93
A-T00856,T00856,V0405,2025-12-21,14948443.11
A-T00857,T00857,V0114,2025-01-16,26853096.43
A-T00858,T00858,V0327,2026-04-30,2886444.91
A-T00859,T00859,V0418,2026-01-01,10644949.28
A-T00860,T00860,V0119,2024-03-18,47566591.24
A-T00861,T00861,V0276,2024-08-05,42802244.79
A-T00862,T00862,V0092,2025-09-20,4101607.96
A-T00863,T00863,V0495,2025-05-01,8223089.21
A-T00864,T00864,V0331,2026-06-03,16740176.33
A-T00865,T00865,V0152,2025-11-09,95732248.32
A-T00866,T00866,V0366,2025-09-05,47656730.73
A-T00867,T00867,V0259,2025-09-16,7881204.89
A-T00868,T00868,V0295,2024-07-26,1172599.1
A-T00869,T00869,V0180,2026-04-16,22208533.7
A-T00870,T00870,V0239,2026-03-24,4380970.76
A-T00871,T00871,V0007,2025-09-03,2883375.7
A-T00872,T00872,V0270,2024-02-17,17860780.58
A-T00873,T00873,V0352,2026-03-30,5599863.73
A-T00874,T00874,V0516,2024-06-19,138489241.3
A-T00875,T00875,V0415,2026-08-06,10446324.59
A-T00876,T00876,V0254,2025-12-03,2134240.87
A-T00877,T00877,V0324,2025-02-22,18598494.4
A-T00878,T00878,V0367,2025-03-14,10652705.6
A-T00879,T00879,V0376,2024-12-31,20053144.48
A-T00880,T00880,V0415,2026-08-27,24729166.84
A-T00881,T00881,V0166,2024-09-28,5085727.54
A-T00882,T00882,V0186,2026-05-01,24284753.85
A-T00883,T00883,V0195,2026-01-28,1461178.88
A-T00884,T00884,V0259,2024-09-16,2547285.55
A-T00885,T00885,V0206,2024-06-21,8083037.26
A-T00886,T00886,V0218,2024-09-28,10635152.87
A-T00887,T00887,V0368,2026-03-24,112082986.26
A-T00888,T00888,V0485,2026-08-23,6180507.93
A-T00889,T00889,V0086,2026-02-14,8790337.44
A-T00890,T00890,V0525,2024-09-15,18567731.21
A-T00891,T00891,V0369,2026-08-28,5430468.89
A-T00892,T00892,V0356,2026-03-03,45388544.59
A-T00893,T00893,V0026,2024-06-06,1627023.97
A-T00894,T00894,V0025,2024-10-13,4732990.77
A-T00895,T00895,V0146,2025-02-19,4715645.8
A-T00896,T00896,V0532,2026-01-19,1096839.81
A-T00897,T00897,V0383,2025-05-27,18982223.21
A-T00898,T00898,V0218,2025-04-11,4463067.17
A-T00899,T00899,V0535,2025-11-25,3725727.47
A-T00900,T00900,V0169,2025-03-26,13792903.34
A-T00901,T00901,V0498,2024-05-11,13653889.65
A-T00902,T00902,V0223,2024-06-30,6525830.08
A-T00903,T00903,V0426,2026-07-29,6869468.69
A-T00904,T00904,V0040,2026-09-19,13515895.68
A-T00905,T00905,V0044,2024-10-21,7915953.74
A-T00906,T00906,V0066,2024-03-23,573255.81
A-T00907,T00907,V0081,2025-09-19,12458686.26
A-T00908,T00908,V0127,2026-04-04,3275329.45
A-T00909,T00909,V0327,2026-01-24,1460077.5
A-T00910,T00910,V0145,2026-05-24,4629005.86
A-T00911,T00911,V0532,2025-11-23,3077877.82
A-T00912,T00912,V0009,2024-03-20,19434395.58
A-T00913,T00913,V0275,2025-07-03,12703634.47
A-T00914,T00914,V0122,2025-02-19,2207424.74
A-T00915,T00915,V0469,2024-03-24,15307400.84
A-T00916,T00916,V0132,2026-08-05,2702485.36
A-T00917,T00917,V0065,2026-03-05,8543565.58
A-T00918,T00918,V0186,2026-01-20,1998283.23
A-T00919,T00919,V0245,2025-03-21,4860342.66
A-T00920,T00920,V0186,2025-06-22,18970536.18
A-T00921,T00921,V0215,2024-11-16,1800356.24
A-T00922,T00922,V0336,2025-06-27,7384234.14
A-T00923,T00923,V0460,2025-01-10,830202.26
A-T00924,T00924,V0038,2024-10-27,63697057.93
A-T00925,T00925,V0315,2026-02-23,30244818.34
A-T00926,T00926,V0234,2025-09-02,8565168.15
A-T00927,T00927,V0020,2026-07-28,4092718.77
A-T00928,T00928,V0387,2024-04-19,5760308.44
A-T00929,T00929,V0355,2025-06-24,5219764.49
A-T00930,T00930,V0258,2025-07-29,7080472.98
A-T00931,T00931,V0510,2025-11-04,56061382.8
A-T00932,T00932,V0538,2025-01-28,11911558.12
A-T00933,T00933,V0052,2024-12-26,1201886.42
A-T00934,T00934,V0360,2024-08-21,5862199.12
A-T00935,T00935,V0504,2024-10-10,986952.56
A-T00936,T00936,V0144,2026-09-04,7346280.18
A-T00937,T00937,V0438,2025-11-02,3867390.78
A-T00938,T00938,V0525,2025-12-14,38139310.78
A-T00939,T00939,V0277,2024-09-06,2479083.96
A-T00940,T00940,V0166,2026-04-06,90242942.44
A-T00941,T00941,V0547,2024-02-18,74602568.31
A-T00942,T00942,V0358,2025-10-31,7034237.99
A-T00943,T00943,V0041,2025-02-24,5070063.49
A-T00944,T00944,V0066,2025-05-05,6913541.05
A-T00945,T00945,V0385,2025-05-31,19178061.84
A-T00946,T00946,V0281,2025-11-06,686697.14
A-T00947,T00947,V0335,2024-02-26,12510130.33
A-T00948,T00948,V0417,2026-07-24,19425611.7
A-T00949,T00949,V0373,2026-09-22,8856986.64
A-T00950,T00950,V0293,2025-04-24,12492217.69
A-T00951,T00951,V0143,2025-08-20,4335036.93
A-T00952,T00952,V0319,2026-04-21,1999624.41
A-T00953,T00953,V0496,2024-12-01,9521541.63
A-T00954,T00954,V0372,2025-02-02,4725501.2
A-T00955,T00955,V0344,2026-09-03,19251472.37
A-T00956,T00956,V0463,2026-02-17,31547014.22
A-T00957,T00957,V0032,2026-09-09,29781973.61
A-T00958,T00958,V0295,2024-07-31,2869904.44
A-T00959,T00959,V0107,2026-01-27,9177901.21
A-T00960,T00960,V0178,2026-03-30,18361917.85
A-T00961,T00961,V0434,2026-01-28,4856534.06
A-T00962,T00962,V0529,2024-11-10,9801982.16
A-T00963,T00963,V0509,2024-03-12,16296622.5
A-T00964,T00964,V0177,2026-02-08,2497463.54
A-T00965,T00965,V0061,2026-04-18,8578678.24
A-T00966,T00966,V0132,2025-03-28,5124431.09
A-T00967,T00967,V0481,2025-09-11,11304747.2
A-T00968,T00968,V0419,2024-08-03,3432818.39
A-T00969,T00969,V0520,2024-12-12,51839879.58
A-T00970,T00970,V0310,2025-12-02,35554717.55
A-T00971,T00971,V0402,2024-12-11,7068345.31
A-T00972,T00972,V0402,2025-08-24,11392472.4
A-T00973,T00973,V0198,2025-03-20,21274568.83
A-T00974,T00974,V0344,2025-06-11,5645406.18
A-T00975,T00975,V0059,2024-03-05,7894232.6
A-T00976,T00976,V0483,2024-12-17,9997836.67
A-T00977,T00977,V0127,2025-04-20,16372325.92
A-T00978,T00978,V0151,2025-05-13,11453182.71
A-T00979,T00979,V0453,2025-01-22,2124004.06
A-T00980,T00980,V0332,2024-12-27,439704.41
A-T00981,T00981,V0191,2026-09-03,47816837.11
A-T00982,T00982,V0034,2026-05-24,10541883.08
A-T00983,T00983,V0146,2026-01-10,8649605.6
A-T00984,T00984,V0053,2024-07-20,5941107.32
A-T00985,T00985,V0242,2025-07-26,1778817.36
A-T00986,T00986,V0216,2024-02-13,31191483.91
A-T00987,T00987,V0054,2025-03-08,49927202.93
A-T00988,T00988,V0158,2025-06-21,8790903.8
A-T00989,T00989,V0110,2024-08-27,7241921.71
A-T00990,T00990,V0278,2026-08-19,1731698.57
A-T00991,T00991,V0327,2024-11-07,5759053.37
A-T00992,T00992,V0007,2024-08-09,2909366.71
A-T00993,T00993,V0469,2026-02-13,2007985.74
A-T00994,T00994,V0094,2024-03-06,6523050.87
A-T00995,T00995,V0454,2024-09-18,9655976.22
A-T00996,T00996,V0359,2025-01-12,49749887.36
A-T00997,T00997,V0027,2024-02-15,18545420.09
A-T00998,T00998,V0100,2026-08-07,24652652.39
A-T00999,T00999,V0359,2024-09-27,22298386.1
A-T01000,T01000,V0456,2026-06-15,17201738.63
A-T01001,T01001,V0472,2024-04-11,5372648.67
A-T01002,T01002,V0159,2026-05-20,7611346.06
A-T01003,T01003,V0454,2025-01-21,15965771.0
A-T01004,T01004,V0369,2024-08-14,12829990.29
A-T01005,T01005,V0403,2024-07-12,3791471.85
A-T01006,T01006,V0353,2024-03-24,66407070.64
A-T01007,T01007,V0362,2026-03-14,6644058.32
A-T01008,T01008,V0385,2025-07-25,47163692.25
A-T01009,T01009,V0326,2025-07-12,1363828.93
A-T01010,T01010,V0262,2025-12-26,5380243.51
A-T01011,T01011,V0169,2025-08-17,5177252.76
A-T01012,T01012,V0256,2025-05-31,4929374.77
A-T01013,T01013,V0536,2024-03-16,3706072.66
A-T01014,T01014,V0100,2025-07-06,10158516.67
A-T01015,T01015,V0135,2024-12-28,110164994.6
A-T01016,T01016,V0039,2026-08-28,44826187.42
A-T01017,T01017,V0244,2025-01-22,15468098.63
A-T01018,T01018,V0216,2024-05-23,58640307.79
A-T01019,T01019,V0469,2026-02-08,10272284.44
A-T01020,T01020,V0126,2024-09-04,2074184.93
A-T01021,T01021,V0098,2024-02-26,2640907.1
A-T01022,T01022,V0159,2025-12-11,9600834.33
A-T01023,T01023,V0154,2026-06-08,11040410.14
A-T01024,T01024,V0397,2026-03-14,3019169.72
A-T01025,T01025,V0376,2025-03-19,54173414.25
A-T01026,T01026,V0274,2025-03-05,4668747.89
A-T01027,T01027,V0195,2026-04-28,115930510.62
A-T01028,T01028,V0540,2024-11-29,17083457.8
A-T01029,T01029,V0322,2024-11-30,1655525.02
A-T01030,T01030,V0035,2026-06-06,19427346.56
A-T01031,T01031,V0023,2025-05-21,21862186.93
A-T01032,T01032,V0331,2025-10-24,13666964.23
A-T01033,T01033,V0481,2026-05-28,8492017.92
A-T01034,T01034,V0096,2026-06-21,1216483.46
A-T01035,T01035,V0104,2026-07-03,8119950.85
