vendor_id,history_months,recent_months,historical_tenders,recent_tenders,mahalanobis_distance,cusum_score,persistence_score,regime_signal,z_participation_intensity,z_win_rate,z_bid_position,z_market_breadth,z_network_exposure,historical_participation_intensity,historical_win_rate,historical_bid_position,historical_market_breadth,historical_network_exposure,recent_participation_intensity,recent_win_rate,recent_bid_position,recent_market_breadth,recent_network_exposure,explanation
V0127,12,12,24,19,0.9777,0.4104,0.1167,0.2107,-0.0755,0.0824,0.4406,-0.5263,-0.8016,0.0262,0.1233,0.4067,0.9167,5.75,0.0198,0.1079,0.4856,0.9474,4.5789,no single dominant feature; multivariate behavioral shift
V0129,12,13,22,25,1.197,0.4973,0.1077,0.2419,0.0709,0.5638,-0.2376,-0.8,0.4278,0.0245,0.2333,0.4767,0.9545,4.7273,0.025,0.2752,0.4318,0.92,5.24,no single dominant feature; multivariate behavioral shift
V0130,9,9,12,15,1.4016,0.1702,0.0889,0.2053,0.6209,-0.3704,0.2314,0.0,-0.5546,0.0175,0.216,0.4988,0.9167,7.0833,0.0211,0.0899,0.7055,1.0,6.2667,no single dominant feature; multivariate behavioral shift
V0132,12,12,26,32,1.3567,0.2437,0.1,0.2211,0.4593,0.4174,0.0186,-1.5625,-0.5565,0.0297,0.2328,0.4581,0.8462,5.0385,0.032,0.2486,0.4632,0.8438,4.7188,market breadth decreased (1.6 robust deviations)
V0133,11,12,15,22,2.5381,0.7185,0.1833,0.394,0.82,0.3861,0.6704,-0.4545,-0.1073,0.0184,0.1416,0.4649,1.0,5.3333,0.0231,0.1776,0.5004,0.9545,4.6818,no single dominant feature; multivariate behavioral shift
V0134,6,6,6,9,3.7585,0.4823,0.1333,0.3679,0.4929,0.7238,-0.2423,0.0,0.0231,0.013,0.0667,0.5506,1.0,5.8333,0.0178,0.1867,0.4758,1.0,6.5556,no single dominant feature; multivariate behavioral shift
V0135,9,9,14,10,1.6477,0.3805,0.1556,0.2715,-0.0285,-0.8036,0.7983,0.0,-0.4625,0.0203,0.25,0.4149,0.8571,5.6429,0.014,0.0625,0.7959,1.0,5.3,no single dominant feature; multivariate behavioral shift
V0136,9,9,13,11,5.3352,0.4523,0.1778,0.4645,0.1557,0.7563,-0.0572,-0.9091,-0.8278,0.0194,0.0263,0.5905,1.0,4.9231,0.0158,0.1471,0.6144,0.9091,3.5455,no single dominant feature; multivariate behavioral shift
V0137,6,6,7,6,1.1804,0.3716,0.0667,0.188,-0.1059,0.5678,0.6691,0.0,-0.4497,0.0167,0.2959,0.3171,1.0,5.7143,0.0128,0.3205,0.4583,1.0,3.8333,no single dominant feature; multivariate behavioral shift
V0138,6,6,8,10,0.6877,0.2537,0.1,0.1346,0.5547,0.1786,-0.5656,0.0,0.0,0.0189,0.2381,0.5292,0.875,5.25,0.0191,0.2083,0.4393,1.0,5.5,no single dominant feature; multivariate behavioral shift
V0140,5,5,7,7,8.7459,0.7005,0.24,0.4917,0.255,1.46,-1.4434,-1.4286,-0.7708,0.0179,0.0989,0.642,1.0,5.5714,0.0175,0.3297,0.3546,0.8571,4.2857,no single dominant feature; multivariate behavioral shift
V0141,10,10,14,14,3.3353,0.1691,0.12,0.3519,0.3115,-0.398,0.2371,-0.7143,0.1734,0.0182,0.1214,0.4805,1.0,5.7143,0.0176,0.0214,0.4726,0.9286,6.0714,no single dominant feature; multivariate behavioral shift
V0142,11,11,13,16,1.2167,0.72,0.2182,0.2978,0.3995,0.4075,-0.1973,0.0,-0.9836,0.0155,0.2341,0.4824,1.0,6.4615,0.0175,0.2476,0.4133,1.0,4.8125,no single dominant feature; multivariate behavioral shift
V0143,4,5,4,9,6.057,0.7117,0.2,0.4366,0.7489,-0.7437,0.4301,-1.1111,0.9743,0.013,0.3846,0.375,1.0,4.0,0.0205,0.2564,0.4493,0.8889,5.6667,no single dominant feature; multivariate behavioral shift
V0144,14,15,29,39,2.3759,0.4189,0.12,0.3313,0.206,0.5005,0.1121,-1.5385,-0.0556,0.0278,0.1445,0.4359,0.9655,5.069,0.0319,0.2013,0.4355,0.8462,5.1538,market breadth decreased (1.5 robust deviations)
V0145,6,6,9,9,0.8029,0.5156,0.1667,0.1916,0.2153,-0.0952,0.8854,-1.1111,0.2123,0.019,0.2,0.4491,0.8889,5.2222,0.019,0.1333,0.5834,0.8889,5.2222,no single dominant feature; multivariate behavioral shift
V0146,6,6,9,10,1.2342,0.5367,0.2,0.2407,0.8267,-0.1363,0.3295,-1.0,-0.6226,0.0195,0.1965,0.4954,0.8889,5.3333,0.0213,0.1217,0.5393,0.9,4.5,no single dominant feature; multivariate behavioral shift
V0147,4,5,4,7,2.4723,1.2387,0.32,0.3889,0.5017,0.4595,0.9134,0.0,-2.0556,0.0127,0.2636,0.2277,1.0,6.0,0.0179,0.2797,0.3988,1.0,4.7143,network exposure decreased (2.1 robust deviations)
V0148,6,7,10,11,0.8808,0.1614,0.0857,0.1385,-0.0748,-0.4802,0.5673,0.0,0.3219,0.0224,0.1607,0.4808,1.0,4.5,0.0194,0.0336,0.7197,1.0,4.4545,no single dominant feature; multivariate behavioral shift
V0149,4,5,7,5,1.248,0.7207,0.2,0.243,-0.7981,-0.3411,0.8736,0.0,0.3597,0.0243,0.2692,0.4226,0.8571,4.8571,0.0124,0.2273,0.6333,1.0,4.8,no single dominant feature; multivariate behavioral shift
V0150,9,10,14,12,0.2081,0.1376,0.08,0.0687,-0.0529,-0.0488,-0.1548,0.0,-0.1124,0.02,0.1346,0.5662,1.0,5.5,0.0146,0.094,0.5717,1.0,5.8333,no single dominant feature; multivariate behavioral shift
V0151,8,9,10,13,3.8996,0.9793,0.2222,0.4712,0.4915,-0.9434,0.8232,-0.7692,1.3836,0.0157,0.3315,0.3349,1.0,4.1,0.018,0.1213,0.5636,0.9231,4.5385,no single dominant feature; multivariate behavioral shift
V0152,8,9,9,16,5.9331,0.7961,0.1778,0.5014,0.8441,-0.026,0.3073,-1.25,0.923,0.0146,0.1973,0.4532,1.0,4.8889,0.0216,0.1345,0.5476,0.875,5.625,no single dominant feature; multivariate behavioral shift
V0153,11,12,17,19,1.6547,0.2683,0.0833,0.247,-0.3597,0.8571,0.0137,0.0,0.1336,0.021,0.1957,0.3808,1.0,5.2353,0.0193,0.3,0.3775,1.0,6.4211,no single dominant feature; multivariate behavioral shift
V0154,9,10,12,12,0.8891,0.0893,0.04,0.1317,0.2265,-0.3175,-0.2264,-0.8333,-0.0723,0.0169,0.2222,0.5624,0.9167,5.1667,0.0153,0.1111,0.5548,0.9167,5.4167,no single dominant feature; multivariate behavioral shift
V0158,10,11,15,19,0.5301,0.1031,0.0545,0.1004,0.1635,0.1109,-0.2295,-0.5263,0.0994,0.0201,0.1933,0.5853,0.9333,5.5333,0.0209,0.1624,0.484,0.9474,5.6842,no single dominant feature; multivariate behavioral shift
V0159,12,12,21,19,1.7593,0.9294,0.2667,0.3804,-0.3395,0.8729,-0.4327,-1.0526,-0.5781,0.023,0.1556,0.6108,0.9524,5.7619,0.0197,0.248,0.4629,0.8947,5.0,no single dominant feature; multivariate behavioral shift
V0160,7,8,7,9,0.8422,0.0,0.0,0.0967,0.1335,-0.2857,-0.293,0.0,-0.1874,0.013,0.1058,0.6446,1.0,4.8571,0.0143,0.025,0.6898,1.0,5.4444,no single dominant feature; multivariate behavioral shift
V0161,11,11,17,17,2.1057,0.7791,0.2,0.3752,0.4128,-1.2424,1.6031,-0.4761,0.3552,0.0209,0.3734,0.3123,0.8235,5.0588,0.0193,0.156,0.717,0.9412,5.5882,bid positioning increased (1.6 robust deviations)
V0162,10,10,15,20,2.262,0.5648,0.24,0.3719,1.0051,0.876,0.0383,0.0,-0.4432,0.0203,0.1605,0.5671,0.9333,4.9333,0.0247,0.2835,0.513,1.0,4.1,no single dominant feature; multivariate behavioral shift
V0163,6,7,6,7,4.1909,0.106,0.0286,0.3137,-0.0624,0.9298,-0.3237,0.0,-0.1445,0.0132,0.0769,0.5614,1.0,6.6667,0.0126,0.2249,0.3493,1.0,5.5714,no single dominant feature; multivariate behavioral shift
V0164,9,10,12,12,1.0016,0.1725,0.12,0.1751,0.173,0.3571,-0.3545,0.0,-0.5902,0.017,0.25,0.5645,1.0,5.6667,0.0151,0.25,0.5153,1.0,4.25,no single dominant feature; multivariate behavioral shift
V0165,6,6,6,8,5.8585,0.1054,0.1,0.3721,0.3852,0.102,0.5691,-1.25,0.2698,0.0134,0.1548,0.4931,1.0,4.6667,0.017,0.1327,0.7155,0.875,5.0,no single dominant feature; multivariate behavioral shift
V0166,9,9,15,16,1.2123,0.3969,0.1778,0.2405,0.0418,-0.1445,0.1286,-0.625,-1.096,0.0227,0.3118,0.4313,0.8667,6.0,0.0227,0.2067,0.4706,0.9375,5.375,no single dominant feature; multivariate behavioral shift
V0168,5,6,5,7,0.5702,0.559,0.1667,0.1667,0.0655,0.1099,0.7926,0.0,0.0,0.0127,0.1818,0.439,1.0,5.8,0.0135,0.1538,0.6175,1.0,6.0,no single dominant feature; multivariate behavioral shift
V0169,12,12,18,17,0.5622,0.5379,0.15,0.1884,-0.1288,-0.0586,0.0425,0.0,-0.9522,0.0196,0.2655,0.4389,0.9444,6.1667,0.0174,0.1901,0.4578,1.0,5.5882,no single dominant feature; multivariate behavioral shift
V0171,4,4,4,5,2.1176,0.5404,0.25,0.2961,0.3762,-0.7971,1.4672,0.0,-0.4047,0.0129,0.4,0.3056,1.0,6.5,0.0166,0.2727,0.5643,1.0,5.6,no single dominant feature; multivariate behavioral shift
V0172,12,12,21,27,5.0204,0.2624,0.0667,0.4167,0.5713,-0.0758,0.0132,-1.1111,-0.2891,0.0239,0.1806,0.4996,1.0,5.5238,0.0276,0.1174,0.5655,0.8889,5.0,no single dominant feature; multivariate behavioral shift
V0174,7,7,10,8,5.6709,0.717,0.1714,0.4708,0.036,-0.4762,0.5958,-1.25,0.8244,0.0197,0.3542,0.3198,1.0,5.0,0.0146,0.1905,0.5708,0.875,6.25,no single dominant feature; multivariate behavioral shift
V0175,7,7,10,12,7.5822,0.2423,0.1143,0.4334,0.7143,-0.0794,0.6665,-1.6667,0.281,0.0185,0.2727,0.275,1.0,4.5,0.0221,0.1869,0.498,0.8333,4.4167,market breadth decreased (1.7 robust deviations)
V0176,7,7,9,8,0.9581,0.2555,0.1429,0.1764,0.0749,0.4202,-0.0587,0.0,0.5059,0.0177,0.2275,0.587,1.0,4.2222,0.0137,0.2437,0.5826,1.0,6.5,no single dominant feature; multivariate behavioral shift
V0177,6,7,6,7,0.4409,0.3316,0.1143,0.1213,-0.0348,0.1606,0.0335,0.0,0.4818,0.0133,0.1603,0.3768,1.0,5.5,0.0126,0.1479,0.3967,1.0,6.7143,no single dominant feature; multivariate behavioral shift
V0178,14,14,22,27,1.0367,0.7233,0.1429,0.2612,1.0649,0.3021,0.0816,-0.7407,-0.2198,0.021,0.2267,0.4889,0.9091,5.6818,0.0248,0.2226,0.5275,0.9259,5.2222,no single dominant feature; multivariate behavioral shift
V0179,9,10,13,16,3.4414,0.6986,0.18,0.4279,0.646,0.7591,-0.7251,0.0,0.2846,0.0191,0.0327,0.7569,1.0,5.0769,0.0205,0.1646,0.5484,1.0,5.5625,no single dominant feature; multivariate behavioral shift
V0180,5,6,6,8,0.8759,0.5504,0.2,0.2026,0.3582,0.102,-0.7852,0.0,0.5902,0.016,0.1548,0.6889,1.0,4.0,0.0179,0.1327,0.7478,1.0,4.875,no single dominant feature; multivariate behavioral shift
V0181,7,7,7,7,0.5385,0.178,0.0286,0.0968,-0.0932,0.2041,-0.2372,0.0,-0.1542,0.0132,0.1429,0.5806,1.0,5.2857,0.0124,0.1429,0.6571,1.0,4.7143,no single dominant feature; multivariate behavioral shift
V0182,12,12,19,16,0.9331,0.4535,0.1167,0.2115,0.1834,0.4824,0.2902,-0.625,-0.184,0.0205,0.2149,0.4652,0.8947,5.3684,0.0164,0.2442,0.5599,0.9375,5.25,no single dominant feature; multivariate behavioral shift
V0184,13,14,28,35,1.7885,0.5529,0.2143,0.3283,0.3558,0.5608,-0.4468,-1.7143,-0.0289,0.0274,0.0812,0.5868,0.9286,5.1429,0.0317,0.1649,0.4715,0.8286,4.7143,market breadth decreased (1.7 robust deviations)
V0185,8,8,10,9,0.786,0.28,0.175,0.1754,0.1797,0.3709,0.2449,0.0,-0.3134,0.0156,0.2039,0.4333,1.0,4.7,0.0149,0.2175,0.5704,1.0,4.2222,no single dominant feature; multivariate behavioral shift
V0186,10,10,10,19,4.6893,0.4838,0.2,0.4697,1.0045,0.3232,-0.887,-0.5263,-0.0237,0.0128,0.2026,0.6327,1.0,5.4,0.0229,0.2097,0.3612,0.9474,5.9474,no single dominant feature; multivariate behavioral shift
V0187,10,10,14,20,1.6864,0.7942,0.22,0.3488,0.9573,0.2165,1.2307,0.0,-0.5126,0.0181,0.0765,0.396,0.9286,6.9286,0.0238,0.0973,0.5999,1.0,5.9,no single dominant feature; multivariate behavioral shift
V0188,13,14,22,21,0.6105,0.5441,0.1714,0.2003,0.3394,0.1526,0.4463,-0.4762,0.0964,0.0221,0.2234,0.4673,0.8636,5.5,0.0185,0.1947,0.5965,0.9524,6.1429,no single dominant feature; multivariate behavioral shift
V0189,4,5,5,5,2.7697,0.206,0.12,0.2679,-0.1869,0.5974,-0.9241,0.0,0.3854,0.0173,0.0545,0.725,1.0,5.2,0.0126,0.1455,0.345,1.0,5.0,no single dominant feature; multivariate behavioral shift
V0191,8,9,9,13,1.5721,0.5486,0.2444,0.2981,0.5363,0.6288,-0.3624,-0.7692,0.9612,0.0157,0.2424,0.4348,0.8889,5.3333,0.0187,0.2967,0.3594,0.9231,6.6923,no single dominant feature; multivariate behavioral shift
V0192,9,10,11,11,1.3889,0.1231,0.08,0.1951,-0.0088,0.9778,0.017,0.0,0.0204,0.0163,0.2139,0.5331,1.0,4.5455,0.014,0.3316,0.5076,1.0,4.5455,no single dominant feature; multivariate behavioral shift
V0193,4,4,4,4,0.6317,0.212,0.1,0.1151,-0.0818,-0.3214,-0.0534,0.0,-0.5059,0.0125,0.175,0.5238,1.0,6.5,0.0114,0.075,0.525,1.0,6.25,no single dominant feature; multivariate behavioral shift
V0194,6,7,8,8,5.9583,0.3526,0.1429,0.4151,0.1339,0.4464,-0.4202,-1.25,0.3935,0.0162,0.0268,0.7004,1.0,6.0,0.0148,0.0982,0.5528,0.875,6.375,no single dominant feature; multivariate behavioral shift
V0195,11,12,20,22,2.3686,0.588,0.15,0.3595,-0.0279,0.4592,0.3329,-0.4545,-0.8891,0.0241,0.2527,0.4772,1.0,6.05,0.0218,0.2704,0.4979,0.9545,4.6818,no single dominant feature; multivariate behavioral shift
V0197,9,9,11,14,1.4193,0.7226,0.2444,0.314,0.3986,-0.1686,1.2719,0.0,-0.9636,0.0162,0.16,0.3723,1.0,5.4545,0.0189,0.086,0.6224,1.0,4.5,no single dominant feature; multivariate behavioral shift
V0198,7,7,10,11,4.0685,1.6602,0.2,0.5071,0.6486,0.6963,-0.0573,-1.4716,-3.9244,0.0187,0.0357,0.5673,0.8,7.0,0.02,0.1513,0.6089,0.8182,5.0909,network exposure decreased (3.9 robust deviations)
V0199,10,10,15,12,1.2178,0.073,0.04,0.167,0.1254,0.5291,0.0372,0.0,0.092,0.0203,0.0794,0.5048,1.0,5.6,0.0145,0.1481,0.4605,1.0,6.0833,no single dominant feature; multivariate behavioral shift
V0200,10,11,14,16,5.6965,0.2389,0.0909,0.437,0.1969,0.1299,-0.221,-1.25,-0.8431,0.0191,0.14,0.5965,1.0,5.6429,0.017,0.1273,0.6411,0.875,4.1875,no single dominant feature; multivariate behavioral shift
V0201,11,12,19,19,2.9941,1.0439,0.2667,0.4751,0.4096,0.5504,0.415,-0.5263,-1.2307,0.0233,0.0653,0.4886,1.0,6.7895,0.0197,0.1453,0.5284,0.9474,4.9474,no single dominant feature; multivariate behavioral shift
V0202,7,8,10,8,1.5421,0.4747,0.25,0.2791,-0.0594,0.2381,-0.851,0.0,0.8431,0.018,0.1042,0.5517,0.9,5.2,0.0127,0.119,0.4263,1.0,7.375,no single dominant feature; multivariate behavioral shift
V0203,6,6,8,7,0.7967,0.5301,0.1333,0.1852,0.1615,0.4835,0.123,0.0,-0.4818,0.0158,0.2571,0.354,1.0,5.375,0.0147,0.2769,0.3869,1.0,4.7143,no single dominant feature; multivariate behavioral shift
V0204,6,6,13,10,2.2622,0.8776,0.3333,0.3784,-0.5522,0.462,0.1723,-0.5396,1.0792,0.028,0.0137,0.5409,0.8462,5.5385,0.0221,0.0788,0.5714,0.9,6.3,no single dominant feature; multivariate behavioral shift
V0205,7,7,7,7,6.7163,0.6158,0.1714,0.4792,-0.0391,1.46,-1.614,0.0,-0.3854,0.0131,0.0989,0.5451,1.0,5.7143,0.0126,0.3297,0.2679,1.0,6.2857,bid positioning decreased (1.6 robust deviations)
V0206,4,5,5,7,3.912,1.6802,0.52,0.5184,0.3189,-2.1944,2.9835,0.0,1.4231,0.0169,0.4091,0.145,1.0,3.8,0.0178,0.1154,0.4357,1.0,6.4286,bid positioning increased (3.0 robust deviations); win rate decreased (2.2 robust deviations)
V0207,4,5,5,7,6.5079,0.2117,0.08,0.3665,0.3727,0.5495,0.3702,-1.4286,0.6938,0.016,0.2273,0.44,1.0,4.2,0.017,0.2692,0.4834,0.8571,5.8571,no single dominant feature; multivariate behavioral shift
V0208,8,8,12,13,6.9292,0.1895,0.05,0.4166,0.0143,0.1865,0.2039,-1.5385,0.5015,0.0192,0.1644,0.5185,1.0,3.75,0.0193,0.1558,0.6927,0.8462,4.6154,market breadth decreased (1.5 robust deviations)
V0209,11,11,19,17,6.0763,0.7025,0.2364,0.5409,-0.3103,1.4946,-0.5976,0.0,-0.2513,0.023,0.0333,0.6066,0.8947,5.2105,0.0185,0.2536,0.5061,1.0,4.9412,no single dominant feature; multivariate behavioral shift
V0211,7,7,10,10,4.6209,0.79,0.2,0.4579,0.2874,0.5268,-1.3455,-1.0,-0.3777,0.0196,0.1187,0.6136,1.0,5.1,0.017,0.1812,0.4024,0.9,4.3,no single dominant feature; multivariate behavioral shift
V0212,11,12,20,22,2.5223,0.8387,0.2167,0.4143,-0.2092,0.9949,-0.9743,-0.4545,-0.2657,0.0251,0.1648,0.6577,1.0,5.8,0.0223,0.2602,0.4048,0.9545,4.9091,no single dominant feature; multivariate behavioral shift
V0213,7,8,9,10,0.3784,0.6548,0.125,0.1577,0.135,0.1175,-0.4163,0.0,0.045,0.0161,0.1088,0.6012,1.0,4.6667,0.0143,0.102,0.5986,1.0,5.1,no single dominant feature; multivariate behavioral shift
V0214,8,8,11,9,1.3299,0.1682,0.075,0.1891,0.1727,-0.6857,-0.2472,-1.1111,-0.062,0.0172,0.2294,0.5909,0.8182,5.6364,0.0149,0.06,0.5146,0.8889,6.3333,no single dominant feature; multivariate behavioral shift
V0215,11,12,22,29,1.2011,0.2407,0.05,0.1933,0.2736,0.3529,0.0115,-0.6897,-0.5117,0.026,0.1408,0.5038,0.9545,5.2273,0.0299,0.1697,0.5028,0.931,5.2414,no single dominant feature; multivariate behavioral shift
V0216,8,8,10,9,5.3378,1.1697,0.175,0.5213,0.1406,-0.2687,-0.3985,-1.1111,2.3383,0.0171,0.2664,0.5821,1.0,3.5,0.0147,0.1509,0.5258,0.8889,5.6667,network exposure increased (2.3 robust deviations)
V0217,7,7,8,11,3.6678,0.8715,0.2857,0.4518,0.5992,0.6457,-0.3726,0.0,-1.2263,0.0148,0.0451,0.5317,1.0,5.75,0.0193,0.1548,0.5053,1.0,4.1818,no single dominant feature; multivariate behavioral shift
V0218,13,13,17,26,3.8276,0.7474,0.1846,0.4651,1.0384,0.3167,-0.7793,-0.7692,0.1167,0.0173,0.179,0.5281,1.0,5.0588,0.0247,0.1911,0.4645,0.9231,5.3462,no single dominant feature; multivariate behavioral shift
V0219,13,14,19,26,7.0542,0.7799,0.2,0.5576,0.7028,0.5357,0.2181,-1.5385,0.7264,0.0197,0.168,0.4503,1.0,5.3158,0.0227,0.225,0.428,0.8462,6.0769,market breadth decreased (1.5 robust deviations)
V0220,10,11,21,16,2.1043,0.3078,0.1091,0.2945,-0.1817,-1.1244,0.4458,-0.625,-0.5368,0.0268,0.3133,0.4183,0.8571,5.619,0.0184,0.1572,0.5995,0.9375,4.8125,no single dominant feature; multivariate behavioral shift
V0221,5,6,7,8,5.6559,0.6037,0.1667,0.4274,0.0353,0.5714,0.2895,-1.25,0.2529,0.0191,0.1692,0.5923,1.0,4.8571,0.0153,0.2286,0.6021,0.875,5.375,no single dominant feature; multivariate behavioral shift
V0223,12,12,18,27,6.8425,0.8684,0.1667,0.5552,1.2757,0.4675,0.3955,-1.4815,-0.7328,0.0195,0.175,0.4192,1.0,5.8889,0.0273,0.2182,0.4417,0.8519,4.7037,no single dominant feature; multivariate behavioral shift
V0224,12,12,23,19,3.6131,1.1278,0.3333,0.5304,-0.6095,1.55,-0.5751,0.0,-0.8824,0.0251,0.069,0.521,0.9565,6.3913,0.0195,0.28,0.4087,1.0,5.1053,win rate increased (1.6 robust deviations)
V0228,8,9,15,19,3.3892,0.9618,0.2667,0.4585,-0.1162,0.75,-0.7751,0.0,-0.6193,0.0249,0.0252,0.6179,0.9333,5.8,0.0253,0.1412,0.5475,1.0,4.7895,no single dominant feature; multivariate behavioral shift
V0229,6,6,6,8,7.4541,0.5238,0.2667,0.4843,0.3136,1.6327,-0.8581,0.0,0.6745,0.0134,0.1429,0.4889,1.0,5.3333,0.0163,0.4082,0.2281,1.0,6.125,win rate increased (1.6 robust deviations)
V0230,12,13,17,24,2.2839,0.235,0.1077,0.2966,0.8068,0.7433,-0.2235,-0.4167,-0.0899,0.0192,0.2503,0.4873,1.0,5.2353,0.0227,0.3252,0.3496,0.9583,4.7917,no single dominant feature; multivariate behavioral shift
V0231,8,9,12,14,12.878,0.3384,0.0889,0.4849,0.4107,0.6429,-1.0388,-2.8571,0.0,0.0203,0.1068,0.6539,1.0,5.3333,0.0188,0.1962,0.5719,0.7143,5.0,market breadth decreased (2.9 robust deviations)
V0232,8,8,9,13,3.7417,0.5426,0.175,0.4091,0.6147,-0.2119,0.7591,-0.7692,-0.6745,0.0147,0.1879,0.3906,1.0,5.7778,0.0192,0.0957,0.473,0.9231,5.0,no single dominant feature; multivariate behavioral shift
V0233,7,7,8,8,2.2618,0.9397,0.2286,0.3731,0.1473,-0.0893,1.2977,0.0,-1.1804,0.0145,0.2232,0.1977,1.0,6.625,0.0146,0.1518,0.4177,1.0,5.25,no single dominant feature; multivariate behavioral shift
V0234,9,9,11,10,1.2777,0.5529,0.1778,0.2659,0.1363,-0.0638,-0.0143,0.0,-1.0792,0.0154,0.1681,0.5172,1.0,6.5455,0.0147,0.1161,0.5958,1.0,5.0,no single dominant feature; multivariate behavioral shift
V0235,5,5,6,5,7.8481,3.0111,0.44,0.6513,-0.2265,1.8772,-4.8467,0.0,-1.6188,0.0162,0.1364,0.7639,0.8333,6.1667,0.0118,0.4215,0.175,1.0,5.8,bid positioning decreased (4.8 robust deviations); win rate increased (1.9 robust deviations); network exposure decreased (1.6 robust deviations)
V0236,5,5,6,6,2.0621,0.4093,0.24,0.2872,0.0393,-1.6862,0.8034,0.0,0.3372,0.0154,0.4167,0.3375,1.0,5.1667,0.0139,0.25,0.3722,1.0,5.0,win rate decreased (1.7 robust deviations)
V0239,5,6,6,7,0.6062,0.0663,0.0667,0.0907,0.1268,0.3033,-0.3304,0.0,0.1445,0.0157,0.3205,0.506,0.8333,4.1667,0.0143,0.2959,0.4592,1.0,4.4286,no single dominant feature; multivariate behavioral shift
V0240,7,7,11,10,1.6086,0.7907,0.2286,0.313,0.3551,0.3316,0.7568,-2.0,-0.607,0.0213,0.1849,0.2824,0.9091,6.0909,0.0169,0.1964,0.6054,0.8,5.9,market breadth decreased (2.0 robust deviations)
V0241,11,12,15,19,2.7459,0.6086,0.1333,0.3818,0.6012,0.4739,-0.3482,-0.5263,-0.3508,0.0186,0.0812,0.55,1.0,5.4,0.0201,0.1482,0.5336,0.9474,4.8947,no single dominant feature; multivariate behavioral shift
V0242,11,11,21,20,0.868,0.7349,0.1455,0.2452,-0.1452,0.0844,-0.7205,-1.0,0.3597,0.0247,0.1861,0.5731,0.8571,4.8571,0.0221,0.1548,0.4974,0.9,5.8,no single dominant feature; multivariate behavioral shift
V0243,7,8,9,11,1.1503,0.3555,0.15,0.2087,0.4947,0.4202,0.194,0.0,0.2759,0.0165,0.1267,0.5643,1.0,5.5556,0.0176,0.1706,0.5721,1.0,5.8182,no single dominant feature; multivariate behavioral shift
V0244,12,13,21,29,3.3614,0.4864,0.2154,0.4208,0.542,0.7771,-0.3652,-0.6897,-0.0465,0.0237,0.16,0.4752,1.0,5.381,0.0277,0.2663,0.4026,0.931,5.2069,no single dominant feature; multivariate behavioral shift
V0245,12,13,19,19,0.8704,0.2967,0.0769,0.1738,0.3228,0.4632,0.0298,0.0,-0.1775,0.0211,0.1642,0.4758,0.9474,5.5263,0.0186,0.2042,0.4528,1.0,5.1053,no single dominant feature; multivariate behavioral shift
V0246,5,6,6,7,0.5657,0.4566,0.1667,0.1554,0.0667,-0.2584,0.243,0.0,-0.4818,0.0152,0.4808,0.3778,1.0,5.8333,0.0137,0.4438,0.4201,1.0,5.2857,no single dominant feature; multivariate behavioral shift
V0247,11,12,19,22,1.8427,0.3601,0.1,0.2794,0.4296,0.6446,0.3837,-1.3636,-0.5519,0.0236,0.0693,0.4442,0.8947,5.3684,0.0223,0.169,0.5841,0.8636,4.3636,no single dominant feature; multivariate behavioral shift
V0248,11,12,19,27,1.1075,0.1413,0.0833,0.1775,0.0967,0.175,-0.0184,-1.1111,-0.0583,0.0234,0.1061,0.5763,0.9474,5.1053,0.0272,0.1107,0.554,0.8889,5.3704,no single dominant feature; multivariate behavioral shift
V0249,12,12,19,18,1.1726,0.2908,0.1,0.2101,-0.3711,-0.732,0.165,-0.5556,-0.3527,0.021,0.2854,0.5199,0.9474,5.5789,0.0189,0.089,0.5546,0.9444,5.4444,no single dominant feature; multivariate behavioral shift
V0250,6,7,8,7,1.218,0.572,0.1143,0.2242,-0.2094,0.5507,-0.0988,0.0,0.8351,0.0179,0.3857,0.4271,1.0,4.125,0.0126,0.4154,0.3095,1.0,5.5714,no single dominant feature; multivariate behavioral shift
V0251,8,9,9,10,1.6057,0.7384,0.1778,0.3059,0.0511,0.4887,-0.651,0.0,1.4299,0.0147,0.1298,0.6524,1.0,5.0,0.0137,0.1842,0.4898,1.0,7.9,no single dominant feature; multivariate behavioral shift
V0253,6,6,8,6,0.4871,0.003,0.0,0.0576,-0.1727,0.068,-0.0058,0.0,-0.2923,0.0181,0.2347,0.4866,1.0,5.25,0.0133,0.1905,0.5278,1.0,4.1667,no single dominant feature; multivariate behavioral shift
V0254,12,13,26,17,1.1497,0.4223,0.2,0.2507,-0.8436,0.6486,0.1678,-0.5882,0.0044,0.029,0.2355,0.5033,0.9231,4.8077,0.0158,0.2841,0.5206,0.9412,4.7647,no single dominant feature; multivariate behavioral shift
V0255,11,12,17,16,0.9919,0.577,0.2333,0.2623,0.2548,0.0236,0.9901,0.0,-0.2891,0.0202,0.17,0.3798,1.0,6.3529,0.0168,0.1322,0.6129,1.0,6.4375,no single dominant feature; multivariate behavioral shift
V0256,12,12,18,22,2.1272,0.5478,0.25,0.3627,0.8455,0.5,-0.4311,-1.3636,-0.6657,0.0194,0.175,0.5902,0.9444,5.7222,0.0226,0.2214,0.5018,0.8636,4.2727,no single dominant feature; multivariate behavioral shift
V0258,12,12,20,17,1.4583,0.6715,0.1333,0.2938,-0.2749,0.7235,-0.1457,-0.5882,0.9034,0.0227,0.21,0.4947,0.9,4.9,0.0178,0.2808,0.5394,0.9412,5.5882,no single dominant feature; multivariate behavioral shift
