vendor_a,vendor_b,shared_tenders,expected_conditional_shared,conditional_enrichment,weighted_market_overlap,market_count,market_concentration,shrunk_win_uplift,persistence,enrichment_signal,win_effect_signal,specialization_discount,breadth_signal,relationship_strength,context_adjusted_strength
V0055,V0548,4,0.7407,5.4,0.3077,1,1.0,0.0,0.7333,0.7741363901181997,0.0,0.44999999999999996,0.25,0.4551077365413698,0.2047984814436164
V0409,V0420,3,0.5556,5.4,0.3333,1,1.0,0.0,0.7333,0.7741363901181997,0.0,0.44999999999999996,0.25,0.4551077365413698,0.2047984814436164
V0007,V0281,3,0.5882,5.1,0.5,1,1.0,0.0,0.7667,0.7541149906305008,0.0,0.44999999999999996,0.25,0.4547802467206753,0.20465111102430386
V0008,V0214,3,0.5581,5.375,0.4286,1,1.0,0.0,0.7333,0.7725041673245123,0.0,0.44999999999999996,0.25,0.45453645856357927,0.20454140635361065
V0001,V0186,3,0.5303,5.6571,0.3333,1,1.0,0.0,0.7,0.7905616128410143,0.0,0.44999999999999996,0.25,0.45419656449435497,0.20438845402245973
V0187,V0394,3,0.5333,5.625,0.2727,1,1.0,0.0,0.7,0.7885458524073249,0.0,0.44999999999999996,0.25,0.4534910483425637,0.20407097175415365
V0024,V0065,3,0.5333,5.625,0.2727,1,1.0,0.0,0.7,0.7885458524073249,0.0,0.44999999999999996,0.25,0.4534910483425637,0.20407097175415365
V0054,V0487,4,0.7619,5.25,0.4,1,1.0,0.0,0.7333,0.7642458303067036,0.0,0.44999999999999996,0.25,0.45164604060734614,0.20324071827330575
V0072,V0353,3,0.5714,5.25,0.2727,1,1.0,0.0,0.7333,0.7642458303067036,0.0,0.44999999999999996,0.25,0.45164604060734614,0.20324071827330575
V0240,V0505,3,0.549,5.4643,0.375,1,1.0,0.0,0.7,0.7783053547851339,0.0,0.44999999999999996,0.25,0.4499068741747968,0.20245809337865853
V0001,V0065,3,0.5867,5.1136,0.25,1,1.0,0.0,0.7333,0.7550437328305861,0.0,0.44999999999999996,0.25,0.4484253064907051,0.20179138792081727
V0007,V0014,3,0.7,4.2857,0.375,1,1.0,-0.0187,0.8333,0.6943610422733252,0.0,0.44999999999999996,0.25,0.4471863647956638,0.2012338641580487
V0016,V0363,3,0.6667,4.5,0.25,1,1.0,0.0,0.8,0.7109351736821121,0.0,0.44999999999999996,0.25,0.4463273107887392,0.20084728985493264
V0013,V0335,4,0.8,5.0,0.3333,1,1.0,0.0,0.7333,0.7472217363092141,0.0,0.44999999999999996,0.25,0.4456876077082249,0.20055942346870118
V0300,V0358,3,0.6,5.0,0.3,1,1.0,0.0,0.7333,0.7472217363092141,0.0,0.44999999999999996,0.25,0.4456876077082249,0.20055942346870118
V0407,V0513,3,0.6,5.0,0.3333,1,1.0,0.0,0.7333,0.7472217363092141,0.0,0.44999999999999996,0.25,0.4456876077082249,0.20055942346870118
V0394,V0405,3,0.45,6.6667,1.0,1,1.0,0.0,0.5537,0.8494475543548681,0.0,0.44999999999999996,0.25,0.4455466440242038,0.2004959898108917
V0220,V0279,3,0.5714,5.25,0.3,1,1.0,0.0,0.7,0.7642458303067036,0.0,0.44999999999999996,0.25,0.44498604060734614,0.20024371827330575
V0153,V0357,3,0.5714,5.25,0.3,1,1.0,0.0,0.7,0.7642458303067036,0.0,0.44999999999999996,0.25,0.44498604060734614,0.20024371827330575
V0066,V0364,4,0.9,4.4444,0.5,1,1.0,0.0,0.8,0.7066979015718976,0.0,0.44999999999999996,0.25,0.44484426555016415,0.20017991949757385
V0052,V0080,3,0.64,4.6875,0.2308,1,1.0,0.0,0.7667,0.7249152221099662,0.0,0.44999999999999996,0.25,0.44456032773848814,0.20005214748231964
V0409,V0499,3,0.3509,8.55,0.5,1,1.0,0.0,0.3872,0.9410507540052949,0.0,0.44999999999999996,0.25,0.44430776390185317,0.19993849375583392
V0309,V0347,3,0.6102,4.9167,0.3,1,1.0,0.0,0.7333,0.7413913698430934,0.0,0.44999999999999996,0.25,0.4436469794450827,0.1996411407502872
V0024,V0053,4,1.012,3.9524,0.25,1,1.0,0.0109,0.8333,0.6671985743970088,0.018166666666666668,0.44999999999999996,0.25,0.4431295010389531,0.19940827546752887
V0065,V0091,3,0.6933,4.3269,0.2143,1,1.0,0.0,0.8,0.6975990463146553,0.0,0.44999999999999996,0.25,0.4416596662101293,0.19874684979455817
V0244,V0379,5,1.375,3.6364,0.4545,1,1.0,-0.1588,0.9,0.6397019171076349,0.0,0.44999999999999996,0.25,0.4413956709876722,0.19862805194445246
V0024,V0052,5,1.1807,4.2347,0.3125,1,1.0,0.0176,0.7667,0.6903176943830379,0.029333333333333336,0.44999999999999996,0.25,0.44125119303406324,0.19856303686532845
V0304,V0368,3,0.6269,4.7857,0.3,1,1.0,0.0,0.7333,0.7320542209792883,0.0,0.44999999999999996,0.25,0.4403789773427509,0.19817053980423788
V0317,V0419,3,0.5301,5.6591,0.25,1,1.0,0.0,0.6281,0.7906868835322206,0.0,0.44999999999999996,0.25,0.4398604092362772,0.19793718415632472
V0019,V0182,3,0.597,5.025,0.2727,1,1.0,0.0,0.7,0.7489557612250776,0.0,0.44999999999999996,0.25,0.43963451642877704,0.19783553239294965
V0255,V0385,3,0.597,5.025,0.3,1,1.0,0.0,0.7,0.7489557612250776,0.0,0.44999999999999996,0.25,0.43963451642877704,0.19783553239294965
V0262,V0498,3,0.6316,4.75,0.25,1,1.0,0.0,0.7333,0.7294729985300498,0.0,0.44999999999999996,0.25,0.43947554948551737,0.1977639972684828
V0066,V0093,3,0.75,4.0,0.375,1,1.0,-0.0617,0.8333,0.6711877414712396,0.0,0.44999999999999996,0.25,0.43907570951493385,0.1975840692817202
V0218,V0360,4,0.8485,4.7143,0.3636,1,1.0,0.0,0.7333,0.7268757000473296,0.0,0.44999999999999996,0.25,0.4385664950165653,0.19735492275745437
V0255,V0478,3,0.7143,4.2,0.375,1,1.0,0.0,0.8,0.6875440492709168,0.0,0.44999999999999996,0.25,0.4381404172448209,0.1971631877601694
V0042,V0358,3,0.6857,4.375,0.2727,1,1.0,0.0,0.7667,0.7013477999191747,0.0,0.44999999999999996,0.25,0.43631172997171114,0.19634027848726998
V0298,V0308,3,0.7143,4.2,0.3333,1,1.0,0.0,0.7667,0.6875440492709168,0.0,0.44999999999999996,0.25,0.4314804172448209,0.1941661877601694
V0153,V0526,3,0.6429,4.6667,0.2,1,1.0,0.0,0.7,0.7233872794200227,0.0,0.44999999999999996,0.25,0.43068554779700785,0.1938084965086535
V0024,V0186,3,0.6818,4.4,0.2727,1,1.0,0.0,0.7333,0.703282988502739,0.0,0.44999999999999996,0.25,0.4303090459759586,0.19363907068918135
V0033,V0058,3,0.6842,4.3846,0.2308,1,1.0,0.0,0.7333,0.7020919747992872,0.0,0.44999999999999996,0.25,0.42989219117975047,0.1934514860308877
V0091,V0386,3,0.6857,4.375,0.2308,1,1.0,0.0,0.7333,0.7013477999191747,0.0,0.44999999999999996,0.25,0.42963172997171106,0.19333427848726997
V0375,V0458,3,0.6857,4.375,0.4286,1,1.0,0.0,0.7333,0.7013477999191747,0.0,0.44999999999999996,0.25,0.42963172997171106,0.19333427848726997
V0221,V0380,3,0.6857,4.375,0.4286,1,1.0,0.0,0.7333,0.7013477999191747,0.0,0.44999999999999996,0.25,0.42963172997171106,0.19333427848726997
V0465,V0527,3,0.65,4.6154,0.2308,1,1.0,0.0,0.7,0.7195947391795122,0.0,0.44999999999999996,0.25,0.42935815871282923,0.19321117142077313
V0309,V0364,4,1.2419,3.2208,0.2857,1,1.0,0.0025,0.9,0.6005369374869877,0.004166666666666667,0.44999999999999996,0.25,0.4289379281204457,0.19302206765420055
V0001,V0052,4,1.0964,3.6484,0.25,1,1.0,-0.0777,0.8333,0.6407798921816306,0.0,0.44999999999999996,0.25,0.4284329622635707,0.19279483301860678
V0232,V0264,4,0.9804,4.08,0.3636,1,1.0,0.0,0.7667,0.6778074422297994,0.0,0.44999999999999996,0.25,0.42807260478042974,0.19263267215119337
V0127,V0379,4,1.1,3.6364,0.3636,1,1.0,-0.0738,0.8333,0.6397019171076349,0.0,0.44999999999999996,0.25,0.4280556709876722,0.19262505194445248
V0042,V0172,3,0.6667,4.5,0.3,1,1.0,0.0,0.7,0.7109351736821121,0.0,0.44999999999999996,0.25,0.4263273107887392,0.19184728985493263
V0122,V0363,3,0.6667,4.5,0.25,1,1.0,0.0,0.7,0.7109351736821121,0.0,0.44999999999999996,0.25,0.4263273107887392,0.19184728985493263
V0165,V0447,3,0.6316,4.75,0.3333,1,1.0,0.0,0.6667,0.7294729985300498,0.0,0.44999999999999996,0.25,0.42615554948551737,0.1917699972684828
V0256,V0384,3,0.75,4.0,0.25,1,1.0,0.0,0.7667,0.6711877414712396,0.0,0.44999999999999996,0.25,0.42575570951493386,0.1915900692817202
V0064,V0376,3,0.7143,4.2,0.2727,1,1.0,0.0,0.7333,0.6875440492709168,0.0,0.44999999999999996,0.25,0.42480041724482087,0.19116018776016938
V0119,V0475,3,0.7143,4.2,0.2727,1,1.0,0.0,0.7333,0.6875440492709168,0.0,0.44999999999999996,0.25,0.42480041724482087,0.19116018776016938
V0245,V0422,3,0.75,4.0,0.4286,1,1.0,0.0,0.7617,0.6711877414712396,0.0,0.44999999999999996,0.25,0.42475570951493385,0.19114006928172023
V0027,V0219,3,0.678,4.425,0.2727,1,1.0,0.0,0.7,0.7052092385390486,0.0,0.44999999999999996,0.25,0.42432323348866696,0.19094545506990013
V0051,V0263,4,0.9639,4.15,0.2857,1,1.0,0.0,0.7333,0.6835147194576673,0.0,0.44999999999999996,0.25,0.42339015181018347,0.19052556831458253
V0110,V0320,3,0.6857,4.375,0.2308,1,1.0,0.0,0.7,0.7013477999191747,0.0,0.44999999999999996,0.25,0.42297172997171106,0.19033727848726997
V0143,V0297,3,0.6522,4.6,0.3,1,1.0,0.0,0.6667,0.718449474121785,0.0,0.44999999999999996,0.25,0.42229731594262465,0.19003379217418107
V0153,V0387,6,1.7391,3.45,0.5,1,1.0,0.0,0.8333,0.6225893653962264,0.0,0.44999999999999996,0.25,0.42206627788867923,0.18992982504990563
V0051,V0391,3,0.6933,4.3269,0.2143,1,1.0,0.0,0.7,0.6975990463146553,0.0,0.44999999999999996,0.25,0.4216596662101293,0.18974684979455816
V0165,V0168,3,0.7368,4.0714,0.3,1,1.0,0.0,0.7333,0.6771008442385354,0.0,0.44999999999999996,0.25,0.42114529548348734,0.18951538296756928
V0077,V0204,3,0.6984,4.2955,0.25,1,1.0,0.0,0.7,0.6951335290620702,0.0,0.44999999999999996,0.25,0.4207967351717245,0.189358530827276
V0016,V0123,3,1.0,3.0,0.2727,1,1.0,-0.0386,0.9,0.5781296526357756,0.0,0.44999999999999996,0.25,0.41984537842252145,0.18893042029013463
V0034,V0080,3,0.75,4.0,0.3333,1,1.0,0.0,0.7333,0.6711877414712396,0.0,0.44999999999999996,0.25,0.4190757095149338,0.1885840692817202
V0043,V0133,3,0.8,3.75,0.25,1,1.0,0.0,0.7667,0.6497967762487715,0.0,0.44999999999999996,0.25,0.41826887168707005,0.1882209922591815
V0479,V0513,3,0.8,3.75,0.75,1,1.0,0.0,0.7667,0.6497967762487715,0.0,0.44999999999999996,0.25,0.41826887168707005,0.1882209922591815
V0009,V0114,3,0.7143,4.2,0.6,1,1.0,0.0,0.7,0.6875440492709168,0.0,0.44999999999999996,0.25,0.4181404172448209,0.18816318776016938
V0231,V0456,3,0.7586,3.9545,0.25,1,1.0,0.0,0.7333,0.6673753740084125,0.0,0.44999999999999996,0.25,0.4177413809029443,0.18798362140632494
V0395,V0505,3,0.8095,3.7059,0.1765,1,1.0,0.0,0.7667,0.6459068743244768,0.0,0.44999999999999996,0.25,0.4169074060135669,0.18760833270610508
V0441,V0488,3,0.7692,3.9,0.5,1,1.0,0.0,0.7333,0.6627625581253703,0.0,0.44999999999999996,0.25,0.4161268953438796,0.1872571029047458
V0043,V0393,3,0.7286,4.1176,0.1765,1,1.0,0.0,0.7,0.6808827715183859,0.0,0.44999999999999996,0.25,0.415808970031435,0.18711403651414574
V0028,V0212,3,0.8209,3.6545,0.2308,1,1.0,0.0,0.7667,0.6413267964700299,0.0,0.44999999999999996,0.25,0.41530437876451043,0.1868869704440297
V0086,V0434,3,0.7759,3.8667,0.2727,1,1.0,0.0,0.7333,0.6599187659647436,0.0,0.44999999999999996,0.25,0.4151315680876602,0.18680920563944708
V0153,V0386,5,1.3714,3.6458,0.3333,1,1.0,0.0,0.7667,0.6405465672594237,0.0,0.44999999999999996,0.25,0.4150312985407983,0.1867640843433592
V0144,V0460,3,4.2667,0.7031,0.1429,1,1.0,0.2393,0.9,0.22204894680044882,0.3988333333333334,0.44999999999999996,0.25,0.4148671313801571,0.18669020912107068
V0039,V0248,4,1.037,3.8571,0.25,1,1.0,0.0,0.7333,0.6590953199336832,0.0,0.44999999999999996,0.25,0.41484336197678906,0.18667951288955506
V0258,V0277,4,1.2414,3.2222,0.3077,1,1.0,0.0,0.8333,0.6006752403066833,0.0,0.44999999999999996,0.25,0.4143963341073391,0.1864783503483026
V0119,V0460,3,1.65,1.8182,0.2727,1,1.0,0.077,0.9333,0.4320865865295814,0.12833333333333333,0.44999999999999996,0.25,0.4138903052853535,0.18625063737840905
V0001,V0201,3,0.7424,4.0408,0.2727,1,1.0,0.0,0.7,0.6745769166799318,0.0,0.44999999999999996,0.25,0.4136019208379761,0.18612086437708922
V0220,V0313,4,1.1194,3.5733,0.25,1,1.0,0.0,0.7667,0.6339872563321743,0.0,0.44999999999999996,0.25,0.412735539716261,0.18573099287231742
V0002,V0281,3,0.75,4.0,0.375,1,1.0,0.0,0.7,0.6711877414712396,0.0,0.44999999999999996,0.25,0.4124157095149338,0.1855870692817202
V0262,V0543,3,0.8421,3.5625,0.2308,1,1.0,0.0,0.7667,0.6330012557792976,0.0,0.44999999999999996,0.25,0.4123904395227541,0.18557569778523933
V0153,V0332,3,0.7164,4.1875,0.1875,1,1.0,0.0,0.6704,0.6865403607204339,0.0,0.44999999999999996,0.25,0.41186912625215183,0.1853411068134683
V0073,V0248,3,0.8,3.75,0.1875,1,1.0,0.0,0.7333,0.6497967762487715,0.0,0.44999999999999996,0.25,0.41158887168707,0.18521499225918148
V0368,V0387,3,0.7619,3.9375,0.1875,1,1.0,0.0,0.7,0.665941981846308,0.0,0.44999999999999996,0.25,0.4105796936462077,0.18476086214079346
V0088,V0346,4,1.2857,3.1111,0.3636,1,1.0,0.0,0.8333,0.5895547852479217,0.0,0.44999999999999996,0.25,0.4105041748367726,0.18472687867654766
V0197,V0275,3,0.8571,3.5,0.3,1,1.0,0.0,0.7667,0.6272489936647646,0.0,0.44999999999999996,0.25,0.4103771477826676,0.1846697165022004
V0072,V0091,3,0.8571,3.5,0.2143,1,1.0,0.0,0.7667,0.6272489936647646,0.0,0.44999999999999996,0.25,0.4103771477826676,0.1846697165022004
V0304,V0345,3,0.8571,3.5,0.3,1,1.0,0.0,0.7667,0.6272489936647646,0.0,0.44999999999999996,0.25,0.4103771477826676,0.1846697165022004
V0499,V0529,3,0.7647,3.9231,0.2308,1,1.0,0.0,0.7,0.6647239483178116,0.0,0.44999999999999996,0.25,0.41015338191123396,0.18456902186005528
V0172,V0421,3,0.9701,3.0923,0.2,1,1.0,-0.0904,0.8333,0.5876433283679664,0.0,0.44999999999999996,0.25,0.40983516492878824,0.1844258242179547
V0039,V0207,3,0.8642,3.4714,0.1875,1,1.0,0.0,0.7667,0.624590062661989,0.0,0.44999999999999996,0.25,0.4094465219316962,0.18425093486926325
V0169,V0453,4,1.1538,3.4667,0.5714,1,1.0,0.0,0.7667,0.62415147897634,0.0,0.44999999999999996,0.25,0.409293017641719,0.18418185793877354
V0025,V0181,3,0.75,4.0,0.2727,1,1.0,0.0,0.6836,0.6711877414712396,0.0,0.44999999999999996,0.25,0.40913570951493383,0.18411106928172022
V0259,V0403,3,0.875,3.4286,0.3,1,1.0,0.0,0.7667,0.6205790235723324,0.0,0.44999999999999996,0.25,0.4080426582503164,0.18361919621264236
V0002,V0092,3,0.875,3.4286,0.3333,1,1.0,0.0,0.7667,0.6205790235723324,0.0,0.44999999999999996,0.25,0.4080426582503164,0.18361919621264236
V0080,V0215,3,1.05,2.8571,0.4286,1,1.0,-0.1832,0.8667,0.5629585332977487,0.0,0.44999999999999996,0.25,0.407875486654212,0.1835439689943954
V0058,V0498,3,0.7843,3.825,0.2727,1,1.0,0.0,0.7,0.6563300543790199,0.0,0.44999999999999996,0.25,0.40721551903265696,0.18324698356469563
V0144,V0539,3,0.8372,3.5833,0.3333,1,1.0,0.0,0.7333,0.6348981458702619,0.0,0.44999999999999996,0.25,0.40637435105459163,0.18286845797456622
V0107,V0364,3,0.7903,3.7959,0.2727,1,1.0,0.0,0.7,0.653807280085827,0.0,0.44999999999999996,0.25,0.4063325480300394,0.1828496466135177
V0191,V0445,5,1.4857,3.3654,0.3125,1,1.0,0.0,0.7667,0.6145847318023211,0.0,0.44999999999999996,0.25,0.4059446561308124,0.18267509525886555
V0053,V0404,3,0.8421,3.5625,0.6,1,1.0,0.0,0.7333,0.6330012557792976,0.0,0.44999999999999996,0.25,0.4057104395227541,0.18256969778523932
V0198,V0411,3,0.7097,4.2273,0.25,1,1.0,0.0,0.631,0.6897277421346738,0.0,0.44999999999999996,0.25,0.4051047097471358,0.1822971193862111
V0073,V0205,3,0.8,3.75,0.25,1,1.0,0.0,0.7,0.6497967762487715,0.0,0.44999999999999996,0.25,0.40492887168707,0.18221799225918148
V0248,V0455,3,0.8,3.75,0.1875,1,1.0,0.0,0.7,0.6497967762487715,0.0,0.44999999999999996,0.25,0.40492887168707,0.18221799225918148
V0053,V0391,3,0.8,3.75,0.1875,1,1.0,0.0,0.7,0.6497967762487715,0.0,0.44999999999999996,0.25,0.40492887168707,0.18221799225918148
V0159,V0415,4,1.2,3.3333,0.2667,1,1.0,0.0,0.7667,0.6115068464791317,0.0,0.44999999999999996,0.25,0.4048673962676961,0.18219032832046322
V0396,V0513,3,1.0204,2.94,0.25,1,1.0,0.0,0.8333,0.5718267761167314,0.0,0.44999999999999996,0.25,0.40429937164085594,0.18193471723838517
V0052,V0169,3,0.5904,5.0816,0.2727,1,1.0,0.0,0.5142,0.752855155824249,0.0,0.44999999999999996,0.25,0.4038393045384871,0.18172768704231917
V0161,V0530,3,0.9697,3.0938,0.2308,1,1.0,0.0,0.8,0.5877961602645074,0.0,0.44999999999999996,0.25,0.40322865609257763,0.18145289524165992
V0276,V0379,4,1.375,2.9091,0.3333,1,1.0,0.0,0.8333,0.5685432487144814,0.0,0.44999999999999996,0.25,0.40315013705006847,0.18141756167253079
V0014,V0322,4,1.4706,2.72,0.3636,1,1.0,-0.0592,0.8667,0.5478653230555499,0.0,0.44999999999999996,0.25,0.4025928630694424,0.18116678838124908
V0454,V0539,3,0.9767,3.0714,0.3,1,1.0,0.0,0.8,0.5855080230473704,0.0,0.44999999999999996,0.25,0.40242780806657963,0.18109251362996082
V0224,V0426,4,1.6667,2.4,0.3077,1,1.0,0.0387,0.8333,0.5103539948156102,0.0645,0.44999999999999996,0.25,0.4021338981854635,0.18096025418345857
V0297,V0547,3,0.8696,3.45,0.2727,1,1.0,0.0,0.7333,0.6225893653962264,0.0,0.44999999999999996,0.25,0.4020662778886792,0.18092982504990562
V0371,V0429,3,0.8696,3.45,0.3,1,1.0,0.0,0.7333,0.6225893653962264,0.0,0.44999999999999996,0.25,0.4020662778886792,0.18092982504990562
V0028,V0421,3,0.8209,3.6545,0.2308,1,1.0,0.0,0.7,0.6413267964700299,0.0,0.44999999999999996,0.25,0.4019643787645104,0.18088397044402968
V0178,V0383,6,2.7083,2.2154,0.3529,1,1.0,-0.1043,0.9667,0.4870737183545592,0.0,0.44999999999999996,0.25,0.40131580142409573,0.18059211064084307
V0080,V0321,3,1.05,2.8571,0.4286,1,1.0,0.0,0.8333,0.5629585332977487,0.0,0.44999999999999996,0.25,0.401195486654212,0.1805379689943954
V0134,V0502,4,1.2414,3.2222,0.2857,1,1.0,0.0,0.7667,0.6006752403066833,0.0,0.44999999999999996,0.25,0.4010763341073391,0.1804843503483026
V0040,V0258,3,0.9375,3.2,0.2727,1,1.0,0.0,0.7667,0.5984767314773355,0.0,0.44999999999999996,0.25,0.4003068560170674,0.18013808520768032
V0309,V0523,3,1.0588,2.8333,0.5,1,1.0,-0.043,0.8333,0.5603772884722233,0.0,0.44999999999999996,0.25,0.4002920509652782,0.18013142293437517
V0424,V0433,3,1.0,3.0,0.2727,1,1.0,0.0,0.8,0.5781296526357756,0.0,0.44999999999999996,0.25,0.39984537842252144,0.17993042029013462
V0175,V0369,3,0.8372,3.5833,0.3,1,1.0,0.0,0.7,0.6348981458702619,0.0,0.44999999999999996,0.25,0.39971435105459163,0.17987145797456622
V0136,V0331,3,0.8889,3.375,0.25,1,1.0,0.0,0.7333,0.615500825474825,0.0,0.44999999999999996,0.25,0.3995852889161887,0.17981338001228492
V0034,V0056,3,0.898,3.3409,0.25,1,1.0,0.0,0.7333,0.6122376221093552,0.0,0.44999999999999996,0.25,0.39844316773827426,0.1792994254822234
V0056,V0162,3,0.8,3.75,0.6,1,1.0,0.0,0.6667,0.6497967762487715,0.0,0.44999999999999996,0.25,0.39826887168707,0.17922099225918148
V0495,V0513,4,1.3542,2.9538,0.2857,1,1.0,0.0,0.8,0.573284895872636,0.0,0.44999999999999996,0.25,0.3981497135554226,0.17916737109994016
V0039,V0275,6,2.0361,2.9467,0.3,1,1.0,0.0,0.8,0.5725353405846882,0.0,0.44999999999999996,0.25,0.39788736920464085,0.17904931614208835
V0293,V0485,3,0.8511,3.525,0.3,1,1.0,0.0,0.7,0.6295594283357291,0.0,0.44999999999999996,0.25,0.3978457999175051,0.17903060996287729
V0215,V0513,3,1.0833,2.7692,0.2143,1,1.0,0.0,0.8333,0.5533447571302814,0.0,0.44999999999999996,0.25,0.3978306649955985,0.1790237992480193
V0043,V0376,5,1.7,2.9412,0.2632,1,1.0,0.0,0.8,0.5719537717198315,0.0,0.44999999999999996,0.25,0.39768382010194103,0.17895771904587346
V0052,V0088,3,0.96,3.125,0.2,1,1.0,0.0,0.7667,0.5909624310376626,0.0,0.44999999999999996,0.25,0.3976768508631819,0.17895458288843183
V0072,V0533,3,0.96,3.125,0.2143,1,1.0,0.0,0.7667,0.5909624310376626,0.0,0.44999999999999996,0.25,0.3976768508631819,0.17895458288843183
V0255,V0304,4,1.2857,3.1111,0.3636,1,1.0,0.0,0.7667,0.5895547852479217,0.0,0.44999999999999996,0.25,0.3971841748367726,0.17873287867654766
V0047,V0177,5,1.9362,2.5824,0.3333,1,1.0,-0.0233,0.8667,0.5321470797067832,0.0,0.44999999999999996,0.25,0.3970914778973741,0.17869116505381832
V0145,V0337,3,0.8571,3.5,0.375,1,1.0,0.0,0.7,0.6272489936647646,0.0,0.44999999999999996,0.25,0.3970371477826675,0.17866671650220037
V0033,V0164,3,0.9123,3.2885,0.2143,1,1.0,0.0,0.7333,0.607172897817695,0.0,0.44999999999999996,0.25,0.3966705142361932,0.17850173140628692
V0346,V0445,3,0.9143,3.2812,0.2308,1,1.0,0.0,0.7333,0.6064624091906136,0.0,0.44999999999999996,0.25,0.3964218432167147,0.1783898294475216
V0083,V0431,3,0.8627,3.4773,0.25,1,1.0,0.0,0.7,0.6251399730324169,0.0,0.44999999999999996,0.25,0.3962989905613459,0.17833454575260563
V0039,V0364,3,0.8642,3.4714,0.1875,1,1.0,0.0,0.7,0.624590062661989,0.0,0.44999999999999996,0.25,0.3961065219316961,0.1782479348692632
V0308,V0456,3,0.8667,3.4615,0.2143,1,1.0,0.0,0.7,0.623665699383452,0.0,0.44999999999999996,0.25,0.39578299478420814,0.17810234765289365
V0029,V0363,3,0.8675,3.4583,0.2,1,1.0,0.0,0.7,0.6233664765959882,0.0,0.44999999999999996,0.25,0.39567826680859586,0.17805522006386812
V0186,V0248,3,0.6667,4.5,0.25,1,1.0,0.0,0.5455,0.7109351736821121,0.0,0.44999999999999996,0.25,0.3954273107887392,0.17794228985493263
V0003,V0112,3,0.9231,3.25,0.4286,1,1.0,0.0,0.7333,0.603412083651074,0.0,0.44999999999999996,0.25,0.3953542292778759,0.17790940317504414
V0052,V0091,3,0.9277,3.2338,0.2,1,1.0,-0.0544,0.7333,0.6018194169327624,0.0,0.44999999999999996,0.25,0.39479679592646677,0.17765855816691004
V0536,V0540,4,1.4,2.8571,0.4444,1,1.0,0.0,0.8,0.5629585332977487,0.0,0.44999999999999996,0.25,0.394535486654212,0.1775409689943954
V0420,V0528,3,0.8772,3.42,0.25,1,1.0,0.0,0.7,0.6197683914507514,0.0,0.44999999999999996,0.25,0.3944189370077629,0.1774885216534933
V0298,V0309,4,1.2419,3.2208,0.2857,1,1.0,0.0,0.7333,0.6005369374869877,0.0,0.44999999999999996,0.25,0.3943479281204456,0.1774565676542005
V0249,V0274,3,0.8814,3.4038,0.2143,1,1.0,0.0,0.7,0.6182370937486737,0.0,0.44999999999999996,0.25,0.39388298281203576,0.17724734226541608
V0219,V0244,3,1.125,2.6667,0.2727,1,1.0,0.0,0.8333,0.5418468811949995,0.0,0.44999999999999996,0.25,0.3938064084182498,0.1772128837882124
V0344,V0509,3,0.9362,3.2045,0.25,1,1.0,0.0,0.7333,0.5989233126994767,0.0,0.44999999999999996,0.25,0.3937831594448168,0.17720242175016754
V0430,V0464,3,0.75,4.0,0.75,1,1.0,0.0,0.6051,0.6711877414712396,0.0,0.44999999999999996,0.25,0.39343570951493384,0.1770460692817202
V0039,V0263,4,1.253,3.1923,0.2353,1,1.0,0.0,0.7333,0.5977114703891862,0.0,0.44999999999999996,0.25,0.39335901463621514,0.1770115565862968
V0042,V0376,3,1.0,3.0,0.2143,1,1.0,0.0,0.7667,0.5781296526357756,0.0,0.44999999999999996,0.25,0.39318537842252144,0.17693342029013462
V0136,V0469,3,1.0,3.0,0.2308,1,1.0,0.0,0.7667,0.5781296526357756,0.0,0.44999999999999996,0.25,0.39318537842252144,0.17693342029013462
V0094,V0387,3,1.0,3.0,0.2143,1,1.0,0.0,0.7667,0.5781296526357756,0.0,0.44999999999999996,0.25,0.39318537842252144,0.17693342029013462
V0245,V0335,3,0.9333,3.2143,0.2143,1,1.0,0.0,0.7256,0.5998942157455015,0.0,0.44999999999999996,0.25,0.39258297551092547,0.17666233897991646
V0313,V0426,4,1.3433,2.9778,0.2353,1,1.0,0.0,0.7667,0.5758086761794575,0.0,0.44999999999999996,0.25,0.3923730366628101,0.17656786649826453
V0337,V0458,3,1.0714,2.8,0.3,1,1.0,0.0,0.8,0.5567386874133076,0.0,0.44999999999999996,0.25,0.39235854059465763,0.17656134326759593
V0240,V0529,3,0.9524,3.15,0.1875,1,1.0,0.0,0.7333,0.59348227188497,0.0,0.44999999999999996,0.25,0.39187879515973945,0.17634545782188274
V0052,V0394,3,0.9545,3.1429,0.2308,1,1.0,0.0,0.7333,0.5927681837607756,0.0,0.44999999999999996,0.25,0.3916288643162714,0.17623298894232212
V0044,V0483,3,0.9552,3.1406,0.1765,1,1.0,0.0,0.7333,0.5925365969858797,0.0,0.44999999999999996,0.25,0.3915478089450578,0.176196514025276
V0025,V0215,4,1.2,3.3333,0.3077,1,1.0,0.0,0.7,0.6115068464791317,0.0,0.44999999999999996,0.25,0.39152739626769606,0.17618732832046322
V0369,V0396,3,0.9,3.3333,0.25,1,1.0,0.0,0.7,0.6115068464791317,0.0,0.44999999999999996,0.25,0.39152739626769606,0.17618732832046322
V0219,V0301,3,1.0169,2.95,0.2308,1,1.0,0.0,0.7667,0.5728838930108441,0.0,0.44999999999999996,0.25,0.39134936255379543,0.17610721314920794
