vendor_a,vendor_b,observed_shared_tenders,vendor_a_tenders,vendor_b_tenders,expected_shared_tenders,enrichment_ratio,p_value,surprise_score,dominant_category,category_share,dominant_region,region_share,context_concentration,contextual_adjustment,contextual_enrichment
V0240,V0331,3,21,18,0.151,19.841,0.00038467155889420875,3.415,MEDICAL_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,10.913
V0202,V0408,3,18,21,0.151,19.841,0.00038467155889420875,3.415,MEDICAL_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,10.913
V0240,V0505,3,21,18,0.151,19.841,0.00038467155889420875,3.415,MEDICAL_SUPPLIES,1.0,KA-SOUTH,1.0,1.0,0.55,10.913
V0208,V0461,3,25,16,0.16,18.75,0.0004543245383632452,3.343,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.824,0.929,0.582,10.908
V0151,V0473,3,23,19,0.175,17.162,0.0005991757681596885,3.222,FURNITURE,1.0,KA-BENGALURU,0.526,0.811,0.635,10.902
V0465,V0549,3,18,23,0.166,18.116,0.0005076142999668055,3.294,IT_SERVICES,1.0,KA-CENTRAL,0.714,0.886,0.601,10.895
V0282,V0380,3,16,28,0.179,16.741,0.0006395560487029986,3.194,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.444,0.778,0.65,10.882
V0192,V0463,3,22,19,0.167,17.943,0.0005235380335655677,3.281,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.688,0.875,0.606,10.878
V0353,V0430,3,19,20,0.152,19.737,0.00039130565711375154,3.407,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,1.0,1.0,0.55,10.855
V0232,V0240,3,22,21,0.185,16.234,0.000710412725155792,3.148,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.346,0.738,0.668,10.839
V0240,V0243,3,21,20,0.168,17.857,0.0005316178489894947,3.274,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.69,0.876,0.606,10.819
V0420,V0475,4,22,24,0.211,18.939,4.2636311630804945e-05,4.37,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.882,0.953,0.571,10.818
V0197,V0375,3,25,17,0.17,17.647,0.0005480405263079197,3.261,VEHICLE_SUPPLIES,1.0,TN-NORTH,0.654,0.862,0.612,10.805
V0243,V0286,3,20,21,0.168,17.857,0.0005316178489894947,3.274,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.7,0.88,0.604,10.786
V0151,V0211,3,23,20,0.184,16.304,0.0007006842370226003,3.154,FURNITURE,1.0,KA-CENTRAL,0.385,0.754,0.661,10.773
V0161,V0530,6,34,29,0.394,15.213,1.516913074236242e-06,5.819,CIVIL_MAINTENANCE,0.667,KA-SOUTH,0.622,0.649,0.708,10.771
V0451,V0457,3,31,15,0.186,16.129,0.0007106242317470841,3.148,BUILDING_CONSTRUCTION,1.0,AP-SOUTH,0.346,0.738,0.668,10.769
V0025,V0223,19,61,45,1.098,17.304,1.6981629842076254e-20,19.77,LAB_EQUIPMENT,0.899,KA-CENTRAL,0.752,0.84,0.622,10.761
V0087,V0459,3,22,21,0.185,16.234,0.000710412725155792,3.148,IT_SERVICES,1.0,KA-NORTH,0.375,0.75,0.662,10.755
V0220,V0418,5,37,18,0.266,18.769,4.006857647227855e-06,5.397,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.875,0.95,0.572,10.745
V0164,V0382,3,24,16,0.154,19.531,0.0004013746245246748,3.396,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,1.0,1.0,0.55,10.742
V0071,V0089,5,47,16,0.301,16.622,7.0769096866011255e-06,5.15,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.471,0.788,0.645,10.726
V0418,V0478,4,18,30,0.216,18.519,4.593801102378284e-05,4.338,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.838,0.935,0.579,10.726
V0223,V0295,16,45,55,0.99,16.162,1.175523701306751e-16,15.93,LAB_EQUIPMENT,0.955,KA-CENTRAL,0.44,0.749,0.663,10.713
V0006,V0043,6,16,51,0.326,18.382,3.661234344848769e-07,6.436,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.818,0.927,0.583,10.712
V0469,V0499,5,31,25,0.31,16.129,9.353163937604789e-06,5.029,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.367,0.747,0.664,10.71
V0179,V0317,6,29,35,0.406,14.778,1.8162125823943582e-06,5.741,ELECTRICAL_EQUIPMENT,0.786,KA-CENTRAL,0.357,0.614,0.724,10.693
V0415,V0476,4,29,21,0.244,16.42,7.635664890534284e-05,4.117,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.444,0.778,0.65,10.673
V0384,V0545,5,45,17,0.306,16.34,7.93740819493425e-06,5.1,IT_SERVICES,1.0,KA-NORTH,0.429,0.771,0.653,10.668
V0494,V0497,3,29,16,0.186,16.164,0.000710561843384962,3.148,IT_SERVICES,1.0,KA-NORTH,0.389,0.756,0.66,10.668
V0201,V0374,4,38,15,0.228,17.544,5.501236834337171e-05,4.26,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,0.679,0.871,0.608,10.664
V0335,V0441,5,38,17,0.258,19.35,3.3547171048260986e-06,5.474,VEHICLE_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,10.643
V0030,V0403,4,18,34,0.245,16.34,7.634709395738635e-05,4.117,IT_SERVICES,1.0,KA-CENTRAL,0.438,0.775,0.651,10.641
V0215,V0321,6,51,16,0.326,18.382,3.661234344848769e-07,6.436,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.841,0.936,0.579,10.636
V0264,V0378,3,18,24,0.173,17.361,0.0005775162363505987,3.238,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.652,0.861,0.613,10.635
V0035,V0456,3,24,18,0.173,17.361,0.0005775162363505987,3.238,IT_SERVICES,1.0,KA-CENTRAL,0.654,0.862,0.612,10.63
V0141,V0406,4,28,20,0.224,17.857,5.399466887241644e-05,4.268,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.75,0.9,0.595,10.625
V0033,V0341,3,25,17,0.17,17.647,0.0005480405263079197,3.261,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.714,0.886,0.601,10.613
V0150,V0176,3,26,17,0.177,16.968,0.0006169170443165512,3.21,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.583,0.833,0.625,10.605
V0289,V0544,3,27,16,0.173,17.361,0.000573273523347175,3.242,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.667,0.867,0.61,10.59
V0022,V0528,4,24,25,0.24,16.667,7.232154348324958e-05,4.141,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.526,0.811,0.635,10.588
V0038,V0097,3,25,17,0.17,17.647,0.0005480405263079197,3.261,BUILDING_CONSTRUCTION,1.0,TN-NORTH,0.722,0.889,0.6,10.588
V0003,V0360,6,40,25,0.4,15.0,1.6128350986220592e-06,5.792,VEHICLE_SUPPLIES,0.636,KA-SOUTH,0.682,0.655,0.705,10.582
V0351,V0395,3,17,26,0.177,16.968,0.0006169170443165512,3.21,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.591,0.836,0.624,10.582
V0074,V0339,4,28,22,0.246,16.234,8.027193887509039e-05,4.095,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.441,0.776,0.651,10.562
V0065,V0263,7,26,49,0.51,13.736,3.547487034813374e-07,6.45,VEHICLE_SUPPLIES,0.569,KA-CENTRAL,0.431,0.514,0.769,10.561
V0418,V0429,3,18,26,0.187,16.026,0.0007351971380695941,3.134,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.4,0.76,0.658,10.545
V0002,V0319,5,22,34,0.299,16.711,7.66100567073013e-06,5.116,FURNITURE,1.0,KA-CENTRAL,0.553,0.821,0.631,10.537
V0060,V0150,3,18,26,0.187,16.026,0.0007351971380695941,3.134,BUILDING_CONSTRUCTION,1.0,TN-NORTH,0.407,0.763,0.657,10.524
V0077,V0141,3,14,28,0.157,19.133,0.000422011501475706,3.375,MEDICAL_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,10.523
V0145,V0397,3,18,24,0.173,17.361,0.0005775162363505987,3.238,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.69,0.876,0.606,10.518
V0178,V0383,11,49,36,0.706,15.59,2.1038989897664266e-11,10.677,ELECTRICAL_EQUIPMENT,0.641,KA-NORTH,0.846,0.723,0.675,10.517
V0175,V0334,3,22,20,0.176,17.045,0.0006124160032287641,3.213,IT_SERVICES,1.0,KA-SOUTH,0.632,0.853,0.616,10.505
V0240,V0536,3,21,22,0.185,16.234,0.000710412725155792,3.148,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.462,0.785,0.647,10.502
V0160,V0326,3,16,27,0.173,17.361,0.000573273523347175,3.242,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.696,0.878,0.605,10.5
V0231,V0266,4,26,24,0.25,16.026,8.492235187472277e-05,4.071,IT_SERVICES,1.0,KA-CENTRAL,0.419,0.768,0.655,10.489
V0009,V0074,3,17,28,0.19,15.756,0.000770786910095889,3.113,ROAD_CONSTRUCTION,1.0,AP-SOUTH,0.357,0.743,0.666,10.489
V0022,V0529,4,24,24,0.23,17.361,6.114249636445989e-05,4.214,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.7,0.88,0.604,10.486
V0380,V0441,3,28,17,0.19,15.756,0.000770786910095889,3.113,VEHICLE_SUPPLIES,1.0,AP-SOUTH,0.36,0.744,0.665,10.481
V0160,V0335,4,16,38,0.243,16.447,7.255168021824149e-05,4.139,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.515,0.806,0.637,10.481
V0164,V0469,5,24,31,0.298,16.801,7.5481879739043494e-06,5.122,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.594,0.838,0.623,10.469
V0221,V0453,3,15,32,0.192,15.625,0.0007813049500652128,3.107,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.333,0.733,0.67,10.469
V0431,V0439,3,23,19,0.175,17.162,0.0005991757681596885,3.222,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.667,0.867,0.61,10.469
V0289,V0429,5,27,26,0.281,17.806,5.610460675243648e-06,5.251,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.789,0.916,0.588,10.468
V0417,V0482,4,37,16,0.237,16.892,6.516670679724366e-05,4.186,IT_SERVICES,1.0,KA-NORTH,0.615,0.846,0.619,10.46
V0041,V0355,16,39,69,1.076,14.864,4.2596846962921287e-16,15.371,LAB_EQUIPMENT,0.934,AP-SOUTH,0.255,0.663,0.702,10.431
V0431,V0499,4,23,25,0.23,17.391,6.067670273451031e-05,4.217,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.724,0.89,0.6,10.429
V0070,V0152,3,17,25,0.17,17.647,0.0005480405263079197,3.261,IT_SERVICES,1.0,KA-CENTRAL,0.773,0.909,0.591,10.428
V0352,V0473,5,38,19,0.289,17.313,6.165689074991524e-06,5.21,FURNITURE,1.0,KA-BENGALURU,0.71,0.884,0.602,10.427
V0081,V0511,3,25,18,0.18,16.667,0.0006533109193174875,3.185,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.583,0.833,0.625,10.417
V0175,V0539,3,22,18,0.158,18.939,0.0004434019412468575,3.353,IT_SERVICES,1.0,KA-SOUTH,1.0,1.0,0.55,10.416
V0060,V0076,3,18,22,0.158,18.939,0.0004434019412468575,3.353,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,1.0,1.0,0.55,10.416
V0233,V0434,4,16,38,0.243,16.447,7.255168021824149e-05,4.139,IT_SERVICES,1.0,KA-NORTH,0.545,0.818,0.632,10.392
V0453,V0488,7,32,36,0.461,15.191,1.8106323460831173e-07,6.742,VEHICLE_SUPPLIES,0.88,KA-CENTRAL,0.44,0.704,0.683,10.378
V0236,V0404,3,12,38,0.182,16.447,0.000648888034588112,3.188,VEHICLE_SUPPLIES,1.0,KA-BENGALURU,0.55,0.82,0.631,10.378
V0234,V0240,3,21,21,0.176,17.007,0.0006168703996799926,3.21,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.667,0.867,0.61,10.374
V0234,V0431,3,21,23,0.193,15.528,0.0008125618505543039,3.09,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.346,0.738,0.668,10.368
V0041,V0307,12,39,50,0.78,15.385,2.6662578268031075e-12,11.574,LAB_EQUIPMENT,1.0,AP-SOUTH,0.327,0.731,0.671,10.325
V0282,V0404,4,16,38,0.243,16.447,7.255168021824149e-05,4.139,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.571,0.829,0.627,10.315
V0135,V0199,4,24,27,0.259,15.432,9.905159124433296e-05,4.004,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.346,0.738,0.668,10.304
V0408,V0420,3,21,22,0.185,16.234,0.000710412725155792,3.148,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.529,0.812,0.635,10.304
V0012,V0431,3,19,23,0.175,17.162,0.0005991757681596885,3.222,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.72,0.888,0.6,10.304
V0204,V0540,3,23,21,0.193,15.528,0.0008125618505543039,3.09,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.375,0.75,0.662,10.287
V0161,V0253,3,34,14,0.19,15.756,0.0007556588783580017,3.122,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.429,0.771,0.653,10.286
V0292,V0322,6,27,40,0.432,13.889,2.6329887949418336e-06,5.58,FURNITURE,0.698,KA-NORTH,0.395,0.577,0.74,10.284
V0319,V0322,7,34,40,0.544,12.868,6.093651943693172e-07,6.215,BUILDING_CONSTRUCTION,0.52,KA-NORTH,0.34,0.448,0.798,10.274
V0074,V0386,4,28,22,0.246,16.234,8.027193887509039e-05,4.095,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.541,0.816,0.633,10.271
V0328,V0422,3,20,27,0.216,13.889,0.0011338154933890842,2.945,VEHICLE_SUPPLIES,0.579,KA-NORTH,0.579,0.579,0.739,10.271
V0240,V0408,3,21,21,0.176,17.007,0.0006168703996799926,3.21,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.706,0.882,0.603,10.254
V0469,V0491,3,31,15,0.186,16.129,0.0007106242317470841,3.148,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.524,0.81,0.636,10.253
V0447,V0538,3,20,22,0.176,17.045,0.0006124160032287641,3.213,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.714,0.886,0.601,10.251
V0409,V0475,3,18,24,0.173,17.361,0.0005775162363505987,3.238,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.783,0.913,0.589,10.228
V0393,V0426,4,15,40,0.24,16.667,6.762809503586413e-05,4.17,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.647,0.859,0.614,10.226
V0085,V0494,3,16,29,0.186,16.164,0.000710561843384962,3.148,IT_SERVICES,1.0,KA-SOUTH,0.545,0.818,0.632,10.213
V0066,V0203,5,53,15,0.318,15.723,9.046059002284147e-06,5.044,FURNITURE,1.0,KA-CENTRAL,0.447,0.779,0.649,10.212
V0204,V0439,3,23,19,0.175,17.162,0.0005991757681596885,3.222,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.75,0.9,0.595,10.211
V0244,V0278,7,50,22,0.44,15.909,1.1289974968233259e-07,6.947,FURNITURE,1.0,KA-NORTH,0.492,0.797,0.642,10.206
V0479,V0513,5,14,55,0.308,16.234,7.384506944551301e-06,5.132,IT_SERVICES,1.0,KA-BENGALURU,0.564,0.826,0.628,10.202
V0033,V0499,4,25,25,0.25,16.0,8.551705884819527e-05,4.068,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.516,0.806,0.637,10.194
V0169,V0373,4,35,22,0.308,12.987,0.00019711029396994982,3.705,CIVIL_MAINTENANCE,0.585,KA-CENTRAL,0.317,0.478,0.785,10.193
V0250,V0376,3,15,27,0.162,18.519,0.0004691597751224852,3.329,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,1.0,1.0,0.55,10.185
V0204,V0240,3,23,21,0.193,15.528,0.0008125618505543039,3.09,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.414,0.766,0.656,10.179
V0276,V0318,3,41,12,0.197,15.244,0.0008132916378899977,3.09,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.346,0.738,0.668,10.178
V0086,V0549,3,20,23,0.184,16.304,0.0007006842370226003,3.154,IT_SERVICES,1.0,KA-NORTH,0.588,0.835,0.624,10.176
V0243,V0378,3,20,24,0.192,15.625,0.0007966954769644509,3.099,MEDICAL_SUPPLIES,1.0,AP-SOUTH,0.438,0.775,0.651,10.176
V0214,V0494,4,20,29,0.232,17.241,6.231173541723738e-05,4.205,IT_SERVICES,1.0,KA-NORTH,0.778,0.911,0.59,10.172
V0136,V0469,5,24,31,0.298,16.801,7.5481879739043494e-06,5.122,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.697,0.879,0.605,10.157
V0038,V0122,5,25,36,0.36,13.889,2.006574774188108e-05,4.698,BUILDING_CONSTRUCTION,0.556,KA-NORTH,0.667,0.6,0.73,10.139
V0206,V0504,3,12,41,0.197,15.244,0.0008132916378899977,3.09,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.364,0.745,0.665,10.13
V0229,V0469,3,14,31,0.174,17.281,0.0005733074467166579,3.242,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.8,0.92,0.586,10.127
V0146,V0266,3,19,24,0.182,16.447,0.0006814819890342299,3.167,IT_SERVICES,1.0,KA-CENTRAL,0.636,0.855,0.615,10.122
V0232,V0536,3,22,22,0.194,15.496,0.0008178947458082251,3.087,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.429,0.771,0.653,10.117
V0088,V0143,3,38,13,0.198,15.182,0.0008347183528282279,3.078,WATER_INFRASTRUCTURE,1.0,TN-NORTH,0.36,0.744,0.665,10.099
V0375,V0458,4,17,35,0.238,16.807,6.740999896537868e-05,4.171,VEHICLE_SUPPLIES,1.0,KA-CENTRAL,0.719,0.888,0.601,10.095
V0089,V0517,3,16,28,0.179,16.741,0.0006395560487029986,3.194,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.706,0.882,0.603,10.094
V0251,V0255,4,19,33,0.251,15.949,8.491932819452512e-05,4.071,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.541,0.816,0.633,10.091
V0221,V0335,4,15,38,0.228,17.544,5.501236834337171e-05,4.26,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.862,0.945,0.575,10.085
V0142,V0441,3,29,17,0.197,15.213,0.0008561057546030356,3.067,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.375,0.75,0.662,10.079
V0327,V0515,3,51,9,0.184,16.34,0.0006165075311022112,3.21,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.632,0.853,0.616,10.071
V0125,V0339,3,21,22,0.185,16.234,0.000710412725155792,3.148,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.611,0.844,0.62,10.065
V0096,V0262,3,17,26,0.177,16.968,0.0006169170443165512,3.21,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.762,0.905,0.593,10.06
V0012,V0395,3,19,26,0.198,15.182,0.0008670291664161184,3.062,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,0.375,0.75,0.662,10.058
V0294,V0492,3,32,14,0.179,16.741,0.0006305194176532046,3.2,VEHICLE_SUPPLIES,1.0,KA-CENTRAL,0.72,0.888,0.6,10.051
V0424,V0507,4,40,16,0.256,15.625,8.913222177487524e-05,4.05,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.485,0.794,0.643,10.043
V0469,V0475,5,31,24,0.298,16.801,7.5481879739043494e-06,5.122,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.737,0.895,0.597,10.036
V0206,V0269,3,12,39,0.187,16.026,0.0007010526965365513,3.154,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.579,0.832,0.626,10.029
V0127,V0278,6,43,22,0.378,15.856,1.0995418019101207e-06,5.959,FURNITURE,1.0,KA-NORTH,0.545,0.818,0.632,10.018
V0071,V0163,4,47,13,0.244,16.367,6.933006216516906e-05,4.159,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.656,0.862,0.612,10.015
V0523,V0546,4,34,20,0.272,14.706,0.0001185720851233651,3.926,FURNITURE,1.0,KA-BENGALURU,0.281,0.712,0.679,9.991
V0033,V0409,3,25,18,0.18,16.667,0.0006533109193174875,3.185,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.727,0.891,0.599,9.985
V0179,V0507,3,29,16,0.186,16.164,0.000710561843384962,3.148,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.625,0.85,0.617,9.981
V0244,V0316,4,50,13,0.26,15.385,8.873745865514928e-05,4.052,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.452,0.781,0.649,9.98
V0063,V0241,7,30,34,0.408,17.157,7.322596871759046e-08,7.135,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.826,0.93,0.581,9.973
V0267,V0288,3,17,29,0.197,15.213,0.0008561057546030356,3.067,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.429,0.771,0.653,9.932
V0038,V0546,3,25,20,0.2,15.0,0.0009007158789399294,3.045,FURNITURE,1.0,KA-CENTRAL,0.381,0.752,0.661,9.921
V0071,V0511,5,47,18,0.338,14.775,1.3495218353497708e-05,4.87,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.326,0.73,0.671,9.92
V0033,V0331,3,25,18,0.18,16.667,0.0006533109193174875,3.185,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.75,0.9,0.595,9.917
V0087,V0175,3,22,22,0.194,15.496,0.0008178947458082251,3.087,IT_SERVICES,1.0,KA-SOUTH,0.5,0.8,0.64,9.917
V0401,V0496,3,16,26,0.166,18.029,0.0005115764873621738,3.291,WATER_INFRASTRUCTURE,1.0,KA-NORTH,1.0,1.0,0.55,9.916
V0234,V0536,3,21,22,0.185,16.234,0.000710412725155792,3.148,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.667,0.867,0.61,9.903
V0243,V0528,3,20,25,0.2,15.0,0.0009007158789399294,3.045,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.391,0.757,0.66,9.893
V0026,V0223,12,44,45,0.792,15.152,3.3683631322700603e-12,11.473,LAB_EQUIPMENT,0.959,KA-CENTRAL,0.49,0.771,0.653,9.892
V0203,V0242,4,15,41,0.246,16.26,7.467328355879658e-05,4.127,FURNITURE,1.0,KA-SOUTH,0.679,0.871,0.608,9.884
V0406,V0431,3,20,23,0.184,16.304,0.0007006842370226003,3.154,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.692,0.877,0.605,9.87
V0175,V0369,3,22,19,0.167,17.943,0.0005235380335655677,3.281,IT_SERVICES,1.0,KA-SOUTH,1.0,1.0,0.55,9.869
V0441,V0488,4,17,36,0.245,16.34,7.551873849819543e-05,4.122,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.7,0.88,0.604,9.869
V0126,V0438,7,30,44,0.528,13.258,4.80723054472569e-07,6.318,CIVIL_MAINTENANCE,0.678,KA-SOUTH,0.407,0.569,0.744,9.86
V0233,V0293,4,16,41,0.262,15.244,9.838594223316557e-05,4.007,IT_SERVICES,1.0,KA-NORTH,0.464,0.786,0.646,9.854
V0180,V0488,3,14,36,0.202,14.881,0.0008956726539979117,3.048,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.381,0.752,0.661,9.843
V0232,V0234,3,22,21,0.185,16.234,0.000710412725155792,3.148,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.692,0.877,0.605,9.828
V0099,V0387,3,12,35,0.168,17.857,0.0005075578278344277,3.295,ROAD_CONSTRUCTION,1.0,KA-NORTH,1.0,1.0,0.55,9.821
V0115,V0458,4,16,35,0.224,17.857,5.2065565265431776e-05,4.283,VEHICLE_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,9.821
V0266,V0334,3,24,20,0.192,15.625,0.0007966954769644509,3.099,IT_SERVICES,1.0,KA-SOUTH,0.571,0.829,0.627,9.799
V0406,V0529,3,20,24,0.192,15.625,0.0007966954769644509,3.099,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.571,0.829,0.627,9.799
V0148,V0232,3,21,22,0.185,16.234,0.000710412725155792,3.148,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,0.706,0.882,0.603,9.788
V0020,V0407,20,85,40,1.36,14.706,3.364381759227079e-20,19.473,LAB_EQUIPMENT,1.0,KA-CENTRAL,0.365,0.746,0.664,9.77
V0164,V0240,3,24,21,0.202,14.881,0.0009236264656832742,3.035,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.409,0.764,0.656,9.767
V0251,V0359,5,19,40,0.304,16.447,8.00681705961611e-06,5.097,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.76,0.904,0.593,9.756
V0150,V0288,4,26,29,0.302,13.263,0.00018321378315752312,3.737,BUILDING_CONSTRUCTION,0.765,TN-NORTH,0.324,0.588,0.735,9.752
V0177,V0209,3,13,36,0.187,16.026,0.0007107625425509629,3.148,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.68,0.872,0.608,9.737
V0204,V0538,3,23,22,0.202,14.822,0.000935218441394491,3.029,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.409,0.764,0.656,9.729
V0408,V0475,3,21,24,0.202,14.881,0.0009236264656832742,3.035,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.429,0.771,0.653,9.715
V0043,V0057,5,51,15,0.306,16.34,7.455191048981666e-06,5.128,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.756,0.902,0.594,9.706
V0081,V0094,3,25,17,0.17,17.647,0.0005480405263079197,3.261,ROAD_CONSTRUCTION,1.0,KA-NORTH,1.0,1.0,0.55,9.706
V0204,V0447,3,23,20,0.184,16.304,0.0007006842370226003,3.154,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.75,0.9,0.595,9.701
V0191,V0476,3,22,21,0.185,16.234,0.000710412725155792,3.148,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.739,0.896,0.597,9.691
V0375,V0380,3,17,28,0.19,15.756,0.000770786910095889,3.113,VEHICLE_SUPPLIES,1.0,KA-CENTRAL,0.64,0.856,0.615,9.687
V0221,V0230,4,15,41,0.246,16.26,7.467328355879658e-05,4.127,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.75,0.9,0.595,9.675
V0006,V0516,3,16,32,0.205,14.648,0.0009532578680054198,3.021,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.389,0.756,0.66,9.668
V0400,V0437,4,24,33,0.317,12.626,0.00022219696614426848,3.653,WATER_INFRASTRUCTURE,0.536,KA-CENTRAL,0.5,0.521,0.765,9.663
V0022,V0090,3,24,21,0.202,14.881,0.0009236264656832742,3.035,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.45,0.78,0.649,9.658
V0032,V0472,3,14,37,0.207,14.479,0.0009714722033594367,3.013,VEHICLE_SUPPLIES,1.0,KA-CENTRAL,0.35,0.74,0.667,9.657
V0115,V0404,4,16,38,0.243,16.447,7.255168021824149e-05,4.139,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.794,0.918,0.587,9.655
V0009,V0510,3,17,30,0.204,14.706,0.0009472253137508946,3.024,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.409,0.764,0.656,9.652
